trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl
3634,8064,long,1h,2026-03-10 14:00:00+00:00,2026-03-10 15:00:00+00:00,24969.0,24892.5,2026-03-10 19:30:00+00:00,24969.0,24891.5,25069.0,2026-03-10 20:00:00+00:00,24996.75,timed_close,27.75,55.5
3635,8066,short,1h,2026-03-10 18:00:00+00:00,2026-03-10 19:00:00+00:00,25156.25,25217.75,2026-03-11 14:00:00+00:00,25156.25,25218.75,25056.25,2026-03-11 14:16:00+00:00,25056.25,target,100.0,200.0
3636,8068,long,1h,2026-03-11 13:00:00+00:00,2026-03-11 14:00:00+00:00,24947.0,24908.5,2026-03-11 15:18:00+00:00,24947.0,24907.5,25047.0,2026-03-11 15:46:00+00:00,24907.5,stop,-39.5,-79.0
3637,8071,long,1h,2026-03-12 05:00:00+00:00,2026-03-12 06:00:00+00:00,24728.75,24709.25,2026-03-12 13:45:00+00:00,24728.75,24708.25,24828.75,2026-03-12 13:46:00+00:00,24708.25,stop,-20.5,-41.0
3638,8073,short,1h,2026-03-12 23:00:00+00:00,2026-03-13 00:00:00+00:00,24565.0,24613.5,2026-03-13 00:12:00+00:00,24565.0,24614.5,24465.0,2026-03-13 00:17:00+00:00,24614.5,stop,-49.5,-99.0
3639,8074,short,1h,2026-03-13 02:00:00+00:00,2026-03-13 03:00:00+00:00,24626.0,24661.25,2026-03-13 03:47:00+00:00,24626.0,24662.25,24526.0,2026-03-13 06:37:00+00:00,24526.0,target,100.0,200.0
3640,8076,short,1h,2026-03-13 06:00:00+00:00,2026-03-13 07:00:00+00:00,24576.5,24599.75,2026-03-13 10:11:00+00:00,24576.5,24600.75,24476.5,2026-03-13 10:19:00+00:00,24600.75,stop,-24.25,-48.5
3641,8075,short,1h,2026-03-13 04:00:00+00:00,2026-03-13 05:00:00+00:00,24604.25,24629.5,2026-03-13 10:20:00+00:00,24604.25,24630.5,24504.25,2026-03-13 11:00:00+00:00,24630.5,stop,-26.25,-52.5
3642,8077,long,1h,2026-03-13 08:00:00+00:00,2026-03-13 09:00:00+00:00,24479.5,24397.5,2026-03-13 15:00:00+00:00,24479.5,24396.5,24579.5,2026-03-13 15:46:00+00:00,24396.5,stop,-83.0,-166.0
3643,8058,long,1h,2026-03-09 14:00:00+00:00,2026-03-09 15:00:00+00:00,24380.0,24313.25,2026-03-13 17:49:00+00:00,24380.0,24312.25,24480.0,2026-03-13 20:00:00+00:00,24385.75,timed_close,5.75,11.5
3644,8084,short,1h,2026-03-16 02:00:00+00:00,2026-03-16 03:00:00+00:00,24510.75,24525.0,2026-03-16 03:19:00+00:00,24510.75,24526.0,24410.75,2026-03-16 03:49:00+00:00,24526.0,stop,-15.25,-30.5
3645,8085,long,1h,2026-03-16 05:00:00+00:00,2026-03-16 06:00:00+00:00,24530.75,24504.0,2026-03-16 07:28:00+00:00,24530.75,24503.0,24630.75,2026-03-16 08:40:00+00:00,24503.0,stop,-27.75,-55.5
3646,8090,long,1h,2026-03-16 17:00:00+00:00,2026-03-16 18:00:00+00:00,24675.25,24617.25,2026-03-16 19:20:00+00:00,24675.25,24616.25,24775.25,2026-03-16 20:00:00+00:00,24669.25,timed_close,-6.0,-12.0
3647,8088,long,1h,2026-03-16 10:00:00+00:00,2026-03-16 11:00:00+00:00,24528.5,24478.0,2026-03-17 06:01:00+00:00,24528.5,24477.0,24628.5,2026-03-17 09:28:00+00:00,24628.5,target,100.0,200.0
3648,8094,long,1h,2026-03-18 00:00:00+00:00,2026-03-18 01:00:00+00:00,24786.75,24775.75,2026-03-18 12:19:00+00:00,24786.75,24774.75,24886.75,2026-03-18 12:30:00+00:00,24774.75,stop,-12.0,-24.0
3649,8093,long,1h,2026-03-17 12:00:00+00:00,2026-03-17 13:00:00+00:00,24619.0,24597.5,2026-03-18 14:26:00+00:00,24619.0,24596.5,24719.0,2026-03-18 14:28:00+00:00,24596.5,stop,-22.5,-45.0
3650,8096,short,1h,2026-03-18 16:00:00+00:00,2026-03-18 17:00:00+00:00,24666.0,24714.75,2026-03-18 17:59:00+00:00,24666.0,24715.75,24566.0,2026-03-18 18:50:00+00:00,24566.0,target,100.0,200.0
3651,8092,long,1h,2026-03-17 09:00:00+00:00,2026-03-17 10:00:00+00:00,24557.75,24526.5,2026-03-18 18:52:00+00:00,24557.75,24525.5,24657.75,2026-03-18 18:59:00+00:00,24525.5,stop,-32.25,-64.5
3652,8082,long,1h,2026-03-16 00:00:00+00:00,2026-03-16 01:00:00+00:00,24465.75,24407.0,2026-03-18 19:43:00+00:00,24465.75,24406.0,24565.75,2026-03-18 20:00:00+00:00,24442.25,timed_close,-23.5,-47.0
3653,8097,short,1h,2026-03-18 18:00:00+00:00,2026-03-18 19:00:00+00:00,24626.75,24697.0,2026-03-19 00:04:00+00:00,24626.75,24698.0,24526.75,2026-03-19 02:20:00+00:00,24698.0,stop,-71.25,-142.5
3654,8099,short,1h,2026-03-19 07:00:00+00:00,2026-03-19 08:00:00+00:00,24597.75,24639.25,2026-03-19 09:49:00+00:00,24597.75,24640.25,24497.75,2026-03-19 09:51:00+00:00,24640.25,stop,-42.5,-85.0
3655,8104,short,1h,2026-03-19 23:00:00+00:00,2026-03-20 00:00:00+00:00,24629.25,24658.5,2026-03-20 00:01:00+00:00,24629.25,24659.5,24529.25,2026-03-20 01:46:00+00:00,24659.5,stop,-30.25,-60.5
3656,8105,short,1h,2026-03-20 03:00:00+00:00,2026-03-20 04:00:00+00:00,24618.0,24642.0,2026-03-20 04:02:00+00:00,24618.0,24643.0,24518.0,2026-03-20 07:00:00+00:00,24518.0,target,100.0,200.0
3657,8106,short,1h,2026-03-20 06:00:00+00:00,2026-03-20 07:00:00+00:00,24586.0,24604.5,2026-03-20 07:41:00+00:00,24586.0,24605.5,24486.0,2026-03-20 07:46:00+00:00,24605.5,stop,-19.5,-39.0
3658,8102,long,1h,2026-03-19 18:00:00+00:00,2026-03-19 19:00:00+00:00,24454.75,24377.25,2026-03-20 09:46:00+00:00,24454.75,24376.25,24554.75,2026-03-20 10:04:00+00:00,24376.25,stop,-78.5,-157.0
3659,8108,long,1h,2026-03-20 15:00:00+00:00,2026-03-20 16:00:00+00:00,24285.75,24231.5,2026-03-20 16:30:00+00:00,24285.75,24230.5,24385.75,2026-03-20 17:05:00+00:00,24230.5,stop,-55.25,-110.5
3660,8109,long,1h,2026-03-23 08:00:00+00:00,2026-03-23 09:00:00+00:00,23856.0,23772.75,2026-03-23 09:35:00+00:00,23856.0,23771.75,23956.0,2026-03-23 11:05:00+00:00,23956.0,target,100.0,200.0
3661,8117,short,1h,2026-03-24 23:00:00+00:00,2026-03-25 00:00:00+00:00,24422.5,24457.5,2026-03-25 00:11:00+00:00,24422.5,24458.5,24322.5,2026-03-25 00:32:00+00:00,24458.5,stop,-36.0,-72.0
3662,8118,long,1h,2026-03-25 00:00:00+00:00,2026-03-25 01:00:00+00:00,24426.25,24383.25,2026-03-25 01:31:00+00:00,24426.25,24382.25,24526.25,2026-03-25 02:00:00+00:00,24382.25,stop,-44.0,-88.0
3663,8121,long,1h,2026-03-25 11:00:00+00:00,2026-03-25 12:00:00+00:00,24454.5,24426.5,2026-03-25 12:16:00+00:00,24454.5,24425.5,24554.5,2026-03-25 12:23:00+00:00,24425.5,stop,-29.0,-58.0
3664,8119,long,1h,2026-03-25 07:00:00+00:00,2026-03-25 08:00:00+00:00,24381.5,24324.5,2026-03-25 12:31:00+00:00,24381.5,24323.5,24481.5,2026-03-25 13:07:00+00:00,24481.5,target,100.0,200.0
3665,8123,short,1h,2026-03-26 02:00:00+00:00,2026-03-26 03:00:00+00:00,24355.75,24382.0,2026-03-26 03:30:00+00:00,24355.75,24383.0,24255.75,2026-03-26 03:34:00+00:00,24383.0,stop,-27.25,-54.5
3666,8124,short,1h,2026-03-26 11:00:00+00:00,2026-03-26 12:00:00+00:00,24155.5,24202.5,2026-03-26 13:17:00+00:00,24155.5,24203.5,24055.5,2026-03-26 13:51:00+00:00,24203.5,stop,-48.0,-96.0
3667,8110,long,1h,2026-03-23 11:00:00+00:00,2026-03-23 12:00:00+00:00,23883.25,23815.75,2026-03-26 17:50:00+00:00,23883.25,23814.75,23983.25,2026-03-26 19:31:00+00:00,23814.75,stop,-68.5,-137.0
3668,8127,short,1h,2026-03-27 00:00:00+00:00,2026-03-27 01:00:00+00:00,23869.25,23909.75,2026-03-27 01:31:00+00:00,23869.25,23910.75,23769.25,2026-03-27 04:55:00+00:00,23910.75,stop,-41.5,-83.0
3669,7499,long,1h,2025-09-07 22:00:00+00:00,2025-09-07 23:00:00+00:00,23691.0,23650.5,2026-03-27 10:38:00+00:00,23691.0,23649.5,23791.0,2026-03-27 10:55:00+00:00,23649.5,stop,-41.5,-83.0
