cell,trades,trades_yr,SR_gross,cost_SR,SR_net,ann_vol,maxDD,skew,long_$,short_$,net_$
20:00|OR15|or_stop   |both,1647,499.7519566526189,0.5161398128583078,0.4929185210483802,0.02322129180992759,0.02671670434170265,-0.07279963807132006,1.8131765193329166,3985.7799999999934,-3576.860000000007,408.9199999999869
20:00|OR60|or_stop   |both,1512,458.78868151715835,0.4785145894141699,0.4571496696270015,0.021364919787168427,0.02645752286147489,-0.07745699373667636,1.0458392359400719,4516.779999999994,-4144.200000000004,372.57999999998765
20:00|OR60|or_stop_2r|both,1512,458.78868151715835,0.4617974057043023,0.4762176775012815,-0.014420271796979257,0.025399824025596946,-0.0854673476576071,0.6294437683296908,3898.779999999995,-4140.200000000004,-241.42000000001008
20:00|OR30|or_stop   |both,1617,490.6490066225166,0.4583853024212166,0.47779666085821926,-0.01941135843700267,0.02709122212882167,-0.07153716695149048,1.2134245218300397,3547.6799999999935,-3894.300000000005,-346.6200000000123
20:00|OR60|close     |both,1512,458.78868151715835,0.3601078930279296,0.416588143043697,-0.056480250015767404,0.029035402474881008,-0.09546286331768739,0.11854497722885497,6171.779999999993,-7252.700000000005,-1080.9200000000128
18:00|OR30|close     |trend,1111,337.112582781457,0.24090281820723095,0.30453375725235865,-0.0636309390451277,0.02964363951263601,-0.09785428818418118,-0.9543858432385869,5278.299999999994,-6521.580000000002,-1243.2800000000097
18:00|OR15|or_stop   |trend,1171,355.31848284166165,0.31364784486791003,0.40605819559361256,-0.0924103507257025,0.02344173942440972,-0.07319073425496636,1.5450179567753606,5442.759999999993,-6870.6,-1427.840000000009
18:00|OR60|or_stop_2r|trend,1028,311.9277543648405,0.24604043714665771,0.3677619368066091,-0.12172149965995142,0.022714716492434475,-0.07930115711662455,0.8574020144426944,1917.0199999999936,-3739.420000000001,-1822.4000000000078
20:00|OR30|or_stop_2r|both,1617,490.6490066225166,0.3823186891417184,0.5118005844647241,-0.1294818953230057,0.025292866807055815,-0.08138339829356722,0.7424333132414205,2532.6799999999953,-4691.300000000005,-2158.6200000000104
20:00|OR15|or_stop_2r|both,1647,499.7519566526189,0.4410369777078785,0.5711585672569213,-0.13012158954904282,0.023057680106375843,-0.06722653628599762,0.7908517588485754,3250.779999999995,-5228.360000000006,-1977.5800000000092
18:00|OR60|close     |trend,1028,311.9277543648405,0.08732852186331021,0.2981643569780745,-0.21083583511476428,0.028023800743624237,-0.09521982864787648,-1.2077712737659276,1343.5199999999932,-5237.920000000002,-3894.4000000000115
18:00|OR30|or_stop   |trend,1111,337.112582781457,0.15670263706801926,0.38507527978239003,-0.22837264271437077,0.023442904270718965,-0.07356183949759021,1.2555588725265336,2746.2999999999947,-6275.080000000002,-3528.7800000000057
18:00|OR15|or_stop_2r|both,1634,495.8073449729079,0.2284459097715921,0.4873545520043495,-0.2589086422327574,0.02674797402607345,-0.11640441311189142,0.8283411209188525,6556.079999999993,-11120.720000000008,-4564.640000000012
18:00|OR15|close     |both,1634,495.8073449729079,0.03151872976228941,0.3234978111493448,-0.29197908138705536,0.04029923595672186,-0.19320109923036877,0.06553521474712323,7301.579999999992,-15057.220000000008,-7755.640000000014
18:00|OR60|or_stop_2r|both,1576,478.20830824804335,0.09523333900184924,0.42935346762050497,-0.3341201286186557,0.029318397029513138,-0.13645252604525937,0.7555685288355476,908.9999999999918,-7365.720000000006,-6456.720000000009
20:00|OR30|close     |both,1617,490.6490066225166,0.05382084369185906,0.39966314135000136,-0.3458422976581423,0.03237986744303369,-0.1061417396584674,-0.09556151747257455,3475.679999999993,-10856.800000000007,-7381.120000000014
18:00|OR60|or_stop   |trend,1028,311.9277543648405,-0.004298353454009468,0.36426068381105337,-0.36855903726506284,0.02293855873772419,-0.07879290062650468,0.9476535387435228,-19.480000000006385,-5552.920000000001,-5572.400000000009
18:00|OR15|or_stop   |both,1634,495.8073449729079,-0.013304045414744552,0.43291076328711675,-0.4462148087018613,0.030113131531556828,-0.18720622284949118,1.8725653163270537,3486.079999999995,-12342.720000000007,-8856.640000000014
18:00|OR30|or_stop_2r|both,1612,489.1318482841662,0.002081691769268827,0.4586870092078809,-0.4566053174386121,0.028058596308957517,-0.13549326277876006,0.7421255007355542,1021.7599999999929,-9466.300000000007,-8444.540000000012
18:00|OR30|or_stop   |both,1612,489.1318482841662,-0.1817549506262911,0.4228959687782008,-0.6046509194044919,0.030429786582974346,-0.19019859646435444,1.5467340878069709,-1957.740000000007,-10169.800000000005,-12127.540000000012
18:00|OR60|or_stop   |both,1576,478.20830824804335,-0.1967369295711824,0.41563689879109966,-0.612373828362282,0.03027935478002513,-0.18030288389022242,1.1260155730401187,-743.0000000000073,-11478.720000000005,-12221.720000000016
20:00|OR15|close     |both,1647,499.7519566526189,-0.2546372666405695,0.38383608652402035,-0.6384733531645899,0.03429747872908086,-0.17372155669191025,0.20135296532621041,1765.2799999999938,-16198.860000000008,-14433.58000000001
18:00|OR30|close     |both,1612,489.1318482841662,-0.3520714096184752,0.32759640354556124,-0.6796678131640365,0.0392757478470825,-0.2541967563276689,0.04024060010192614,421.2599999999902,-18016.300000000007,-17595.04000000002
18:00|OR60|close     |both,1576,478.20830824804335,-0.5913693303092717,0.335479142447602,-0.9268484727568738,0.03749191952925306,-0.2580734337253636,-0.5996871293482287,-2552.50000000001,-20351.72000000001,-22904.22000000002
