a,b,corr,overlap_obs
6N,LBR,0.049,10163
CL,HE,0.048,9893
CC,ZO,0.047,10199
GC,ZR,0.047,9957
LBR,ZS,0.047,10067
6N,LE,0.047,10171
LBR,PL,0.047,9886
NG,PL,0.046,9290
GF,PA,0.046,9896
CT,LE,0.046,9420
6B,NG,0.045,9297
GF,NKD,0.045,9264
LBR,ZC,0.044,9840
NKD,SB,0.044,9314
KC,LBR,0.044,10040
DC,LBR,0.044,5111
6E,ZB,0.043,10190
HO,LE,0.042,9901
LBR,PA,0.042,9847
HO,LBR,0.042,9896
CC,HG,0.042,7943
GC,ZO,0.042,10006
NG,SI,0.042,9280
YM,ZW,0.041,10143
CC,HO,0.041,9606
BZ,LE,0.04,9724
6B,DC,0.04,5317
HG,NG,0.04,7832
HE,ZW,0.04,9878
6A,GF,0.04,10192
CC,SB,0.04,9868
NKD,ZO,0.04,9503
DC,RTY,0.039,5134
CL,GF,0.039,9921
DC,ES,0.038,5115
6E,ES,0.038,12390
LE,NKD,0.038,9253
HE,ZC,0.038,9847
6E,NG,0.038,9174
6B,LE,0.038,10176
6N,CC,0.038,10382
GF,PL,0.037,9931
6N,DC,0.037,5322
NQ,SB,0.037,9851
6B,ZN,0.036,10463
LBR,ZW,0.036,9871
ES,SB,0.036,10132
6E,YM,0.036,10101
RTY,ZR,0.036,9458
HG,ZO,0.036,8186
HO,ZO,0.036,9722
GF,HG,0.035,8123
NQ,ZW,0.035,9892
LBR,LE,0.035,10140
PA,ZR,0.035,10382
DC,SI,0.035,5327
LE,ZC,0.035,9861
CC,NKD,0.034,9391
CC,PL,0.034,10104
DC,YM,0.034,5193
LE,SB,0.034,10117
SI,ZT,0.034,9984
6N,GF,0.034,10187
CT,LBR,0.034,9424
CC,RTY,0.033,9247
6B,ZW,0.033,10482
KC,LE,0.033,10044
SB,YM,0.033,9793
BZ,GF,0.033,9742
NG,SB,0.033,8781
6A,ZO,0.033,10496
BZ,HE,0.033,9712
PL,ZO,0.032,10396
DC,PA,0.032,5331
GC,LE,0.032,9453
LBR,SI,0.032,9449
6N,ZT,0.031,10471
CC,ES,0.031,9821
HE,HG,0.031,8099
PL,ZR,0.031,10343
CC,CL,0.031,9710
6E,ZO,0.031,10311
6E,DC,0.03,5317
ES,NG,0.029,8739
GF,LBR,0.029,10142
HE,SI,0.029,9460
6A,DC,0.029,5317
HE,RTY,0.029,9428
NG,RTY,0.029,8744
DC,PL,0.029,5335
CC,ZS,0.029,9860
NKD,ZF,0.029,9334
CL,ZO,0.029,9823
6N,ZO,0.028,10501
ES,ZR,0.028,9881
6B,LBR,0.028,10168
HE,YM,0.027,9812
ZR,ZW,0.027,10410
6E,ZR,0.026,10273
BZ,NKD,0.026,9390
DC,NQ,0.026,5127
NG,ZO,0.026,9241
CL,ZR,0.025,9799
ES,HE,0.025,10133
HE,SB,0.024,10116
CC,NQ,0.024,9670
NKD,ZC,0.024,9477
CC,LE,0.024,9839
NKD,ZT,0.024,9479
LBR,ZO,0.024,9887
HE,RB,0.024,5021
BZ,CC,0.023,10006
NKD,ZN,0.023,9480
CT,HE,0.023,9419
HO,ZR,0.023,9688
KC,NKD,0.023,9296
GF,SI,0.023,9496
6E,LE,0.023,10086
HE,PL,0.023,9893
DC,GC,0.022,5327
KC,NG,0.022,8708
HE,PA,0.022,9858
BZ,ZO,0.022,10286
6B,ZO,0.022,10496
LBR,NKD,0.022,9243
CC,YM,0.022,10045
HE,NQ,0.021,9865
6B,GF,0.021,10192
NG,PA,0.021,9310
CC,GF,0.02,9855
KC,ZR,0.02,9846
LE,ZW,0.02,9892
CT,NG,0.02,8432
NG,YM,0.02,8938
PA,ZO,0.02,10435
GF,KC,0.02,10042
HE,LBR,0.02,10137
6N,ZR,0.019,10463
SI,ZF,0.019,9980
GF,SB,0.019,10115
HO,NKD,0.019,9239
NG,ZR,0.018,9190
HE,HO,0.018,9902
ZO,ZR,0.018,10434
6B,HE,0.018,10179
CC,PA,0.018,10143
GC,RTY,0.018,9467
DC,NKD,0.017,4823
CC,HE,0.017,9825
LBR,SB,0.017,10113
6B,ZR,0.017,10458
GF,HO,0.016,9909
CC,LBR,0.016,9820
6E,GF,0.016,10104
ZR,ZT,0.015,10384
6E,LBR,0.015,10078
6B,ZB,0.014,10373
HE,NKD,0.014,9257
NQ,ZR,0.014,9880
ZC,ZO,0.014,10438
CT,NKD,0.014,9162
GC,LBR,0.013,9430
CL,NKD,0.013,9135
CT,ZR,0.013,9649
LE,NG,0.013,8736
NKD,ZB,0.012,9397
BZ,ZR,0.012,10237
GF,NG,0.012,8754
HE,KC,0.012,10043
CC,ZR,0.011,10187
NKD,ZR,0.011,9465
6N,ZF,0.01,10310
CC,NG,0.009,8957
NG,NKD,0.009,8415
6A,HE,0.009,10179
DC,KC,0.008,5108
HE,ZO,0.007,9898
HE,ZR,0.006,9884
NKD,ZW,0.006,9491
6E,HE,0.005,10089
6N,HE,0.005,10174
NG,NQ,0.005,8752
YM,ZO,0.005,10159
DC,ZT,0.005,5259
HE,NG,0.004,8722
GC,VX,0.004,9147
GC,HE,0.004,9439
KC,ZO,0.004,9861
RTY,ZO,0.004,9477
ZF,ZR,0.003,10223
LE,ZO,0.003,9912
SI,ZN,0.003,9986
LBR,ZR,0.003,9877
CC,ZF,0.002,9996
6A,ZT,0.001,10465
PL,ZT,0.001,10369
CC,ZN,0.0,10165
ES,ZO,-0.001,9899
LBR,NG,-0.002,8718
CT,GF,-0.002,9426
6E,NQ,-0.003,9849
6A,ZR,-0.004,10458
ZB,ZR,-0.004,10308
LE,ZR,-0.004,9902
CC,ZT,-0.005,10157
GC,GF,-0.005,9475
GF,ZR,-0.007,9912
ZN,ZR,-0.007,10388
CC,ZB,-0.007,10097
DC,ZF,-0.008,5261
NG,VX,-0.009,8996
DC,HE,-0.009,5136
PA,ZT,-0.01,10420
LBR,ZT,-0.01,9849
ZN,ZO,-0.011,10429
6N,ZN,-0.011,10469
ZO,ZT,-0.011,10415
ZF,ZO,-0.012,10252
HE,ZN,-0.013,9854
GF,ZO,-0.013,9930
NG,ZB,-0.014,9180
NG,ZT,-0.014,9222
HE,ZB,-0.014,9798
DC,ZN,-0.014,5265
NQ,ZO,-0.014,9908
ZT,ZW,-0.014,10402
PL,ZF,-0.015,10224
ES,GC,-0.015,9464
HE,ZF,-0.015,9703
VX,ZO,-0.016,9096
VX,ZW,-0.017,9085
LBR,ZN,-0.017,9851
HE,ZT,-0.018,9852
DC,ZB,-0.019,5233
DC,NG,-0.019,5317
LBR,ZF,-0.02,9700
NG,ZF,-0.02,9220
NG,ZN,-0.02,9222
LBR,ZB,-0.02,9799
ZF,ZW,-0.02,10239
ZN,ZW,-0.022,10414
6A,ZF,-0.022,10304
ZB,ZO,-0.024,10347
DC,VX,-0.024,5288
6N,ZB,-0.024,10379
GC,NQ,-0.025,9477
DC,ZC,-0.025,5281
DC,GF,-0.027,5144
ZC,ZT,-0.027,10391
VX,ZC,-0.028,9060
PA,ZF,-0.029,10298
HE,VX,-0.029,8769
SI,ZB,-0.029,9940
SB,ZT,-0.03,9886
SB,ZN,-0.032,9902
GC,YM,-0.032,9706
GF,ZN,-0.033,9878
LE,ZN,-0.034,9870
GF,ZS,-0.034,10103
PL,ZN,-0.034,10367
ZC,ZF,-0.035,10228
GF,ZF,-0.036,9733
KC,ZT,-0.036,9815
VX,ZR,-0.036,9057
KC,ZN,-0.036,9831
CT,ZT,-0.037,9620
ZB,ZC,-0.038,10317
LE,ZB,-0.038,9816
KC,ZB,-0.038,9768
GF,ZB,-0.038,9822
GF,ZT,-0.039,9882
SB,ZF,-0.039,9740
CT,ZB,-0.04,9566
HG,ZT,-0.041,8180
SB,ZB,-0.041,9839
ZC,ZN,-0.041,10397
LE,ZF,-0.042,9721
KC,ZF,-0.042,9669
LE,ZT,-0.043,9868
6E,VX,-0.043,9087
6A,ZN,-0.045,10463
NKD,VX,-0.047,8281
ZB,ZW,-0.048,10336
CC,VX,-0.049,8838
PL,ZB,-0.049,10283
KC,VX,-0.049,8750
CT,ZF,-0.049,9459
PA,ZN,-0.049,10418
GF,ZW,-0.05,9910
ZS,ZT,-0.05,9939
CC,ZW,-0.053,10179
CT,ZN,-0.054,9630
CC,CT,-0.055,9703
SB,VX,-0.06,8821
PA,ZB,-0.06,10357
ZN,ZS,-0.061,9919
HO,ZT,-0.062,9696
6A,ZB,-0.063,10373
CT,ZO,-0.064,9668
ZF,ZS,-0.064,9788
HG,ZF,-0.066,8176
ZB,ZS,-0.071,9865
CT,VX,-0.071,8309
CL,ZT,-0.073,9815
BZ,ZT,-0.075,10273
DC,ZW,-0.078,5285
LBR,VX,-0.08,8760
GF,VX,-0.084,8793
HG,ZN,-0.086,8168
LE,VX,-0.087,8785
HO,ZF,-0.089,9553
VX,ZS,-0.091,8772
CC,ZC,-0.092,10163
CT,DC,-0.093,4770
HO,VX,-0.093,8616
YM,ZB,-0.095,10083
ES,ZB,-0.097,9825
HO,ZN,-0.097,9684
6B,VX,-0.099,9142
NQ,ZB,-0.103,9826
HG,ZB,-0.106,8150
GF,ZC,-0.106,9879
CL,ZF,-0.106,9668
CL,VX,-0.109,8713
BZ,ZF,-0.11,10257
SI,VX,-0.111,9141
YM,ZT,-0.113,10137
ES,ZN,-0.114,9869
YM,ZN,-0.115,10131
BZ,VX,-0.115,9115
ES,ZT,-0.118,9877
BZ,ZN,-0.119,10269
YM,ZF,-0.12,9984
RB,ZT,-0.121,5068
ES,ZF,-0.121,9730
CL,ZN,-0.121,9793
NQ,ZN,-0.124,9874
HO,ZB,-0.124,9622
NQ,ZT,-0.132,9884
NQ,ZF,-0.132,9737
BZ,ZB,-0.141,10229
PL,VX,-0.149,9141
CL,ZB,-0.149,9731
PA,VX,-0.152,9147
RB,ZF,-0.158,5066
RTY,ZT,-0.168,9472
RB,ZN,-0.177,5056
RTY,ZB,-0.177,9456
RTY,ZF,-0.179,9472
RB,ZB,-0.183,5026
RTY,ZN,-0.185,9460
HG,VX,-0.194,7797
RB,VX,-0.198,5071
6N,VX,-0.246,9148
6A,VX,-0.278,9142
NQ,VX,-0.602,8795
RTY,VX,-0.642,8799
VX,YM,-0.672,8849
ES,VX,-0.703,8790
