market,start,trough,end,depth_pct,length_days,recovery_days
ZB,1998-10-06,2000-01-18,2002-09-18,-43.8,1032,696
ZC,1996-07-15,2000-09-04,2008-02-29,-71.3,3012,1933
ZC,2012-08-22,2020-08-07,2026-07-02,-66.8,3508,1495
ZC,2008-06-30,2008-12-05,2011-03-31,-61.1,717,602
ZC,1986-05-19,1987-02-16,1988-06-10,-49.8,540,344
ZC,1988-06-28,1993-01-01,1995-12-19,-42.4,1951,772
ZF,2012-07-25,2023-10-19,2026-07-02,-21.6,3503,683
ZF,1986-09-02,1987-09-29,1991-12-02,-15.2,1370,1089
ZF,1993-10-18,1995-01-09,1998-09-17,-14.5,1284,963
ZF,2003-06-16,2006-06-28,2008-11-18,-14.3,1417,624
ZF,1998-10-06,2000-05-08,2001-09-12,-12.6,767,352
ZN,2020-08-05,2023-10-19,2026-07-02,-36.4,1492,689
ZN,1986-09-02,1987-10-19,1991-12-20,-26.2,1384,1089
ZN,1993-10-18,1994-11-07,1998-08-26,-23.7,1268,992
ZN,1998-10-06,2000-01-20,2002-08-12,-22.0,1005,667
ZN,2003-06-16,2007-06-12,2008-11-19,-18.9,1418,376
ZO,1988-06-29,2000-07-03,2008-02-25,-77.3,5129,1995
ZO,2014-03-13,2016-09-12,2021-09-30,-74.3,1894,1253
ZO,2021-11-22,2024-07-09,2026-07-02,-68.8,1162,501
ZO,2008-07-07,2009-02-20,2014-02-05,-63.0,1458,1293
ZO,1986-01-17,1986-07-22,1986-10-24,-28.1,201,68
ZR,1988-01-27,2002-05-06,2007-11-22,-73.8,5172,1448
ZR,2008-04-24,2017-02-20,2026-07-02,-64.1,4570,2302
ZR,1987-10-19,1987-11-04,1988-01-05,-27.8,57,44
ZR,1987-08-17,1987-08-26,1987-09-07,-10.3,16,8
ZR,1986-11-19,1986-12-31,1987-05-19,-8.1,130,99
ZS,1988-06-28,2001-10-22,2004-03-19,-57.6,3866,577
ZS,2004-05-12,2006-09-12,2008-02-13,-56.9,910,345
ZS,2008-07-14,2008-12-05,2010-11-08,-50.9,559,460
ZS,2012-08-31,2019-05-13,2021-01-05,-42.7,2054,413
ZS,2022-03-24,2024-08-16,2026-07-02,-41.0,1074,473
ZT,2011-09-20,2023-10-18,2026-07-02,-9.7,3726,688
ZT,2003-06-16,2006-06-28,2008-11-18,-7.8,1417,624
ZT,1993-10-12,1994-12-26,2001-08-16,-7.4,2048,1733
ZT,1986-09-02,1989-03-20,1991-10-03,-7.1,1328,663
ZT,2001-11-09,2002-04-01,2002-07-22,-2.7,182,80
ZW,2008-02-28,2009-09-08,2026-07-02,-80.3,4660,4261
ZW,1996-04-29,1999-07-05,2007-08-21,-70.3,2952,2121
ZW,1989-01-10,1990-11-29,1992-02-03,-46.7,800,307
ZW,1992-02-11,1993-06-17,1995-07-14,-39.6,894,541
ZW,1986-03-20,1986-06-17,1988-06-03,-34.4,577,513
