market,date,return_pct,rank
HG,2008-12-08,9.08,best
HG,2018-02-20,9.85,best
HG,2025-07-08,13.45,best
HO,1991-01-17,-32.36,worst
HO,1986-03-03,-21.28,worst
HO,2022-03-09,-19.37,worst
HO,2000-02-01,-18.92,worst
HO,2015-03-02,-17.9,worst
HO,1986-08-05,11.64,best
HO,2026-03-02,11.73,best
HO,1990-08-06,13.47,best
HO,1986-08-04,13.64,best
HO,1991-01-14,15.02,best
KC,1997-03-19,-19.8,worst
KC,1997-07-10,-17.92,worst
KC,2013-07-18,-16.54,worst
KC,1989-07-03,-14.13,worst
KC,1997-06-10,-13.96,worst
KC,1999-11-30,17.81,best
KC,2013-07-17,19.19,best
KC,1999-10-13,23.61,best
KC,1994-07-11,24.8,best
KC,1994-06-27,26.84,best
LBR,2020-09-16,-33.48,worst
LBR,2021-03-16,-19.23,worst
LBR,2022-03-16,-19.01,worst
LBR,1996-09-16,-18.49,worst
LBR,1985-07-17,-15.89,worst
LBR,1993-05-17,19.24,best
LBR,2009-01-16,19.63,best
LBR,2021-11-16,24.44,best
LBR,2021-09-15,26.52,best
LBR,2023-03-16,27.68,best
LE,2018-05-01,-14.48,worst
LE,2017-05-01,-10.05,worst
LE,1996-10-25,-9.86,worst
LE,1988-06-21,-9.49,worst
LE,2020-03-02,-8.65,worst
LE,2002-03-01,6.11,best
LE,2020-07-01,6.19,best
LE,2014-04-21,6.75,best
LE,2002-11-01,6.8,best
LE,2019-11-01,7.03,best
NG,2009-11-26,-35.7,worst
NG,1997-01-02,-35.2,worst
NG,2009-09-07,-32.92,worst
NG,2001-11-22,-32.1,worst
NG,1995-12-22,-31.32,worst
NG,2001-11-26,41.15,best
NG,2004-11-29,42.23,best
NG,2009-09-08,53.39,best
NG,2009-11-27,56.39,best
NG,1997-01-01,61.77,best
NKD,1987-10-20,-16.13,worst
NKD,2008-10-16,-12.82,worst
NKD,2008-10-10,-10.38,worst
NKD,2011-03-15,-9.55,worst
NKD,2020-03-13,-9.0,worst
NKD,1994-01-31,9.31,best
NKD,2024-08-06,10.1,best
NKD,2025-04-10,11.72,best
NKD,1990-10-02,13.19,best
NKD,1998-10-07,13.82,best
NQ,1987-10-19,-15.08,worst
NQ,2020-03-16,-12.19,worst
NQ,1987-10-26,-11.69,worst
NQ,2008-09-29,-10.52,worst
NQ,1998-08-31,-9.86,worst
NQ,2008-10-28,10.92,best
NQ,2000-12-05,11.68,best
NQ,2025-04-09,12.02,best
NQ,2008-10-13,12.58,best
NQ,2001-01-03,18.77,best
PA,2020-03-12,-20.53,worst
PA,2025-12-29,-18.04,worst
PA,2026-01-30,-15.63,worst
PA,2025-06-27,-15.4,worst
PA,2008-11-19,-15.26,worst
PA,2000-02-21,14.07,best
PA,1998-07-16,14.39,best
PA,1997-05-28,14.53,best
PA,1997-06-04,19.79,best
PA,2020-03-25,19.88,best
PL,2026-01-30,-18.97,worst
PL,2025-12-29,-13.83,worst
PL,2020-03-16,-12.96,worst
PL,2026-01-27,-11.84,worst
PL,2020-03-12,-11.27,worst
PL,2000-04-28,8.32,best
PL,1986-08-11,8.76,best
PL,2025-12-23,9.39,best
PL,2008-09-22,9.7,best
PL,2020-03-24,10.19,best
RB,2020-03-16,-18.9,worst
RB,2017-09-01,-18.32,worst
RB,2020-04-21,-16.5,worst
RB,2020-03-23,-15.87,worst
RB,2020-03-12,-15.59,worst
RB,2008-12-31,13.88,best
RB,2025-02-27,15.23,best
RB,2006-03-01,16.55,best
RB,2020-04-22,18.43,best
RB,2016-03-01,24.18,best
RTY,2020-03-16,-14.27,worst
RTY,1987-10-19,-12.52,worst
RTY,2008-12-01,-11.85,worst
RTY,2020-03-12,-11.18,worst
RTY,2020-03-18,-10.42,worst
RTY,2025-04-09,8.37,best
RTY,2009-03-23,8.4,best
RTY,2008-11-13,8.49,best
RTY,2008-10-13,9.27,best
RTY,2020-03-24,9.39,best
SB,1988-12-23,-33.27,worst
SB,1985-05-15,-30.52,worst
SB,1988-12-16,-29.61,worst
SB,1988-12-29,-28.16,worst
SB,1985-12-23,-24.58,worst
SB,1988-12-30,24.84,best
SB,1984-10-01,25.13,best
SB,1985-05-14,29.12,best
SB,1984-12-31,30.41,best
SB,1988-12-19,44.04,best
SI,2026-01-30,-26.91,worst
SI,2026-02-05,-19.66,worst
SI,2006-04-20,-15.9,worst
SI,2008-10-10,-15.57,worst
SI,2008-10-02,-13.82,worst
SI,2022-10-03,9.24,best
SI,2026-02-06,10.08,best
SI,2020-08-06,10.32,best
SI,2020-07-21,11.98,best
SI,2008-09-17,14.94,best
VX,2025-04-09,-35.75,worst
VX,2010-05-10,-29.57,worst
VX,2024-08-06,-28.16,worst
VX,2011-08-09,-26.96,worst
VX,2006-06-15,-25.91,worst
VX,2021-01-27,61.64,best
VX,2007-02-27,64.22,best
VX,2024-08-05,64.9,best
VX,2024-12-18,74.04,best
VX,2018-02-05,115.6,best
YM,1987-10-19,-22.61,worst
YM,2020-03-16,-12.93,worst
YM,2020-03-12,-9.99,worst
YM,1987-10-26,-8.04,worst
YM,2008-10-15,-7.87,worst
YM,2020-03-13,9.36,best
YM,1987-10-21,10.15,best
YM,2008-10-28,10.88,best
YM,2008-10-13,11.08,best
YM,2020-03-24,11.37,best
ZB,2020-03-18,-8.84,worst
ZB,1994-04-04,-8.41,worst
ZB,2020-03-10,-8.38,worst
ZB,2011-08-11,-7.3,worst
ZB,2020-03-17,-7.29,worst
ZB,2009-03-18,8.6,best
ZB,2008-09-15,8.75,best
ZB,2001-10-31,9.92,best
ZB,2020-03-06,11.08,best
ZB,1987-10-20,22.53,best
ZC,1996-07-23,-24.13,worst
ZC,2013-07-15,-23.56,worst
ZC,1986-07-23,-19.37,worst
ZC,2013-09-03,-15.31,worst
ZC,2000-07-04,-14.32,worst
ZC,2009-12-28,13.82,best
ZC,2005-07-05,15.21,best
ZC,2000-07-05,17.99,best
ZC,2013-09-02,18.79,best
ZC,2000-09-05,19.01,best
ZF,1987-09-29,-4.06,worst
ZF,2008-09-19,-1.99,worst
ZF,1994-04-04,-1.89,worst
ZF,1996-03-08,-1.63,worst
ZF,2008-09-30,-1.52,worst
ZF,2009-03-18,1.98,best
ZF,2008-09-15,2.06,best
ZF,2001-09-13,2.23,best
ZF,1987-09-30,3.46,best
ZF,1987-10-20,4.29,best
ZN,2000-05-12,-5.02,worst
ZN,2000-05-05,-4.9,worst
ZN,2000-05-19,-4.79,worst
ZN,2000-05-26,-3.25,worst
ZN,2004-04-05,-3.23,worst
ZN,2000-05-11,4.46,best
ZN,2000-05-25,4.65,best
ZN,2009-03-18,4.65,best
ZN,2000-05-18,4.75,best
ZN,1987-10-20,7.68,best
ZO,2001-12-17,-45.82,worst
ZO,2002-01-02,-40.67,worst
ZO,2001-12-26,-38.82,worst
ZO,2022-07-13,-29.36,worst
ZO,1997-11-28,-26.5,worst
ZO,2002-05-17,36.64,best
ZO,2002-01-15,42.94,best
ZO,2001-12-25,63.47,best
ZO,2001-11-15,64.37,best
ZO,2002-01-01,68.55,best
ZR,2020-07-15,-25.9,worst
ZR,2004-07-22,-21.69,worst
ZR,2024-07-12,-16.61,worst
ZR,2023-05-31,-13.59,worst
ZR,1999-07-21,-12.16,worst
ZR,1987-09-18,10.62,best
ZR,1990-07-18,12.43,best
ZR,2003-07-23,17.56,best
ZR,2000-07-21,32.42,best
ZR,1986-08-20,395.0,best
ZS,2008-09-15,-20.87,worst
ZS,1997-09-22,-15.99,worst
ZS,2004-07-15,-12.93,worst
ZS,2004-08-16,-11.73,worst
ZS,1988-07-18,-11.01,worst
ZS,1993-11-10,7.69,best
ZS,1988-07-13,7.85,best
ZS,2004-08-12,7.93,best
ZS,1988-08-01,8.12,best
ZS,2008-09-12,22.53,best
ZT,2008-09-19,-0.92,worst
ZT,1994-04-27,-0.92,worst
ZT,1994-04-04,-0.7,worst
ZT,1990-06-06,-0.67,worst
ZT,2008-09-30,-0.66,worst
ZT,2008-09-29,0.93,best
