sess,entry,exit,high,low,bars,prior_day_ret,trend,mfe,mae,pnl,mfe_usd,mae_usd,prior_night,vol20,dow,year,month
2020-05-14,9085.75,9111.25,9143.0,9052.5,144,1.7069144024400407,9.56194513673616,57.25,33.25,50.5,114.5,66.5,41.5,124.21482611313253,3,2020,5
2020-05-17,9121.5,9207.75,9244.0,9110.0,144,2.0616543450969527,10.222451467352967,122.5,11.5,172.0,245.0,23.0,50.5,124.38326539581713,6,2020,5
2020-05-18,9317.0,9316.5,9417.25,9295.75,144,0.5529332434254908,12.144112404017203,100.25,21.25,-1.5,200.5,42.5,172.0,117.7876629899394,0,2020,5
2020-05-19,9291.0,9405.75,9410.0,9273.25,144,-0.38330608196852634,11.59040041508601,119.0,17.75,229.0,238.0,35.5,-1.5,113.54575648516962,1,2020,5
2020-05-20,9496.25,9423.75,9503.25,9410.5,144,0.8295886622882831,13.441710387839567,7.0,85.75,-145.5,14.0,171.5,229.0,114.85179236967214,2,2020,5
2020-05-21,9361.0,9288.25,9408.25,9241.25,144,-1.1124584805187965,11.946979771235666,47.25,119.75,-146.0,94.5,239.5,-145.5,126.6832430866345,3,2020,5
2020-05-24,9404.5,9502.75,9506.5,9390.5,144,0.5102449710148838,11.905183972550759,102.0,14.0,196.0,204.0,28.0,-146.0,137.05914973585584,6,2020,5
2020-05-25,9530.0,9581.5,9604.0,9503.75,144,0.15234292918679948,12.800505516663584,74.0,26.25,102.5,148.0,52.5,196.0,134.37492717256274,0,2020,5
2020-05-26,9409.75,9503.5,9508.0,9375.0,144,-1.7863214332417887,10.712508343534255,98.25,34.75,187.0,196.5,69.5,102.5,129.04641147970537,1,2020,5
2020-05-27,9437.0,9376.75,9481.75,9358.5,144,0.7851725243029684,10.610948309063485,44.75,78.5,-121.0,89.5,157.0,187.0,131.41355974255657,2,2020,5
2020-05-28,9454.75,9429.0,9463.5,9381.25,144,0.3437158615544389,9.874656532290494,8.75,73.5,-52.0,17.5,147.0,-121.0,136.62175021415482,3,2020,5
2020-05-31,9541.0,9503.75,9588.25,9450.0,144,1.0697452735264568,10.763791354330365,47.25,91.0,-75.0,94.5,182.0,-52.0,128.03971423371968,6,2020,5
2020-06-01,9589.0,9662.25,9666.75,9553.5,144,0.7693721608066584,10.76865526459958,77.75,35.5,146.0,155.5,71.0,-75.0,131.02573823088093,0,2020,6
2020-06-02,9657.0,9689.5,9699.0,9635.25,144,0.5284119009813404,10.792103294272092,42.0,21.75,64.5,84.0,43.5,146.0,131.0562228687808,1,2020,6
2020-06-03,9684.0,9654.5,9707.5,9646.5,144,0.2040869048541616,10.72402803897321,23.5,37.5,-59.5,47.0,75.0,64.5,129.9446744620671,2,2020,6
2020-06-04,9642.25,9667.25,9704.0,9611.0,144,-0.5551969012265956,9.389424647417233,61.75,31.25,49.5,123.5,62.5,-59.5,121.62960111922185,3,2020,6
2020-06-07,9819.0,9813.0,9875.75,9797.25,144,1.5045757716767527,11.039656292897648,56.75,21.75,-12.5,113.5,43.5,49.5,117.8447322583941,6,2020,6
2020-06-08,9887.25,9826.75,9907.25,9813.0,144,0.8817533129459765,11.364802578275523,20.0,74.25,-121.5,40.0,148.5,-12.5,118.46412681527359,0,2020,6
2020-06-09,9960.0,9988.25,10016.25,9957.5,144,1.0752960868352313,11.594580291817525,56.25,2.5,56.0,112.5,5.0,-121.5,123.52040104243576,1,2020,6
2020-06-10,10086.25,9988.0,10107.0,9922.25,144,0.5080566831868083,12.42355966803057,20.75,164.0,-197.0,41.5,328.0,56.0,119.0949422232441,2,2020,6
2020-06-11,9618.0,9786.75,9790.75,9594.75,144,-3.367164479814644,6.384335523495777,172.75,23.25,337.0,345.5,46.5,-197.0,129.18512573251718,3,2020,6
2020-06-14,9540.25,9522.5,9598.0,9381.0,144,-1.3858050685246148,6.649826445624041,57.75,159.25,-36.0,115.5,318.5,337.0,147.75349314598984,6,2020,6
2020-06-15,9816.25,9906.75,9959.25,9799.5,144,2.683048489144424,7.418415228900943,143.0,16.75,180.5,286.0,33.5,-36.0,144.5475700245423,0,2020,6
2020-06-16,9962.75,9998.5,10049.5,9926.0,144,-0.33793932111745306,8.886146656208261,86.75,36.75,71.0,173.5,73.5,180.5,148.78946623722345,1,2020,6
2020-06-17,9998.5,10015.0,10042.5,9879.0,144,-0.3644351255553846,8.706782545039404,44.0,119.5,32.5,88.0,239.0,71.0,141.6398694985946,2,2020,6
2020-06-18,9995.75,10072.5,10087.0,9995.25,144,0.41124401313974435,8.626948641532417,91.25,0.5,153.0,182.5,1.0,32.5,136.09783632604723,3,2020,6
2020-06-21,9884.5,10016.75,10038.0,9841.25,144,0.41124401313974435,8.626948641532417,153.5,43.25,264.0,307.0,86.5,153.0,132.0990358146412,6,2020,6
2020-06-22,10120.5,10186.75,10197.5,9972.5,144,1.2461838746809395,9.31004987845132,77.0,148.0,132.0,154.0,296.0,264.0,136.973864199285,0,2020,6
2020-06-23,10183.5,10137.5,10241.75,10106.0,144,0.16206261510129938,9.758086085469841,58.25,77.5,-92.5,116.5,155.0,132.0,137.7432083529652,1,2020,6
2020-06-24,10005.75,10000.0,10048.0,9894.0,144,-1.7089183407509423,7.256834155186742,42.25,111.75,-12.0,84.5,223.5,-92.5,137.28187483384215,2,2020,6
2020-06-25,10088.0,10094.5,10120.5,10033.0,144,0.9027708312493665,7.914342505878613,32.5,55.0,12.5,65.0,110.0,-12.0,132.8140369880104,3,2020,6
2020-06-28,9796.5,9857.0,9882.0,9777.75,144,-2.300761956764541,5.033294519078568,85.5,18.75,120.5,171.0,37.5,12.5,131.20001554476787,6,2020,6
2020-06-29,9984.0,9979.0,10028.25,9951.0,144,1.1563484802277202,5.947971222653892,44.25,33.0,-10.5,88.5,66.0,120.5,129.08408112544305,0,2020,6
2020-07-01,10256.25,10312.0,10336.0,10247.75,144,1.1405345485897334,8.52378784971286,79.75,8.5,111.0,159.5,17.0,-10.5,127.97782240027274,2,2020,7
2020-07-02,10350.0,10361.25,10389.75,10340.0,144,-0.32068283744032255,8.883452749306509,39.75,10.0,22.0,79.5,20.0,111.0,128.74072271123262,3,2020,7
2020-07-05,10334.0,10476.0,10504.25,10334.0,144,-0.28248587570621764,8.390479714674882,170.25,0.0,283.5,340.5,0.0,22.0,126.39750112036884,6,2020,7
2020-07-06,10599.0,10549.25,10664.75,10533.25,144,1.1604584527220574,10.762116354863348,65.75,65.75,-100.0,131.5,131.5,283.5,136.4863859607673,0,2020,7
2020-07-07,10527.75,10536.5,10585.75,10505.25,144,-0.5954912803062484,9.58985477116807,58.0,22.5,17.0,116.0,45.0,-100.0,140.43563800208477,1,2020,7
2020-07-08,10674.0,10707.0,10714.0,10645.5,144,0.7637017070979413,10.56725878710958,40.0,28.5,65.5,80.0,57.0,17.0,134.27891975091862,2,2020,7
2020-07-09,10727.5,10706.75,10757.5,10650.25,144,0.06521334078628538,11.057689822210515,30.0,77.25,-42.0,60.0,154.5,65.5,134.25392280851105,3,2020,7
2020-07-12,10847.5,10895.5,10917.0,10846.5,144,0.8058130327448954,11.461039880720914,69.5,1.0,95.5,139.0,2.0,-42.0,122.09249082474086,6,2020,7
2020-07-13,10601.25,10632.0,10693.0,10584.75,144,-3.0948571428571436,8.751471746318384,91.75,16.5,61.0,183.5,33.0,95.5,105.70625572784213,0,2020,7
2020-07-14,10686.5,10676.25,10740.0,10661.75,144,1.7178528031259743,9.095462362678797,53.5,24.75,-21.0,107.0,49.5,61.0,103.09991002599557,1,2020,7
2020-07-15,10692.75,10514.5,10698.5,10496.75,144,-0.3496585001981356,8.847483158163282,5.75,196.0,-357.0,11.5,392.0,-21.0,101.38191212076796,2,2020,7
2020-07-16,10534.0,10605.5,10623.0,10523.5,144,0.39966891332623433,7.736120352620457,89.0,10.5,142.5,178.0,21.0,-357.0,137.3264933997575,3,2020,7
2020-07-19,10622.0,10630.25,10657.0,10545.5,144,-0.12214601146293136,7.56752189424077,35.0,76.5,16.0,70.0,153.0,142.5,139.3354056338799,6,2020,7
2020-07-20,10952.25,11046.5,11057.75,10931.75,144,2.59621473299092,10.283607307064191,105.5,20.5,188.0,211.0,41.0,16.0,136.95135517478636,0,2020,7
2020-07-21,10850.5,10833.0,10916.25,10782.0,144,-1.6157254857402603,8.806889008629359,65.75,68.5,-35.5,131.5,137.0,188.0,131.2085122399095,1,2020,7
2020-07-22,10849.75,10895.5,10938.5,10806.0,144,0.19607390832967475,8.779548363022549,88.75,43.75,91.0,177.5,87.5,-35.5,129.80090776991776,2,2020,7
2020-07-23,10566.25,10466.0,10597.75,10378.0,144,-2.49475455949828,5.5725342151473845,31.5,188.25,-201.0,63.0,376.5,91.0,127.65801354028892,3,2020,7
2020-07-26,10488.25,10547.25,10552.5,10400.5,144,0.5232837253960732,4.258573610864924,64.25,87.75,117.5,128.5,175.5,-201.0,137.71690069429408,6,2020,7
2020-07-27,10683.0,10637.5,10758.5,10625.5,144,1.0809016995757093,5.84378417528324,75.5,57.5,-91.5,151.0,115.0,117.5,139.28996638969392,0,2020,7
2020-07-28,10557.75,10586.5,10606.5,10512.0,144,-0.9947089947089927,4.251423670040366,48.75,45.75,57.0,97.5,91.5,-91.5,139.9612352346928,1,2020,7
2020-07-29,10699.5,10578.0,10702.75,10520.75,144,0.5760559057534698,5.203759587887524,3.25,178.75,-243.5,6.5,357.5,57.0,140.06177913222496,2,2020,7
2020-07-30,10905.0,10879.25,10939.25,10844.25,144,1.308380258363706,5.486926410680382,34.25,60.75,-52.0,68.5,121.5,-243.5,150.13813814722675,3,2020,7
2020-08-02,10928.75,10945.0,10955.0,10876.25,144,0.01835620210177691,7.065697417945782,26.25,52.5,32.0,52.5,105.0,-52.0,150.56296986555756,6,2020,8
2020-08-03,11052.5,11005.25,11092.0,10986.5,144,0.46418494584508085,8.099426401213595,39.5,66.0,-95.0,79.0,132.0,32.0,135.33151060694567,0,2020,8
2020-08-04,11079.25,11136.5,11143.5,11055.75,144,0.6286881525192856,8.223438672408378,64.25,23.5,114.0,128.5,47.0,-95.0,135.16690218899143,1,2020,8
2020-08-05,11093.5,11096.25,11128.5,11065.75,144,0.09008197459687839,8.120837272349979,35.0,27.75,5.0,70.0,55.5,114.0,138.00202849386312,2,2020,8
