date,Sarah baseline,P4 · 1h reference,P4 · no BOS,P4 · normal RVOL,P4 · low impulse volume,P4 · first Sarah test,P4 · first physical touch,P4 · width ≤0.5 ATR,P4 · opposing room,P5 · first touch + opposing,P5 · first touch + width,P5 · first touch + low volume
2019-07-21,0.391304347826087,-0.04807692307692308,-0.3470873786407767,1.255952380952381,-7.75,0.5121951219512195,-0.40524193548387094,0.7530864197530864,-0.5021367521367521,-1.3985849056603774,0.9133333333333333,-7.75
2019-07-22,0.2375886524822695,-0.20112781954887218,-0.40865384615384615,1.069767441860465,-7.6571428571428575,0.3373015873015873,-0.5570866141732284,0.48214285714285715,-0.5882352941176471,-1.4768518518518519,0.6153846153846154,-7.6571428571428575
2019-07-23,-0.09246575342465753,-0.5344202898550725,-0.7037037037037037,0.592391304347826,-7.6571428571428575,-0.03435114503816794,-0.8920454545454546,0.25,-0.9435483870967742,-1.8274336283185841,0.3611111111111111,-7.6571428571428575
2019-07-24,-0.3875838926174497,-0.8368794326241135,-1.0833333333333333,0.0,-8.208333333333334,-0.31954887218045114,-1.162313432835821,0.15056818181818182,-1.2696850393700787,-2.126086956521739,0.2530487804878049,-8.208333333333334
2019-07-25,-0.6185064935064936,-1.0650684931506849,-1.1907894736842106,-0.5384615384615384,-8.223684210526315,-0.5797101449275363,-1.3902877697841727,0.14166666666666666,-1.5056818181818181,-2.35,0.24107142857142858,-8.223684210526315
2019-07-26,-0.38225806451612904,-0.8129251700680272,-0.8673913043478261,-0.6839622641509434,-7.089743589743589,-0.31654676258992803,-1.1232142857142857,0.5357142857142857,-1.2236842105263157,-2.0330578512396693,0.6617647058823529,-7.089743589743589
2019-07-27,-0.38225806451612904,-0.8129251700680272,-0.8673913043478261,-0.6839622641509434,-7.089743589743589,-0.31654676258992803,-1.1232142857142857,0.5357142857142857,-1.2236842105263157,-2.0330578512396693,0.6617647058823529,-7.089743589743589
2019-07-28,-0.38225806451612904,-0.8129251700680272,-0.8673913043478261,-0.6839622641509434,-7.089743589743589,-0.31654676258992803,-1.1232142857142857,0.5357142857142857,-1.2236842105263157,-2.0330578512396693,0.6617647058823529,-7.089743589743589
2019-07-29,-0.23076923076923078,-0.9628378378378378,-0.9658119658119658,-0.9,-7.089743589743589,-0.4785714285714286,-1.2007042253521127,0.3817204301075269,-1.3037037037037038,-2.1077235772357725,0.4942528735632184,-7.089743589743589
2019-07-30,-0.19025157232704404,-0.9056291390728477,-0.89375,-0.9,-6.463414634146342,-0.42832167832167833,-1.1362068965517242,0.2394736842105263,-1.3363970588235294,-2.1370967741935485,0.3398876404494382,-6.463414634146342
