market,date,return_pct,rank
HE,2024-08-13,-19.08,worst
HE,2025-08-14,-18.74,worst
HE,2018-12-14,17.7,best
HE,2006-04-18,18.2,best
HE,2008-04-15,21.91,best
HE,2009-04-16,25.33,best
HE,2018-04-13,28.36,best
HG,2025-07-30,-18.14,worst
HG,2008-10-10,-11.04,worst
HG,2018-02-19,-10.57,worst
HG,2005-01-04,-8.43,worst
HG,2025-04-04,-7.64,worst
HG,2008-10-13,7.95,best
HG,2025-04-09,8.24,best
HG,2008-12-08,9.08,best
HG,2018-02-20,9.85,best
HG,2025-07-08,13.45,best
HO,2022-03-09,-19.37,worst
HO,2015-03-02,-17.9,worst
HO,2026-04-08,-14.94,worst
HO,2020-04-21,-14.15,worst
HO,2020-03-09,-13.23,worst
HO,2005-09-19,10.96,best
HO,2019-09-16,10.97,best
HO,2020-04-29,11.41,best
HO,2022-03-08,11.53,best
HO,2026-03-02,11.73,best
KC,2013-07-18,-16.54,worst
KC,2008-03-17,-10.5,worst
KC,2012-03-07,-9.7,worst
KC,2025-12-17,-9.24,worst
KC,2025-09-17,-9.23,worst
KC,2021-07-22,10.03,best
KC,2014-05-15,10.28,best
KC,2014-02-18,11.72,best
KC,2014-02-19,12.51,best
KC,2013-07-17,19.19,best
LBR,2020-09-16,-33.48,worst
LBR,2021-03-16,-19.23,worst
LBR,2022-03-16,-19.01,worst
LBR,2021-05-17,-14.94,worst
LBR,2022-05-16,-14.46,worst
LBR,2009-05-18,18.43,best
LBR,2009-01-16,19.63,best
LBR,2021-11-16,24.44,best
LBR,2021-09-15,26.52,best
LBR,2023-03-16,27.68,best
LE,2018-05-01,-14.48,worst
LE,2017-05-01,-10.05,worst
LE,2020-03-02,-8.65,worst
LE,2019-05-01,-7.98,worst
LE,2016-09-01,-7.48,worst
LE,2009-11-02,5.6,best
LE,2021-02-24,5.71,best
LE,2020-07-01,6.19,best
LE,2014-04-21,6.75,best
LE,2019-11-01,7.03,best
NG,2009-11-26,-35.7,worst
NG,2009-09-07,-32.92,worst
NG,2026-01-26,-26.1,worst
NG,2026-02-02,-25.65,worst
NG,2011-11-24,-17.92,worst
NG,2006-09-28,28.35,best
NG,2009-09-29,30.7,best
NG,2020-09-28,31.83,best
NG,2009-09-08,53.39,best
NG,2009-11-27,56.39,best
NKD,2008-10-16,-12.82,worst
NKD,2008-10-10,-10.38,worst
NKD,2011-03-15,-9.55,worst
NKD,2020-03-13,-9.0,worst
NKD,2008-11-13,-7.84,worst
NKD,2020-03-25,8.06,best
NKD,2008-10-29,8.45,best
NKD,2008-10-30,8.6,best
NKD,2024-08-06,10.1,best
NKD,2025-04-10,11.72,best
NQ,2020-03-16,-12.19,worst
NQ,2008-09-29,-10.52,worst
NQ,2020-03-12,-9.27,worst
NQ,2008-10-15,-8.82,worst
NQ,2008-12-01,-7.98,worst
NQ,2020-03-24,7.81,best
NQ,2020-03-13,10.07,best
NQ,2008-10-28,10.92,best
NQ,2025-04-09,12.02,best
NQ,2008-10-13,12.58,best
PA,2020-03-12,-20.53,worst
PA,2025-12-29,-18.04,worst
PA,2026-01-30,-15.63,worst
PA,2025-06-27,-15.4,worst
PA,2008-11-19,-15.26,worst
PA,2008-10-29,10.51,best
PA,2025-06-30,10.96,best
PA,2023-12-14,11.06,best
PA,2020-03-24,12.4,best
PA,2020-03-25,19.88,best
PL,2026-01-30,-18.97,worst
PL,2025-12-29,-13.83,worst
PL,2020-03-16,-12.96,worst
PL,2026-01-27,-11.84,worst
PL,2020-03-12,-11.27,worst
PL,2025-12-22,7.22,best
PL,2026-01-06,7.66,best
PL,2025-12-23,9.39,best
PL,2008-09-22,9.7,best
PL,2020-03-24,10.19,best
RB,2020-03-16,-18.9,worst
RB,2017-09-01,-18.32,worst
RB,2020-04-21,-16.5,worst
RB,2020-03-23,-15.87,worst
RB,2020-03-12,-15.59,worst
RB,2008-12-31,13.88,best
RB,2025-02-27,15.23,best
RB,2006-03-01,16.55,best
RB,2020-04-22,18.43,best
RB,2016-03-01,24.18,best
RTY,2020-03-16,-14.27,worst
RTY,2008-12-01,-11.85,worst
RTY,2020-03-12,-11.18,worst
RTY,2020-03-18,-10.42,worst
RTY,2008-10-15,-9.47,worst
RTY,2025-04-09,8.37,best
RTY,2009-03-23,8.4,best
RTY,2008-11-13,8.49,best
RTY,2008-10-13,9.27,best
RTY,2020-03-24,9.39,best
SB,2010-11-12,-11.63,worst
SB,2008-03-17,-10.71,worst
SB,2010-12-30,-10.2,worst
SB,2011-03-01,-10.0,worst
SB,2010-07-01,-9.71,worst
SB,2014-09-01,10.33,best
SB,2016-02-23,11.02,best
SB,2018-10-01,11.42,best
SB,2008-10-01,12.7,best
SB,2008-06-30,14.76,best
SI,2026-01-30,-26.91,worst
SI,2026-02-05,-19.66,worst
SI,2006-04-20,-15.9,worst
SI,2008-10-10,-15.57,worst
SI,2008-10-02,-13.82,worst
SI,2022-10-03,9.24,best
SI,2026-02-06,10.08,best
SI,2020-08-06,10.32,best
SI,2020-07-21,11.98,best
SI,2008-09-17,14.94,best
VX,2025-04-09,-35.75,worst
VX,2010-05-10,-29.57,worst
VX,2024-08-06,-28.16,worst
VX,2011-08-09,-26.96,worst
VX,2006-06-15,-25.91,worst
VX,2021-01-27,61.64,best
VX,2007-02-27,64.22,best
VX,2024-08-05,64.9,best
VX,2024-12-18,74.04,best
VX,2018-02-05,115.6,best
YM,2020-03-16,-12.93,worst
YM,2020-03-12,-9.99,worst
YM,2008-10-15,-7.87,worst
YM,2020-03-09,-7.79,worst
YM,2008-12-01,-7.7,worst
YM,2025-04-09,7.87,best
YM,2020-03-13,9.36,best
YM,2008-10-28,10.88,best
YM,2008-10-13,11.08,best
YM,2020-03-24,11.37,best
ZB,2020-03-18,-8.84,worst
ZB,2020-03-10,-8.38,worst
ZB,2011-08-11,-7.3,worst
ZB,2020-03-17,-7.29,worst
ZB,2016-11-09,-7.15,worst
ZB,2008-09-29,8.02,best
ZB,2020-03-09,8.57,best
ZB,2009-03-18,8.6,best
ZB,2008-09-15,8.75,best
ZB,2020-03-06,11.08,best
ZC,2013-07-15,-23.56,worst
ZC,2013-09-03,-15.31,worst
ZC,2023-05-31,-13.09,worst
ZC,2021-07-13,-12.53,worst
ZC,2006-05-29,-11.81,worst
ZC,2009-09-15,13.61,best
ZC,2006-05-30,13.62,best
ZC,2009-12-28,13.82,best
ZC,2005-07-05,15.21,best
ZC,2013-09-02,18.79,best
ZF,2008-09-19,-1.99,worst
ZF,2008-09-30,-1.52,worst
ZF,2008-03-24,-1.3,worst
ZF,2008-03-18,-1.3,worst
ZF,2008-03-11,-1.23,worst
ZF,2008-01-22,1.54,best
ZF,2022-11-10,1.65,best
ZF,2008-09-29,1.95,best
ZF,2009-03-18,1.98,best
ZF,2008-09-15,2.06,best
ZN,2020-03-17,-2.62,worst
