a,b,corr,overlap_obs
CC,ZS,0.069,4968
LE,ZS,0.069,5174
ES,ZW,0.069,5200
SI,ZO,0.068,5475
KC,NG,0.068,5215
HG,ZO,0.068,4595
DC,SB,0.068,5177
LE,SB,0.068,5212
ES,NG,0.068,5218
6A,GF,0.067,5235
BZ,GF,0.067,5227
DC,HG,0.067,4484
LE,RB,0.067,5014
CC,NQ,0.067,4968
GC,ZO,0.067,5473
BZ,NKD,0.066,5015
CC,RTY,0.066,4980
BZ,DC,0.066,5311
6E,ZN,0.065,5457
GF,PA,0.065,5249
CC,ZR,0.065,5145
GF,PL,0.064,5249
CL,GF,0.063,5198
CL,HE,0.063,5198
6B,NG,0.062,5517
HE,ZS,0.06,5180
GF,NKD,0.059,4760
NG,PL,0.059,5534
GF,HG,0.058,4537
6N,NG,0.058,5523
PA,ZO,0.058,5479
HG,NG,0.058,4659
6E,ZO,0.057,5469
HE,ZC,0.056,5213
SI,ZN,0.056,5464
LBR,ZC,0.056,5184
6E,NG,0.055,5517
LE,ZC,0.055,5205
NG,SI,0.055,5524
LE,NKD,0.054,4747
GC,NQ,0.054,5240
6E,LBR,0.054,5198
HO,NKD,0.053,4857
NQ,ZW,0.053,5200
6N,ZO,0.053,5474
YM,ZW,0.052,5300
6N,GF,0.052,5240
CC,PA,0.052,5187
LBR,SI,0.052,5206
NG,YM,0.051,5312
NG,RTY,0.051,5217
NG,PA,0.051,5530
KC,NKD,0.051,4746
RTY,ZR,0.051,5191
6B,ZO,0.051,5469
DC,ZR,0.051,5265
NQ,ZR,0.05,5178
DC,LE,0.05,5130
GF,RB,0.049,5029
GC,NG,0.049,5520
GC,LE,0.049,5229
HE,HG,0.048,4540
NG,NQ,0.048,5220
GC,YM,0.047,5330
PL,ZO,0.047,5479
6B,ZW,0.047,5464
NG,SB,0.046,5286
HE,PA,0.046,5243
HE,PL,0.044,5243
DC,LBR,0.044,5111
BZ,HE,0.043,5229
6E,LE,0.043,5221
HE,ZW,0.042,5223
PL,ZT,0.042,5464
CC,GF,0.041,4996
6N,ZT,0.041,5463
CT,NKD,0.041,4457
6B,DC,0.04,5317
CL,NKD,0.04,4825
CC,LBR,0.04,4971
LBR,ZW,0.04,5192
DC,RTY,0.039,5134
NKD,ZR,0.038,4909
HE,SB,0.038,5218
NKD,ZO,0.038,4958
DC,ES,0.038,5115
CC,LE,0.038,4988
6N,DC,0.037,5322
HE,YM,0.036,5205
GF,SI,0.035,5245
6B,GF,0.035,5235
NG,ZR,0.035,5410
DC,SI,0.035,5327
LBR,LE,0.034,5202
HE,SI,0.034,5241
DC,YM,0.034,5193
HE,RTY,0.034,5201
CC,ZO,0.034,5172
YM,ZO,0.033,5307
GF,SB,0.033,5212
GF,KC,0.033,5141
GF,LBR,0.033,5202
LBR,ZO,0.033,5199
HE,ZO,0.032,5234
6B,ZN,0.032,5457
HE,LBR,0.032,5208
DC,PA,0.032,5331
CC,HE,0.032,4998
RTY,ZO,0.031,5210
6E,DC,0.03,5317
ES,HE,0.03,5204
ES,ZO,0.029,5211
6A,DC,0.029,5317
DC,PL,0.029,5335
NKD,ZC,0.029,4961
6B,HE,0.028,5233
LBR,ZR,0.028,5174
CT,LBR,0.028,4709
6E,GF,0.027,5235
DC,NQ,0.026,5127
NKD,YM,0.026,4824
GF,HO,0.026,5218
SI,ZB,0.025,5418
NG,ZO,0.024,5461
6A,HE,0.024,5233
HE,NKD,0.024,4756
HE,RB,0.024,5021
PL,ZF,0.024,5464
HE,NG,0.023,5229
NQ,ZO,0.023,5207
LBR,SB,0.023,5195
GC,LBR,0.022,5206
DC,GC,0.022,5327
ES,NKD,0.021,4750
HE,HO,0.021,5218
HE,NQ,0.02,5204
HE,ZR,0.02,5205
HE,KC,0.018,5147
6E,ZB,0.017,5411
NKD,RTY,0.017,4742
LE,ZW,0.017,5213
DC,NKD,0.017,4823
KC,ZO,0.016,5212
CT,HE,0.015,4732
