variant,split,avg_points_ci_low,avg_points_ci_high,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
1h · first Sarah test,Validation 2023–24,-0.26576482522226036,4.254109078207016,1376.0,0.23619186046511628,1.960392441860465,2697.5,0.13758364104781323,5395.0,1.1083757696286698,-2699.0,1.0999169994956002,1.875248594470777,1.1294473463328685,2552.230196094514,0.625
1h · first Sarah test,Holdout 2025–26,-1.8399975627107925,5.826209381211648,1233.0,0.3122465531224655,1.8598945660989457,2293.25,0.06794916336781467,4586.5,1.0685918957923624,-2989.0,0.9669052344099573,1.4690307206519728,1.2708862364269098,3558.6987872970226,0.5238095238095238
1h · first physical touch,Overall,-0.3342501299860602,2.609303889839619,4854.0,0.25669550885867326,1.1759373712402144,5708.0,0.04904098601222456,11416.0,1.0576494322672194,-3635.0,0.6366226753638676,1.0082896439990487,0.5227167604113269,2723.925678068926,0.5393258426966292
1h · first physical touch,Train 2019–22,-1.5161095593741778,2.4347219550019825,2360.0,0.24110169491525424,0.41875,988.25,-0.006106910838751693,1976.5,1.0228113404619974,-3146.0,0.208966140773682,0.32879702672393846,0.17771505915104724,2432.709551984963,0.5227272727272727
1h · first physical touch,Validation 2023–24,-0.9428987339979935,3.744620604631216,1301.0,0.22905457340507301,1.2909300538047657,1679.5,0.11290790191055144,3359.0,1.0711554552868778,-3635.0,0.7465741160081089,1.2480272926021045,0.5629394797702881,2501.4954096233987,0.5416666666666666
1h · first physical touch,Holdout 2025–26,-1.1150498093316537,6.237767882860063,1193.0,0.3176865046102263,2.5484073763621122,3040.25,0.08848623243685214,6080.5,1.0947524251042113,-2599.5,1.2232765341187408,1.8915374331941615,1.8192630756793051,3477.085476835726,0.5714285714285714
1h · width ≤0.5 ATR,Overall,-0.41050344962277174,2.9428622805586766,3427.0,0.18325065655091918,1.201561132185585,4117.75,0.03252378595876839,8235.5,1.0810417189445043,-8462.5,0.6143109570375151,1.219051855727728,0.14353094529581764,1878.9765164460116,0.5056179775280899
1h · width ≤0.5 ATR,Train 2019–22,-3.4634703742896047,0.978725771860221,1613.0,0.15375077495350278,-1.282238065716057,-2068.25,-0.07616131871431625,-4136.5,0.9050150405290592,-8462.5,-0.6185080737636797,-1.169597936752588,-0.12829503744086998,1668.1248553817395,0.36363636363636365
1h · width ≤0.5 ATR,Validation 2023–24,-0.0022799464388501924,5.097484599836169,939.0,0.16080937167199147,2.5287539936102235,2374.5,0.14539381159872025,4749.0,1.204698275862069,-1605.0,1.3958951103726733,2.9449043059134703,1.4774026971662682,1710.3597117574861,0.5833333333333334
1h · width ≤0.5 ATR,Holdout 2025–26,0.7566366288662887,8.040296106829057,875.0,0.26171428571428573,4.356,3811.5,0.11175135140079209,7623.0,1.2186025837718482,-1693.0,1.848994021492265,3.713964710089823,2.986228639831035,2411.278407309002,0.7142857142857143
1h · opposing room ≥2R/open,Overall,-0.9352037107300659,2.0957014903654687,4971.0,0.24582578957956144,0.632166566083283,3142.5,0.01749800826117099,6285.0,1.0315953780762763,-7523.5,0.35436770973868226,0.5708735752137114,0.12834313830626617,2694.4011860831283,0.5168539325842697
1h · opposing room ≥2R/open,Train 2019–22,-2.85273798794156,0.9554046556122439,2405.0,0.22453222453222454,-0.9321205821205821,-2241.75,-0.05998627841286162,-4483.5,0.9495229249345605,-7523.5,-0.5158223750323194,-0.8175311558058703,-0.17018201625749632,2454.4672182324725,0.4090909090909091
1h · opposing room ≥2R/open,Validation 2023–24,0.3318538660795866,4.885032891357376,1325.0,0.23169811320754716,2.762264150943396,3660.0,0.14534000190797133,7320.0,1.164511017968109,-2730.0,1.5302665886827327,2.6313376437685205,1.548333544366128,2479.93751239653,0.75
1h · opposing room ≥2R/open,Holdout 2025–26,-2.25835179526356,4.812598854431038,1241.0,0.3021756647864625,1.3894037066881546,1724.25,0.031163655214465052,3448.5,1.052565792983606,-4339.5,0.7207581506318076,1.1354056174502813,0.665186483260033,3351.5052335395776,0.47619047619047616
