20260601 130500;30548.00;30559.50;30535.00;30539.50;11434
20260601 131000;30539.75;30557.50;30538.75;30550.25;10219
20260601 131500;30550.00;30559.25;30538.25;30543.00;8557
20260601 132000;30543.25;30561.75;30538.00;30557.00;10005
20260601 132500;30556.75;30602.75;30547.25;30601.50;14928
20260601 133000;30601.75;30618.50;30568.50;30576.00;28766
20260601 133500;30576.00;30603.75;30569.00;30597.00;16006
20260601 134000;30597.50;30667.00;30592.50;30651.00;28669
20260601 134500;30651.50;30683.00;30651.25;30673.25;20839
20260601 135000;30673.50;30692.00;30669.25;30690.25;13972
20260601 135500;30690.25;30691.25;30663.25;30670.50;13045
20260601 140000;30670.00;30675.00;30663.75;30667.25;8789
20260601 140500;30667.50;30671.75;30653.00;30660.75;9021
20260601 141000;30660.50;30665.50;30629.75;30635.00;12223
20260601 141500;30635.00;30649.25;30626.50;30647.25;12222
20260601 142000;30647.25;30655.75;30641.75;30647.00;8135
20260601 142500;30647.50;30651.25;30637.25;30646.75;6658
20260601 143000;30646.75;30653.00;30632.25;30650.50;8266
20260601 143500;30650.50;30654.75;30633.50;30636.75;7945
20260601 144000;30637.00;30644.25;30631.25;30642.25;7296
20260601 144500;30642.25;30643.25;30620.75;30623.50;7432
20260601 145000;30623.50;30629.75;30613.50;30626.50;9851
20260601 145500;30626.50;30645.00;30621.75;30623.25;10188
20260601 150000;30622.50;30638.75;30611.00;30638.50;12577
20260601 150500;30638.25;30641.00;30618.75;30636.25;10465
20260601 151000;30635.75;30647.75;30628.00;30630.50;9845
20260601 151500;30630.50;30633.00;30618.00;30623.00;8110
20260601 152000;30623.00;30627.75;30614.00;30623.75;7233
20260601 152500;30623.75;30631.75;30617.75;30624.75;6332
20260601 153000;30624.50;30624.75;30594.00;30595.75;13279
20260601 153500;30595.75;30601.50;30583.50;30598.00;14748
20260601 154000;30598.00;30598.00;30584.50;30588.25;7532
20260601 154500;30588.25;30595.50;30570.25;30573.25;13052
20260601 155000;30573.25;30587.00;30560.00;30570.25;17418
20260601 155500;30570.25;30574.00;30556.00;30571.25;19835
20260601 160000;30571.00;30575.00;30555.25;30567.00;9066
20260601 160500;30566.75;30569.00;30546.75;30551.50;4586
20260601 161000;30551.25;30561.00;30548.75;30556.25;2684
20260601 161500;30556.25;30556.25;30539.25;30549.25;4373
20260601 162000;30549.50;30554.00;30544.75;30548.75;1704
20260601 162500;30548.75;30550.25;30540.50;30545.75;1706
20260601 163000;30545.75;30555.25;30539.75;30554.00;2266
20260601 163500;30554.50;30560.00;30544.25;30544.75;2244
20260601 164000;30544.50;30573.25;30539.50;30554.75;6720
20260601 164500;30554.50;30555.75;30527.00;30542.75;5022
20260601 165000;30543.25;30544.50;30523.75;30527.00;3174
20260601 165500;30527.00;30531.75;30505.00;30523.75;3736
20260601 180000;30542.75;30550.00;30484.00;30486.00;6464
20260601 180500;30486.00;30496.50;30455.00;30480.75;7273
20260601 181000;30480.75;30485.50;30475.00;30476.25;2484
20260601 181500;30476.00;30489.00;30469.50;30476.00;3260
20260601 182000;30475.50;30479.00;30453.00;30471.75;4654
20260601 182500;30471.50;30476.50;30451.25;30455.00;3504
20260601 183000;30454.50;30463.75;30451.25;30458.25;2027
20260601 183500;30458.25;30463.00;30441.00;30450.75;3299
20260601 184000;30450.75;30454.25;30435.00;30445.25;2971
20260601 184500;30445.50;30455.50;30442.50;30446.25;2989
20260601 185000;30446.00;30453.75;30436.50;30440.25;2459
20260601 185500;30440.25;30461.75;30431.00;30458.75;3780
20260601 190000;30458.00;30466.25;30454.00;30461.50;2898
20260601 190500;30461.00;30465.50;30446.25;30463.25;2747
20260601 191000;30462.75;30464.00;30453.75;30455.00;1460
20260601 191500;30454.25;30466.00;30450.25;30462.75;1644
20260601 192000;30461.75;30464.75;30459.25;30464.50;1242
20260601 192500;30463.25;30464.25;30454.75;30457.25;1705
20260601 193000;30457.50;30464.50;30444.00;30462.25;3487
20260601 193500;30462.75;30481.25;30454.25;30467.25;3799
20260601 194000;30467.25;30473.75;30454.25;30459.50;3889
20260601 194500;30459.00;30464.75;30440.75;30449.25;3287
20260601 195000;30449.75;30461.00;30447.75;30460.25;1900
20260601 195500;30459.50;30470.50;30455.75;30469.25;2149
20260601 200000;30469.50;30470.25;30452.75;30456.25;3419
20260601 200500;30457.25;30464.50;30417.75;30423.00;8755
20260601 201000;30423.50;30431.75;30406.50;30414.00;7196
20260601 201500;30413.50;30436.00;30389.00;30399.50;9574
20260601 202000;30400.00;30409.50;30385.50;30391.25;4957
20260601 202500;30391.00;30404.25;30377.50;30402.50;5585
20260601 203000;30402.25;30419.75;30401.00;30412.25;5627
20260601 203500;30412.25;30422.75;30392.00;30399.75;4879
20260601 204000;30399.25;30402.50;30379.75;30396.50;4496
20260601 204500;30396.50;30397.25;30382.00;30388.50;2951
20260601 205000;30388.00;30390.50;30375.00;30378.25;3017
20260601 205500;30378.50;30382.50;30363.00;30373.00;5550
20260601 210000;30372.75;30384.25;30357.00;30368.50;6357
20260601 210500;30368.00;30383.25;30364.00;30367.25;3826
20260601 211000;30367.50;30402.00;30366.00;30397.00;5072
20260601 211500;30397.00;30398.75;30384.50;30391.75;2707
20260601 212000;30392.00;30396.50;30373.25;30382.50;3432
20260601 212500;30382.50;30385.25;30344.50;30376.25;5003
20260601 213000;30376.25;30388.50;30372.00;30386.25;3961
20260601 213500;30386.00;30390.50;30360.25;30365.25;3911
20260601 214000;30364.75;30389.00;30355.25;30369.75;5468
20260601 214500;30369.25;30369.75;30345.25;30347.25;4813
20260601 215000;30347.25;30353.75;30338.00;30348.50;3965
20260601 215500;30348.25;30354.25;30332.75;30333.50;3716
20260601 220000;30333.50;30348.00;30327.50;30332.50;4609
20260601 220500;30333.00;30340.75;30323.00;30323.75;3769
20260601 221000;30324.00;30345.00;30321.00;30338.25;3797
20260601 221500;30338.00;30359.75;30331.00;30358.25;4261
20260601 222000;30358.75;30368.50;30348.75;30355.25;3935
20260601 222500;30355.75;30361.50;30344.00;30356.75;2427
20260601 223000;30356.50;30372.50;30356.00;30370.25;3141
20260601 223500;30369.75;30382.25;30367.00;30379.50;2688
20260601 224000;30379.00;30385.00;30366.25;30375.00;3225
20260601 224500;30375.50;30378.50;30362.00;30368.25;2351
20260601 225000;30368.50;30375.75;30364.50;30365.75;1560
20260601 225500;30365.75;30381.50;30365.50;30373.50;2179
20260601 230000;30373.25;30383.50;30364.00;30366.25;2930
20260601 230500;30366.00;30372.25;30349.25;30353.00;3186
20260601 231000;30353.00;30355.50;30338.00;30346.00;3235
20260601 231500;30345.75;30355.50;30326.25;30329.50;3413
20260601 232000;30329.25;30334.50;30317.75;30331.25;3824
20260601 232500;30331.00;30341.25;30319.50;30325.00;3379
20260601 233000;30325.25;30337.50;30318.00;30321.50;3281
20260601 233500;30321.25;30348.50;30320.25;30340.25;3310
20260601 234000;30341.25;30346.50;30326.00;30344.25;2518
20260601 234500;30343.50;30359.50;30342.25;30358.75;2963
20260601 235000;30359.25;30363.75;30354.75;30359.00;1905
20260601 235500;30359.50;30366.00;30354.00;30363.25;1894
20260602 000000;30363.50;30372.50;30358.50;30369.25;2576
20260602 000500;30369.50;30391.50;30369.25;30386.75;4306
20260602 001000;30387.25;30389.00;30374.25;30376.00;2236
20260602 001500;30376.00;30384.25;30369.75;30373.25;1705
20260602 002000;30373.25;30392.00;30373.25;30386.25;1994
20260602 002500;30386.75;30412.75;30383.00;30405.00;4108
20260602 003000;30405.00;30407.00;30397.00;30401.25;2010
20260602 003500;30401.75;30406.75;30393.00;30406.25;1502
20260602 004000;30406.25;30414.50;30401.75;30411.00;1835
20260602 004500;30411.00;30432.75;30409.00;30427.25;3397
20260602 005000;30427.75;30438.00;30424.75;30432.25;2228
20260602 005500;30431.75;30444.75;30430.00;30443.75;2234
20260602 010000;30443.25;30450.00;30430.50;30434.50;3632
20260602 010500;30435.00;30454.25;30430.00;30452.50;2991
20260602 011000;30452.25;30468.75;30448.25;30467.50;3469
20260602 011500;30468.00;30468.50;30456.50;30463.75;2361
20260602 012000;30463.25;30470.00;30462.00;30469.00;1615
20260602 012500;30469.00;30475.25;30460.75;30471.25;2435
20260602 013000;30471.25;30487.75;30470.75;30486.25;2800
20260602 013500;30486.25;30493.50;30471.75;30475.00;3900
20260602 014000;30475.50;30483.25;30472.50;30482.50;1648
20260602 014500;30482.50;30484.50;30466.50;30471.00;2411
20260602 015000;30471.50;30473.50;30459.00;30463.00;2322
20260602 015500;30463.75;30479.00;30458.50;30476.50;2066
20260602 020000;30476.50;30487.50;30472.25;30481.50;2970
20260602 020500;30482.00;30493.00;30476.00;30478.00;2847
20260602 021000;30478.00;30485.00;30468.75;30482.75;2328
20260602 021500;30482.50;30497.75;30481.50;30490.00;2478
20260602 022000;30490.50;30502.75;30490.25;30496.75;2772
20260602 022500;30496.75;30497.25;30484.00;30487.50;2101
20260602 023000;30487.00;30489.25;30466.50;30486.25;3175
20260602 023500;30486.00;30509.50;30481.00;30501.00;4721
20260602 024000;30500.50;30506.75;30494.50;30496.25;1403
20260602 024500;30496.75;30513.75;30493.75;30509.75;2572
20260602 025000;30509.00;30509.75;30503.00;30507.25;1197
20260602 025500;30506.75;30516.25;30503.75;30514.50;1933
20260602 030000;30514.50;30528.25;30509.00;30525.25;3810
20260602 030500;30525.00;30542.25;30525.00;30539.50;4482
20260602 031000;30538.75;30544.00;30531.00;30535.75;2226
20260602 031500;30535.50;30537.50;30528.75;30532.75;1812
20260602 032000;30532.50;30547.50;30531.75;30542.25;2633
20260602 032500;30543.00;30543.75;30525.00;30531.50;2652
20260602 033000;30531.00;30535.25;30520.75;30526.25;2433
20260602 033500;30526.50;30540.00;30520.75;30525.00;2102
20260602 034000;30525.00;30534.50;30522.00;30529.75;1387
20260602 034500;30529.50;30530.50;30510.50;30515.75;3258
20260602 035000;30516.00;30532.75;30511.50;30528.00;2304
20260602 035500;30527.75;30531.00;30520.75;30529.50;1817
20260602 040000;30529.75;30568.00;30529.75;30565.25;6783
20260602 040500;30565.50;30566.00;30548.25;30559.25;3666
20260602 041000;30558.25;30570.00;30542.75;30556.25;3250
20260602 041500;30555.75;30568.00;30550.25;30552.00;2366
20260602 042000;30551.75;30558.50;30532.75;30542.50;3896
20260602 042500;30543.50;30552.00;30536.75;30546.25;3009
20260602 043000;30546.50;30565.50;30543.50;30557.00;2782
20260602 043500;30556.50;30565.75;30552.25;30559.00;1553
20260602 044000;30558.25;30566.25;30547.25;30547.75;1851
20260602 044500;30548.25;30563.00;30546.25;30559.00;1580
20260602 045000;30559.75;30564.50;30544.00;30550.00;1517
20260602 045500;30549.25;30552.75;30540.75;30549.00;1547
20260602 050000;30548.00;30549.75;30525.50;30528.00;2546
20260602 050500;30529.00;30547.75;30528.00;30547.75;2008
20260602 051000;30546.75;30549.25;30535.75;30539.50;1405
20260602 051500;30540.00;30553.00;30537.75;30548.25;2111
20260602 052000;30549.00;30549.25;30527.75;30536.75;1957
20260602 052500;30537.25;30539.50;30526.75;30535.25;1706
