level_type,session,year,price,distance_from_close,lag,revisited
poc,2020-12-22,2020,16104.0,22.25,1,True
poc,2020-12-23,2020,16098.0,35.75,1,True
poc,2020-12-28,2020,16248.0,2.0,1,True
poc,2020-12-29,2020,16266.0,6.75,1,True
poc,2020-12-30,2020,16266.0,10.25,1,True
poc,2020-12-31,2020,16258.0,24.5,1,True
poc,2021-01-04,2021,16288.0,187.25,3,True
poc,2021-01-05,2021,16142.0,62.0,1,True
poc,2021-01-06,2021,16188.0,157.25,1,True
poc,2021-01-07,2021,16308.0,30.25,2,True
poc,2021-01-08,2021,16432.0,72.0,1,True
poc,2021-01-11,2021,16382.0,73.25,2,True
poc,2021-01-12,2021,16296.0,1.0,1,True
poc,2021-01-13,2021,16384.0,3.5,1,True
poc,2021-01-14,2021,16409.0,99.0,3,True
poc,2021-01-15,2021,16246.0,34.25,2,True
poc,2021-01-19,2021,16292.0,105.25,8,True
poc,2021-01-20,2021,16724.0,25.5,1,True
poc,2021-01-21,2021,16782.0,28.0,1,True
poc,2021-01-22,2021,16786.0,18.0,1,True
poc,2021-01-25,2021,16845.0,41.75,1,True
poc,2021-01-26,2021,16904.0,6.5,1,True
poc,2021-01-27,2021,16704.0,171.25,1,True
poc,2021-01-28,2021,16691.0,93.25,3,True
poc,2021-01-29,2021,16306.0,20.75,1,True
poc,2021-02-01,2021,16668.0,25.0,1,True
poc,2021-02-02,2021,16884.0,23.0,1,True
poc,2021-02-03,2021,16886.0,84.75,1,True
poc,2021-02-04,2021,16855.0,107.5,12,True
poc,2021-02-05,2021,16958.0,51.25,3,True
poc,2021-02-08,2021,17060.0,37.5,1,True
poc,2021-02-09,2021,17110.0,17.0,1,True
poc,2021-02-10,2021,17034.0,29.0,1,True
poc,2021-02-11,2021,17117.0,21.75,1,True
poc,2021-02-12,2021,17152.0,64.25,2,True
poc,2021-02-16,2021,17182.0,5.0,1,True
poc,2021-02-17,2021,17068.0,44.0,1,True
poc,2021-02-18,2021,16966.0,84.5,1,True
poc,2021-02-19,2021,17078.0,87.5,33,True
poc,2021-02-22,2021,16748.0,108.75,1,True
poc,2021-02-23,2021,16358.0,242.75,2,True
poc,2021-02-24,2021,16651.0,56.0,1,True
poc,2021-02-25,2021,16558.0,319.25,2,True
poc,2021-02-26,2021,16380.0,73.75,1,True
poc,2021-03-01,2021,16630.0,57.0,1,True
poc,2021-03-02,2021,16558.0,87.5,1,True
poc,2021-03-03,2021,16258.0,165.25,4,True
poc,2021-03-04,2021,16154.0,270.0,2,True
poc,2021-03-05,2021,15746.0,328.0,1,True
poc,2021-03-08,2021,15974.0,261.0,1,True
poc,2021-03-09,2021,16153.0,46.25,1,True
poc,2021-03-10,2021,16228.0,63.25,1,True
poc,2021-03-11,2021,16488.0,29.25,1,True
poc,2021-03-12,2021,16294.0,55.75,1,True
poc,2021-03-15,2021,16375.0,115.25,2,True
poc,2021-03-16,2021,16689.0,127.25,1,True
poc,2021-03-17,2021,16406.0,209.5,1,True
poc,2021-03-18,2021,16378.0,173.5,2,True
poc,2021-03-19,2021,16280.0,20.5,1,True
poc,2021-03-22,2021,16562.0,68.75,1,True
poc,2021-03-23,2021,16514.0,86.0,1,True
poc,2021-03-24,2021,16382.0,169.25,2,True
poc,2021-03-25,2021,16160.0,35.0,1,True
poc,2021-03-26,2021,16242.0,142.5,1,True
poc,2021-03-29,2021,16352.0,26.5,1,True
poc,2021-03-30,2021,16284.0,34.0,1,True
poc,2021-03-31,2021,16531.0,23.75,1,True
poc,2021-04-01,2021,16714.0,22.75,27,True
poc,2021-04-05,2021,17004.0,0.5,1,True
poc,2021-04-06,2021,17010.0,15.5,1,True
poc,2021-04-07,2021,17014.0,13.0,19,True
poc,2021-04-08,2021,17156.0,16.0,1,True
poc,2021-04-09,2021,17148.0,103.75,7,True
poc,2021-04-12,2021,17206.0,28.25,1,True
