date,SND baseline,Phase 6 locked candidate
2024-01-23,0.10851648351648352,-1.4152542372881356
2024-01-24,0.0013812154696132596,-3.106837606837607
2024-01-25,0.6480978260869565,-1.834710743801653
2024-01-26,0.9608108108108108,-1.0
2024-01-27,0.9608108108108108,-1.0
2024-01-28,0.23480662983425415,-1.475
2024-01-29,1.1736111111111112,-1.4090909090909092
2024-01-30,1.9245810055865922,-0.5702479338842975
2024-01-31,1.8232044198895028,-0.7601626016260162
2024-02-01,1.4590395480225988,-1.578512396694215
2024-02-02,0.8967391304347826,-2.0
2024-02-03,0.8967391304347826,-2.0
2024-02-04,1.1819444444444445,-1.743801652892562
2024-02-05,2.2855113636363638,-1.9979166666666666
2024-02-06,2.6519886363636362,-1.9264705882352942
2024-02-07,2.4417613636363638,-1.7665289256198347
2024-02-08,2.603448275862069,-2.5903361344537816
2024-02-09,2.377840909090909,-2.8326446280991737
2024-02-10,2.377840909090909,-2.8326446280991737
2024-02-11,2.335714285714286,-2.8326446280991737
2024-02-12,2.0997109826589595,-2.4684873949579833
2024-02-13,0.3160919540229885,-2.4520833333333334
2024-02-14,2.0218023255813953,-2.369747899159664
2024-02-15,2.8938953488372094,-2.207627118644068
2024-02-16,2.157303370786517,-2.3604166666666666
2024-02-17,2.157303370786517,-2.3604166666666666
2024-02-18,2.8160919540229883,-2.051282051282051
2024-02-19,2.782857142857143,-2.059322033898305
2024-02-20,3.1954022988505746,-1.6767241379310345
2024-02-21,2.73728813559322,-1.1016949152542372
2024-02-22,1.4680555555555554,-0.21822033898305085
2024-02-23,1.125,-0.29411764705882354
2024-02-24,0.9583333333333334,-0.29411764705882354
2024-02-25,1.1214285714285714,-0.08836206896551724
2024-02-26,1.1377840909090908,0.15948275862068967
2024-02-27,1.1228571428571428,1.2630434782608695
2024-02-28,0.8031609195402298,1.4690265486725664
2024-02-29,0.8053977272727273,1.7654867256637168
2024-03-01,1.9307909604519775,2.3232758620689653
2024-03-02,1.9307909604519775,2.3232758620689653
2024-03-03,2.3261494252873565,2.692982456140351
2024-03-04,2.2657142857142856,2.5109649122807016
2024-03-05,0.7696629213483146,1.958695652173913
2024-03-06,1.6377840909090908,1.85
2024-03-07,0.5400552486187845,1.088235294117647
2024-03-08,-0.22849462365591397,0.8647540983606558
2024-03-09,-0.13378378378378378,1.0185950413223142
2024-03-10,0.09836065573770492,1.3067226890756303
2024-03-11,-0.10215053763440861,1.0979166666666667
2024-03-12,-1.3797297297297297,1.6853448275862069
2024-03-13,-2.118279569892473,0.48504273504273504
2024-03-14,-2.1657608695652173,0.0405982905982906
2024-03-15,-1.077127659574468,-0.12815126050420167
2024-03-16,-1.077127659574468,-0.12815126050420167
2024-03-17,-1.0254010695187166,-0.06779661016949153
2024-03-18,-1.9472972972972973,-0.1934782608695652
2024-03-19,-0.3557692307692308,-0.25869565217391305
2024-03-20,-0.5,-0.2608695652173913
2024-03-21,-1.2950819672131149,-0.5926724137931034
2024-03-22,-1.4946524064171123,-1.2584033613445378
2024-03-23,-1.4946524064171123,-1.2584033613445378
2024-03-24,-1.5372340425531914,-1.3270833333333334
2024-03-25,-1.718586387434555,-1.863821138211382
2024-03-26,-0.8955026455026455,-0.6741803278688525
2024-03-27,-1.2367724867724867,-1.2028688524590163
2024-03-28,-1.1400523560209423,-1.0901639344262295
2024-03-29,-1.1400523560209423,-1.0901639344262295
2024-03-30,-1.1400523560209423,-1.0901639344262295
2024-03-31,-1.28125,-1.0901639344262295
2024-04-01,-0.7971938775510204,-0.7896825396825397
2024-04-02,-1.1351010101010102,-1.0511811023622046
2024-04-03,-2.2853535353535355,-1.181640625
2024-04-04,-3.5653266331658293,-1.3410852713178294
2024-04-05,-3.304726368159204,-1.4557692307692307
2024-04-06,-3.304726368159204,-1.4557692307692307
2024-04-07,-3.981060606060606,-1.321705426356589
2024-04-08,-3.5229591836734695,-0.19140625
2024-04-09,-3.700507614213198,-0.9140625
2024-04-10,-2.9987179487179487,-1.186046511627907
2024-04-11,-2.969543147208122,-1.197265625
2024-04-12,-3.61875,-1.4631782945736433
2024-04-13,-3.61875,-1.4631782945736433
2024-04-14,-3.595959595959596,-1.3937007874015748
2024-04-15,-3.332920792079208,-1.8972868217054264
2024-04-16,-2.955,-1.225
2024-04-17,-3.876923076923077,-1.58203125
2024-04-18,-5.80050505050505,-1.8442307692307693
2024-04-19,-4.998756218905473,-2.0896946564885495
2024-04-20,-4.998756218905473,-2.0896946564885495
2024-04-21,-4.9525,-1.9961538461538462
2024-04-22,-4.238916256157635,-2.1030534351145036
2024-04-23,-3.8223039215686274,-1.4866412213740459
2024-04-24,-4.080845771144278,-1.869140625
2024-04-25,-5.1048780487804875,-3.046511627906977
2024-04-26,-4.390625,-3.2480916030534353
2024-04-27,-4.390625,-3.2480916030534353
2024-04-28,-5.56280193236715,-3.199612403100775
2024-04-29,-6.300724637681159,-3.9089147286821704
2024-04-30,-6.543478260869565,-2.966796875
2024-05-01,-6.4110576923076925,-3.1865384615384613
2024-05-02,-6.620145631067961,-3.463740458015267
2024-05-03,-7.013221153846154,-3.509469696969697
2024-05-04,-7.013221153846154,-3.509469696969697
2024-05-05,-7.354368932038835,-3.25
2024-05-06,-6.734146341463415,-3.481060606060606
2024-05-07,-6.130434782608695,-3.0321969696969697
2024-05-08,-6.472222222222222,-3.093984962406015
2024-05-09,-6.5829326923076925,-3.077651515151515
2024-05-10,-6.4035714285714285,-3.1033834586466167
2024-05-11,-6.4035714285714285,-3.1033834586466167
2024-05-12,-6.2548076923076925,-2.9083969465648853
2024-05-13,-5.299019607843137,-2.881679389312977
2024-05-14,-6.780048076923077,-2.1809701492537314
2024-05-15,-7.65311004784689,-2.3407407407407406
2024-05-16,-7.334558823529412,-2.2667910447761193
2024-05-17,-6.814320388349515,-1.5533088235294117
2024-05-18,-6.814320388349515,-1.5533088235294117
2024-05-19,-6.795566502463054,-1.406015037593985
2024-05-20,-6.669512195121952,-0.7185185185185186
2024-05-21,-6.62192118226601,-1.2857142857142858
2024-05-22,-5.322303921568627,-1.5349264705882353
2024-05-23,-5.450721153846154,-1.9891304347826086
2024-05-24,-5.398809523809524,-1.2553956834532374
2024-05-25,-5.398809523809524,-1.2553956834532374
2024-05-26,-5.753623188405797,-1.8722627737226278
2024-05-27,-5.646844660194175,-2.6861313868613137
2024-05-28,-5.6414634146341465,-2.8568840579710146
2024-05-29,-6.5,-2.291970802919708
2024-05-30,-7.802184466019417,-3.119485294117647
2024-05-31,-7.18075117370892,-2.906474820143885
2024-06-01,-7.18075117370892,-2.906474820143885
2024-06-02,-7.587677725118484,-3.4708029197080292
2024-06-03,-5.938967136150235,-3.341240875912409
2024-06-04,-5.3584905660377355,-3.233455882352941
2024-06-05,-6.391148325358851,-3.712121212121212
2024-06-06,-6.063106796116505,-3.9656488549618323
2024-06-07,-6.525240384615385,-4.719924812030075
2024-06-08,-6.525240384615385,-4.719924812030075
2024-06-09,-6.9620098039215685,-5.374045801526718
2024-06-10,-5.639162561576355,-5.556390977443609
2024-06-11,-4.689655172413793,-5.365530303030303
2024-06-12,-5.13490099009901,-6.057251908396947
2024-06-13,-5.805418719211823,-5.806818181818182
2024-06-14,-5.469660194174757,-6.0335820895522385
2024-06-15,-5.371951219512195,-6.0335820895522385
2024-06-16,-4.562807881773399,-6.0335820895522385
2024-06-17,-5.7155172413793105,-5.840909090909091
2024-06-18,-4.893564356435643,-5.846590909090909
2024-06-19,-4.564676616915423,-5.42175572519084
2024-06-20,-3.9425,-4.926356589147287
2024-06-21,-3.6262135922330097,-4.488721804511278
2024-06-22,-3.597560975609756,-4.450757575757576
2024-06-23,-3.18407960199005,-3.99609375
2024-06-24,-3.16,-4.81496062992126
2024-06-25,-3.650990099009901,-5.558139534883721
2024-06-26,-3.2575,-5.709615384615384
2024-06-27,-3.4027093596059115,-5.0896946564885495
2024-06-28,-3.9190821256038646,-5.550373134328358
2024-06-29,-3.8009708737864076,-5.550373134328358
2024-06-30,-3.998762376237624,-6.0458015267175576
2024-07-01,-3.8930348258706466,-6.017175572519084
2024-07-02,-3.3131188118811883,-5.9961832061068705
2024-07-03,-2.75,-5.9375
2024-07-04,-2.82125,-5.537593984962406
2024-07-05,-1.7190594059405941,-5.369402985074627
2024-07-06,-1.7190594059405941,-5.369402985074627
2024-07-07,-1.9502487562189055,-6.161654135338346
2024-07-08,-1.5339195979899498,-5.127862595419847
2024-07-09,-2.03875,-4.627862595419847
2024-07-10,-2.4116915422885574,-4.526515151515151
2024-07-11,-2.5441176470588234,-4.662878787878788
2024-07-12,-1.9745145631067962,-4.893656716417911
2024-07-13,-1.9745145631067962,-4.893656716417911
2024-07-14,-1.695,-4.378846153846154
2024-07-15,-2.68407960199005,-4.957364341085271
2024-07-16,-2.4321608040201004,-4.923828125
2024-07-17,-1.7777777777777777,-3.8818897637795278
2024-07-18,-3.587121212121212,-3.858267716535433
2024-07-19,-2.5733830845771144,-2.7674418604651163
2024-07-20,-2.5733830845771144,-2.7674418604651163
2024-07-21,-3.0982142857142856,-2.4384920634920637
2024-07-22,-3.6941624365482233,-2.058
2024-07-23,-3.6931818181818183,-3.05
2024-07-24,-3.7474874371859297,-3.646484375
2024-07-25,-6.09875,-2.306201550387597
2024-07-26,-6.190298507462686,-2.306201550387597
2024-07-27,-6.190298507462686,-2.306201550387597
2024-07-28,-6.016414141414141,-2.2460629921259843
2024-07-29,-6.375,-3.5193798449612403
2024-07-30,-5.82286432160804,-3.4468503937007875
2024-07-31,-6.164572864321608,-1.13
2024-08-01,-5.566502463054187,-1.3203125
2024-08-02,-6.029411764705882,-1.3203125
2024-08-03,-6.029411764705882,-1.3203125
2024-08-04,-8.018203883495145,-1.4586614173228347
2024-08-05,-8.283980582524272,-1.889763779527559
2024-08-06,-7.658653846153846,-0.224609375
2024-08-07,-7.536904761904762,-1.1923076923076923
2024-08-08,-7.989336492890995,-0.3730769230769231
2024-08-09,-8.64906103286385,-0.3730769230769231
2024-08-10,-8.64906103286385,-0.3730769230769231
2024-08-11,-8.570754716981131,-0.296875
2024-08-12,-7.9014423076923075,-1.4424603174603174
2024-08-13,-7.211538461538462,-0.59251968503937
2024-08-14,-6.985714285714286,-0.32751937984496127
2024-08-15,-7.0059241706161135,-0.3557692307692308
2024-08-16,-6.747674418604651,0.07251908396946564
2024-08-17,-6.747674418604651,0.07251908396946564
2024-08-18,-7.0129716981132075,-0.517578125
2024-08-19,-7.203791469194313,-0.9341085271317829
2024-08-20,-6.663875598086125,-0.6567460317460317
2024-08-21,-6.323170731707317,0.636
2024-08-22,-7.200721153846154,-0.7066929133858267
2024-08-23,-6.558333333333334,0.080078125
2024-08-24,-6.558333333333334,0.080078125
2024-08-25,-6.534688995215311,0.17125984251968504
2024-08-26,-5.144927536231884,0.524
2024-08-27,-5.202439024390244,-0.594
2024-08-28,-5.096813725490196,-0.708
2024-08-29,-5.608208955223881,-1.6068548387096775
2024-08-30,-5.355392156862745,-0.794
2024-08-31,-5.355392156862745,-0.794
2024-09-01,-6.596733668341709,-0.25203252032520324
2024-09-02,-7.255,-0.54
2024-09-03,-7.88681592039801,-0.7678571428571429
2024-09-04,-6.915841584158416,-0.06692913385826772
2024-09-05,-6.732843137254902,1.3326771653543308
2024-09-06,-6.966507177033493,1.8527131782945736
2024-09-07,-6.966507177033493,1.8527131782945736
2024-09-08,-7.152644230769231,1.701171875
2024-09-09,-8.41425120772947,0.982421875
2024-09-10,-6.636255924170616,2.5697674418604652
2024-09-11,-8.182464454976303,1.611328125
2024-09-12,-7.198356807511737,3.377906976744186
2024-09-13,-6.565366972477064,3.1875
2024-09-14,-6.565366972477064,3.1875
2024-09-15,-6.408139534883721,3.269083969465649
2024-09-16,-6.716743119266055,3.1231060606060606
2024-09-17,-6.635746606334842,2.612781954887218
2024-09-18,-8.028153153153154,2.612781954887218
2024-09-19,-8.784246575342467,3.146153846153846
2024-09-20,-8.450226244343892,2.7881679389312977
2024-09-21,-8.450226244343892,2.7881679389312977
2024-09-22,-8.871004566210045,2.9057692307692307
2024-09-23,-8.041666666666666,3.6589147286821704
2024-09-24,-7.076834862385321,4.552734375
2024-09-25,-6.585253456221198,3.75968992248062
2024-09-26,-6.2827102803738315,4.4603174603174605
2024-09-27,-6.4467592592592595,4.015625
2024-09-28,-6.408139534883721,4.163385826771654
2024-09-29,-6.144366197183099,4.678
2024-09-30,-6.2959905660377355,4.590725806451613
2024-10-01,-5.183962264150943,5.745901639344262
2024-10-02,-4.962264150943396,5.355371900826446
2024-10-03,-6.079439252336448,4.887295081967213
2024-10-04,-5.6782407407407405,4.508130081300813
2024-10-05,-5.6782407407407405,4.508130081300813
2024-10-06,-5.921361502347418,3.9262295081967213
2024-10-07,-5.183962264150943,4.85625
2024-10-08,-4.5,5.159836065573771
2024-10-09,-3.289855072463768,5.502049180327869
2024-10-10,-3.088516746411483,6.929435483870968
2024-10-11,-2.483490566037736,6.51984126984127
2024-10-12,-2.483490566037736,6.51984126984127
2024-10-13,-2.09688995215311,6.642
2024-10-14,-1.9812206572769953,7.021484375
2024-10-15,-2.3848837209302327,6.217307692307692
2024-10-16,-0.5046296296296297,7.933206106870229
2024-10-17,-0.5897727272727272,6.629770992366412
2024-10-18,0.06334841628959276,6.316287878787879
2024-10-19,0.06334841628959276,6.316287878787879
2024-10-20,0.38940092165898615,5.601145038167939
2024-10-21,1.1534883720930234,6.461832061068702
2024-10-22,1.9229857819905214,7.588582677165355
2024-10-23,2.410377358490566,7.273809523809524
2024-10-24,2.325117370892019,7.057086614173229
2024-10-25,2.1347926267281108,7.445736434108527
2024-10-26,2.1347926267281108,7.445736434108527
2024-10-27,2.9398584905660377,8.168650793650794
2024-10-28,3.0292056074766354,8.001968503937007
2024-10-29,3.7758215962441315,6.591796875
2024-10-30,3.4845238095238096,6.898
2024-10-31,3.463443396226415,6.624015748031496
2024-11-01,4.296728971962617,6.323643410852713
2024-11-02,5.576190476190476,6.84765625
2024-11-03,5.872572815533981,7.381048387096774
2024-11-04,4.685679611650485,5.483870967741935
2024-11-05,4.922330097087379,7.099593495934959
2024-11-06,4.230676328502415,6.786290322580645
2024-11-07,5.496359223300971,7.532
2024-11-08,4.872037914691943,7.0703125
2024-11-09,4.872037914691943,7.0703125
2024-11-10,4.684523809523809,7.833333333333333
2024-11-11,3.7476415094339623,6.928571428571429
2024-11-12,3.7618483412322274,6.43
2024-11-13,4.155952380952381,6.628048780487805
2024-11-14,3.1339712918660285,5.528225806451613
2024-11-15,1.8419811320754718,4.843253968253968
2024-11-16,1.9632701421800949,4.843253968253968
2024-11-17,2.261904761904762,5.415322580645161
2024-11-18,1.7,4.952
2024-11-19,1.3325471698113207,4.222222222222222
2024-11-20,3.609004739336493,4.707661290322581
2024-11-21,2.7207943925233646,3.3551587301587302
2024-11-22,3.1313953488372093,3.094488188976378
2024-11-23,3.1313953488372093,3.094488188976378
2024-11-24,2.1121495327102804,3.094488188976378
2024-11-25,2.8564814814814814,4.3641732283464565
2024-11-26,3.811627906976744,4.609126984126984
2024-11-27,3.3539719626168223,5.413306451612903
2024-11-28,2.991822429906542,4.392
2024-11-29,2.0381944444444446,4.0137795275590555
2024-11-30,2.0813953488372094,4.103174603174603
2024-12-01,2.2593457943925235,4.4
2024-12-02,3.967857142857143,4.78
2024-12-03,2.8261904761904764,4.6875
2024-12-04,3.6850961538461537,4.838709677419355
2024-12-05,3.8115942028985508,3.898
2024-12-06,3.354066985645933,3.341796875
2024-12-07,3.640625,3.811023622047244
2024-12-08,4.141304347826087,4.634920634920635
2024-12-09,2.3024390243902437,2.7460629921259843
2024-12-10,4.014778325123153,4.791015625
2024-12-11,3.103233830845771,3.787109375
2024-12-12,3.144278606965174,4.631889763779528
2024-12-13,2.6820388349514563,3.650763358778626
2024-12-14,2.6820388349514563,3.650763358778626
2024-12-15,2.6683168316831685,3.9224806201550386
2024-12-16,2.591708542713568,4.259765625
2024-12-17,3.8341708542713566,3.9057692307692307
2024-12-18,4.3159203980099505,2.306390977443609
2024-12-19,5.33743842364532,3.8722222222222222
2024-12-20,5.3914634146341465,4.579044117647059
2024-12-21,5.3914634146341465,4.579044117647059
2024-12-22,5.012254901960785,4.898496240601504
2024-12-23,4.959756097560976,5.225378787878788
2024-12-24,5.109068627450981,6.198473282442748
2024-12-25,4.974264705882353,6.198473282442748
2024-12-26,6.522058823529412,6.303846153846154
2024-12-27,6.764563106796117,7.019083969465649
2024-12-28,6.764563106796117,7.019083969465649
2024-12-29,6.53921568627451,7.384615384615385
2024-12-30,4.603448275862069,5.85
2024-12-31,3.967233009708738,6.206439393939394
2025-01-01,4.204207920792079,6.569230769230769
2025-01-02,3.4443069306930694,6.234732824427481
2025-01-03,2.773170731707317,6.047348484848484
2025-01-04,2.773170731707317,6.047348484848484
2025-01-05,2.1002475247524752,5.330152671755725
2025-01-06,1.8409090909090908,5.25984251968504
2025-01-07,1.21125,4.174418604651163
2025-01-08,0.12125,3.9288461538461537
2025-01-09,0.1306532663316583,4.28515625
2025-01-10,0.9455445544554455,4.145348837209302
2025-01-11,0.9455445544554455,4.145348837209302
2025-01-12,1.2601522842639594,3.816
2025-01-13,1.3686224489795917,3.247983870967742
2025-01-14,2.4564102564102566,2.4613821138211383
2025-01-15,1.1108247422680413,3.214
2025-01-16,1.5215736040609138,4.41015625
2025-01-17,1.4675,5.063461538461539
2025-01-18,1.4675,5.063461538461539
2025-01-19,0.3055555555555556,4.525390625
2025-01-20,0.14676616915422885,5.344230769230769
2025-01-21,3.2055837563451774,5.092307692307692
