session_date,net_pnl_dollars,equity_dollars
2021-11-22,0.5,110.5
2021-11-23,0.5,111.0
2021-11-24,0.0,111.0
2021-11-29,0.0,111.0
2021-11-30,0.0,111.0
2021-12-01,0.0,111.0
2021-12-02,3.5,114.5
2021-12-06,0.0,114.5
2021-12-07,0.0,114.5
2021-12-08,0.0,114.5
2021-12-09,6.0,120.5
2021-12-13,0.0,120.5
2021-12-14,0.0,120.5
2021-12-15,0.0,120.5
2021-12-16,0.0,120.5
2021-12-20,0.0,120.5
2021-12-21,0.0,120.5
2021-12-22,2.5,123.0
2021-12-27,0.0,123.0
2021-12-28,0.0,123.0
2021-12-29,0.0,123.0
2021-12-30,0.0,123.0
2022-01-03,2.5,125.5
2022-01-04,8.0,133.5
2022-01-05,0.0,133.5
2022-01-06,0.0,133.5
2022-01-10,0.0,133.5
2022-01-11,0.5,134.0
2022-01-12,0.0,134.0
2022-01-13,0.0,134.0
2022-01-18,-1.0,133.0
2022-01-19,0.0,133.0
2022-01-20,0.0,133.0
2022-01-24,0.0,133.0
2022-01-25,0.0,133.0
2022-01-26,0.0,133.0
2022-01-27,0.0,133.0
2022-01-31,0.0,133.0
2022-02-01,0.0,133.0
2022-02-02,0.0,133.0
2022-02-03,0.0,133.0
2022-02-07,0.0,133.0
2022-02-08,0.0,133.0
2022-02-09,0.0,133.0
2022-02-10,6.0,139.0
2022-02-14,0.0,139.0
2022-02-15,0.0,139.0
2022-02-16,0.0,139.0
2022-02-17,0.0,139.0
2022-02-22,0.0,139.0
2022-02-23,0.0,139.0
2022-02-24,0.0,139.0
2022-02-28,-1.0,138.0
2022-03-01,0.0,138.0
2022-03-02,0.0,138.0
2022-03-03,0.0,138.0
2022-03-07,0.0,138.0
2022-03-08,0.0,138.0
2022-03-09,2.5,140.5
2022-03-10,4.0,144.5
2022-03-14,0.0,144.5
2022-03-15,0.0,144.5
2022-03-16,0.0,144.5
2022-03-17,0.0,144.5
2022-03-21,0.0,144.5
2022-03-22,0.0,144.5
2022-03-23,-0.5,144.0
2022-03-24,0.0,144.0
2022-03-28,-0.5,143.5
