session_date,asia_start_ts,reference_ts,side,ny_close,entry_price,gap_points,gap_bps,exit_ts,exit_price,exit_reason,filled,minutes_held,gross_points,mae_points,mfe_points,asia_bars,cost_points,net_points,gross_pnl_dollars,net_pnl_dollars
2022-10-12,2022-10-12 18:00:00-04:00,2022-10-12 17:00:00-04:00,Short,10853.0,10855.0,2.0,1.8428084400626557,2022-10-12 18:15:00-04:00,10853.0,target,True,15.0,2.0,10.0,2.75,72,0.75,1.25,4.0,2.5
2022-10-20,2022-10-20 18:00:00-04:00,2022-10-20 17:00:00-04:00,Short,11060.5,11062.75,2.25,2.0342660820035263,2022-10-20 18:05:00-04:00,11060.5,target,True,5.0,2.25,1.25,24.0,72,0.75,1.5,4.5,3.0
2022-11-02,2022-11-02 18:00:00-04:00,2022-11-02 17:00:00-04:00,Short,10942.5,10944.75,2.25,2.0562028786840303,2022-11-02 18:05:00-04:00,10942.5,target,True,5.0,2.25,1.5,26.5,72,0.75,1.5,4.5,3.0
2022-11-14,2022-11-14 18:00:00-05:00,2022-11-14 17:00:00-05:00,Short,11768.5,11769.0,0.5,0.42486298168840547,2022-11-14 18:05:00-05:00,11768.5,target,True,5.0,0.5,9.25,3.75,72,0.75,-0.25,1.0,-0.5
2022-11-16,2022-11-16 18:00:00-05:00,2022-11-16 17:00:00-05:00,Short,11773.0,11773.75,0.75,0.6370508791302132,2022-11-16 18:15:00-05:00,11773.0,target,True,15.0,0.75,10.75,0.75,72,0.75,0.0,1.5,0.0
2022-11-22,2022-11-22 18:00:00-05:00,2022-11-22 17:00:00-05:00,Short,11739.5,11741.0,1.5,1.277737552706674,2022-11-22 18:05:00-05:00,11739.5,target,True,5.0,1.5,10.75,11.0,72,0.75,0.75,3.0,1.5
2022-11-23,2022-11-23 18:00:00-05:00,2022-11-23 17:00:00-05:00,Short,11877.75,11878.0,0.25,0.21047757361453137,2022-11-23 18:05:00-05:00,11877.75,target,True,5.0,0.25,20.25,6.0,72,0.75,-0.5,0.5,-1.0
2022-11-28,2022-11-28 18:00:00-05:00,2022-11-28 17:00:00-05:00,Short,11623.75,11625.5,1.75,1.5055382299171955,2022-11-28 18:05:00-05:00,11623.75,target,True,5.0,1.75,2.25,9.25,72,0.75,1.0,3.5,2.0
2022-11-29,2022-11-29 18:00:00-05:00,2022-11-29 17:00:00-05:00,Short,11518.5,11519.25,0.75,0.6511264487563485,2022-11-29 18:05:00-05:00,11518.5,target,True,5.0,0.75,2.75,6.25,72,0.75,0.0,1.5,0.0
2022-12-01,2022-12-01 18:00:00-05:00,2022-12-01 17:00:00-05:00,Short,12036.75,12039.0,2.25,1.8692753442582093,2022-12-01 18:05:00-05:00,12036.75,target,True,5.0,2.25,9.5,6.25,72,0.75,1.5,4.5,3.0
2022-12-06,2022-12-06 18:00:00-05:00,2022-12-06 17:00:00-05:00,Short,11566.75,11568.5,1.75,1.512957399442367,2022-12-06 18:05:00-05:00,11566.75,target,True,5.0,1.75,5.0,8.5,72,0.75,1.0,3.5,2.0
2022-12-07,2022-12-07 18:00:00-05:00,2022-12-07 17:00:00-05:00,Short,11498.5,11500.0,1.5,1.304517980606166,2022-12-07 18:05:00-05:00,11498.5,target,True,5.0,1.5,13.25,1.5,72,0.75,0.75,3.0,1.5
2022-12-08,2022-12-08 18:00:00-05:00,2022-12-08 17:00:00-05:00,Short,11636.75,11638.75,2.0,1.7186929340236752,2022-12-08 18:05:00-05:00,11636.75,target,True,5.0,2.0,11.75,2.0,72,0.75,1.25,4.0,2.5
2022-12-12,2022-12-12 18:00:00-05:00,2022-12-12 17:00:00-05:00,Short,11698.0,11699.0,1.0,0.8548469823901521,2022-12-12 18:05:00-05:00,11698.0,target,True,5.0,1.0,8.0,1.25,72,0.75,0.25,2.0,0.5
2022-12-28,2022-12-28 18:00:00-05:00,2022-12-28 17:00:00-05:00,Short,10784.25,10786.75,2.5,2.318195516609871,2022-12-28 18:20:00-05:00,10784.25,target,True,20.0,2.5,9.5,4.5,72,0.75,1.75,5.0,3.5
2022-12-29,2022-12-29 18:00:00-05:00,2022-12-29 17:00:00-05:00,Short,11029.5,11032.75,3.25,2.9466430935219186,2022-12-29 18:05:00-05:00,11029.5,target,True,5.0,3.25,3.5,7.25,72,0.75,2.5,6.5,5.0
