reference_close,side,max_gap_bps,trades,sessions,trades_per_year,fill_rate,stop_rate,deadline_rate,win_rate,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,per_trade_tstat,per_session_tstat,total_net_pnl_dollars,pnl_per_year_dollars,profit_factor,sharpe_ratio,max_drawdown_dollars,return_over_max_dd,worst_trade_dollars,best_trade_dollars,avg_mae_points,avg_minutes_held
16:00,Both,1.0,82,1311,15.762013729977117,0.975609756097561,0.0,0.024390243902439025,0.5121951219512195,-1.8597560975609757,-5.264859118202283,1.5453469230803316,-1.0704683464506461,-1.0695760073135212,-152.5,-29.313501144164757,0.2685851318944844,-0.46893276312069826,186.5,-0.8176943699731903,-122.0,3.5,12.975609756097562,23.048780487804876
16:00,Long,3.0,110,1311,21.1441647597254,0.9181818181818182,0.0,0.08181818181818182,0.7636363636363637,-4.336363636363636,-11.858640068369917,3.185912795642645,-1.1298596502009965,-1.1285596342146604,-477.0,-91.68878718535468,0.4564102564102564,-0.4947928749336999,707.0,-0.6746817538896747,-367.5,15.0,17.775,49.27272727272727
17:00,Short,1.0,183,1311,35.17620137299771,0.9836065573770492,0.0,0.01639344262295082,0.39344262295081966,-0.6994535519125683,-1.8475817963876433,0.4486746925625068,-1.1940336700344334,-1.1928395669549103,-128.0,-24.60411899313501,0.4168564920273349,-0.5229750389566278,182.5,-0.7013698630136986,-87.5,3.5,9.972677595628415,15.737704918032787
17:00,Both,2.0,549,1311,105.52860411899313,0.970856102003643,0.0,0.029143897996357013,0.6102003642987249,-1.0828779599271403,-2.7559062670030965,0.5901503471488159,-1.2685988688141663,-1.2681895541368013,-594.5,-114.27459954233409,0.5770188545001779,-0.5560106319848062,719.5,-0.8262682418346073,-367.5,10.0,10.742714025500911,23.73406193078324
16:00,Both,5.0,375,1311,72.08237986270022,0.9093333333333333,0.0,0.09066666666666667,0.808,-2.481333333333333,-6.2013604980739006,1.2386938314072342,-1.3073356161022816,-1.3064533202737005,-930.5,-178.8604118993135,0.7049310290153797,-0.5727865632503629,1066.5,-0.8724800750117205,-367.5,26.5,15.67,52.626666666666665
17:00,Long,7.5,440,1311,84.5766590389016,0.9340909090909091,0.0,0.0659090909090909,0.7295454545454545,-2.6863636363636365,-6.643407387685228,1.2706801149579547,-1.3305832204719321,-1.3298093422260506,-1182.0,-227.20366132723112,0.649518161601186,-0.5830265123841628,1677.0,-0.7048300536672629,-529.5,36.0,16.467613636363637,44.21590909090909
16:00,Both,3.0,243,1311,46.70938215102975,0.934156378600823,0.0,0.06584362139917696,0.7777777777777778,-3.168724279835391,-7.744209099729325,1.4067605400585426,-1.3573611887859487,-1.3554470509191998,-770.0,-148.0091533180778,0.5401612421618394,-0.5942668183515329,841.0,-0.915576694411415,-367.5,16.0,15.48559670781893,39.81481481481482
17:00,Both,10.0,1082,1311,207.98169336384439,0.933456561922366,0.0,0.066543438077634,0.7504621072088724,-1.7629390018484288,-4.309943622696279,0.7840656189994211,-1.3566119784535966,-1.3565198905972862,-1907.5,-366.65903890160183,0.7803558063216075,-0.5947371820014189,2586.0,-0.7376256767208044,-540.5,48.0,16.99930683918669,42.98059149722736
16:00,Long,5.0,177,1311,34.022883295194504,0.8870056497175142,0.0,0.11299435028248588,0.7909604519774012,-4.172316384180791,-10.100544220876483,1.7559114525149022,-1.3794324602346235,-1.376397091225645,-738.5,-141.954233409611,0.5867375489647454,-0.6034519162045288,1004.0,-0.7355577689243028,-367.5,26.5,17.731638418079097,61.46892655367232
17:00,Long,2.0,253,1311,48.63157894736842,0.9565217391304348,0.0,0.043478260869565216,0.6007905138339921,-2.3715415019762847,-5.586570677675461,0.8434876737228914,-1.4457523444926783,-1.4432431627637223,-600.0,-115.33180778032036,0.375,-0.6327591489918907,682.5,-0.8791208791208791,-367.5,8.5,11.531620553359684,31.620553359683793
