Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
13,Exit long,2025-10-20 04:44,P6 Long Exit,25844,1,51733.5,-45.5,-0.09,0,50.5,0.10,-45.5,-0.09,211,0.21,43
13,Entry long,2025-10-20 04:01,P6L|sig=1760947260000|zone=1760940000000|prox=25870.00|dist=25845.00|rvol=0.9725|room=5.5288,25866.75,1,51733.5,-45.5,-0.09,0,50.5,0.10,-45.5,-0.09,211,0.21,43
14,Exit long,2025-10-29 11:10,P6 Long Exit,27000.25,1,54061,-60.5,-0.11,0,71.5,0.13,-60.5,-0.11,150.5,0.15,62
14,Entry long,2025-10-29 10:08,P6L|sig=1761746880000|zone=1761739200000|prox=27032.50|dist=27001.25|rvol=0.9262|room=NaN,27030.5,1,54061,-60.5,-0.11,0,71.5,0.13,-60.5,-0.11,150.5,0.15,62
15,Exit long,2025-10-30 09:48,P6 Long Exit,26816.25,1,53431.5,201,0.38,0,201,0.38,-33,-0.06,351.5,0.35,10
15,Entry long,2025-10-30 09:38,P6L|sig=1761831480000|zone=1761634800000|prox=26716.25|dist=26700.00|rvol=1.1034|room=15.8551,26715.75,1,53431.5,201,0.38,0,201,0.38,-33,-0.06,351.5,0.35,10
16,Exit short,2025-10-30 14:16,P6 Short Exit,26745.25,1,53691.5,201,0.37,0,201,0.37,-18,-0.03,552.5,0.55,123
16,Entry short,2025-10-30 12:13,P6S|sig=1761840780000|zone=1761829200000|prox=26845.25|dist=26937.25|rvol=1.1511|room=3.922,26845.75,1,53691.5,201,0.37,0,201,0.37,-18,-0.03,552.5,0.55,123
17,Exit long,2025-11-03 10:36,P6 Long Exit,26773.5,1,53598.5,-51.5,-0.10,0,27.5,0.05,-51.5,-0.10,501,0.50,10
17,Entry long,2025-11-03 10:26,P6L|sig=1762183560000|zone=1762153200000|prox=26806.00|dist=26774.50|rvol=0.7847|room=3.5769,26799.25,1,53598.5,-51.5,-0.10,0,27.5,0.05,-51.5,-0.10,501,0.50,10
18,Exit long,2025-11-04 04:51,P6 Long Exit,26467.75,1,52959.5,-24,-0.05,0,61,0.12,-24,-0.05,477,0.48,28
18,Entry long,2025-11-04 04:23,P6L|sig=1762248180000|zone=1761526800000|prox=26480.50|dist=26468.75|rvol=1.1668|room=34.6471,26479.75,1,52959.5,-24,-0.05,0,61,0.12,-24,-0.05,477,0.48,28
19,Exit long,2025-11-04 12:19,P6 Long Exit,26419.75,1,53011.5,-172,-0.32,0,96.5,0.18,-172,-0.32,305,0.31,59
19,Entry long,2025-11-04 11:20,P6L|sig=1762273200000|zone=1762261200000|prox=26512.00|dist=26420.75|rvol=1.0854|room=4.4472,26505.75,1,53011.5,-172,-0.32,0,96.5,0.18,-172,-0.32,305,0.31,59
20,Exit short,2025-11-05 08:28,P6 Short Exit,26310.75,1,52542,-79.5,-0.15,0,28,0.05,-79.5,-0.15,225.5,0.23,67
20,Entry short,2025-11-05 07:21,P6S|sig=1762345260000|zone=1762333200000|prox=26270.50|dist=26309.75|rvol=0.834|room=5.795,26271,1,52542,-79.5,-0.15,0,28,0.05,-79.5,-0.15,225.5,0.23,67
21,Exit short,2025-11-06 04:46,P6 Short Exit,26501.75,1,52956,-47.5,-0.09,0,10,0.02,-47.5,-0.09,178,0.18,33
21,Entry short,2025-11-06 04:13,P6S|sig=1762420380000|zone=1762401600000|prox=26478.00|dist=26500.75|rvol=1.1125|room=8.0842,26478,1,52956,-47.5,-0.09,0,10,0.02,-47.5,-0.09,178,0.18,33
22,Exit short,2025-11-07 03:05,P6 Short Exit,26108.75,1,52151.5,-66,-0.13,0,21.5,0.04,-66,-0.13,112,0.11,146
