time,open,high,low,close,P6 · research proximal,P6 · direction (+1/-1),P6 · opposing room R,P6 · zone created Unix seconds,P6 · active research entry,P6 · active stop,P6 · active target
2026-09-04T13:25:00-04:00,29518,29523.5,29515.5,29522.5,,,,,,,
2026-09-04T13:26:00-04:00,29522.5,29527,29518.75,29519,,,,,,,
2026-09-04T13:27:00-04:00,29519.25,29522,29515.75,29519.75,,,,,,,
2026-09-04T13:28:00-04:00,29520,29521.25,29511.25,29511.75,,,,,,,
2026-09-04T13:29:00-04:00,29511.75,29512.75,29504.25,29508,,,,,,,
2026-09-04T13:30:00-04:00,29508.25,29508.75,29496.5,29498.75,,,,,,,
2026-09-04T13:31:00-04:00,29499,29504,29497,29501.75,,,,,,,
2026-09-04T13:32:00-04:00,29502,29503,29493,29497.25,,,,,,,
2026-09-04T13:33:00-04:00,29497,29505.5,29489.25,29489.5,,,,,,,
2026-09-04T13:34:00-04:00,29489.5,29494,29485.25,29493.25,,,,,,,
2026-09-04T13:35:00-04:00,29493.75,29501.25,29489,29496.5,,,,,,,
2026-09-04T13:36:00-04:00,29496.75,29500.25,29492.75,29496.5,,,,,,,
2026-09-04T13:37:00-04:00,29496.5,29497.5,29490.25,29492.5,,,,,,,
2026-09-04T13:38:00-04:00,29492.5,29498,29490,29494.5,,,,,,,
2026-09-04T13:39:00-04:00,29494.5,29497.25,29490.5,29495.25,,,,,,,
2026-09-04T13:40:00-04:00,29495,29495.75,29482.5,29493,,,,,,,
2026-09-04T13:41:00-04:00,29492.5,29493.75,29480,29481.5,,,,,,,
2026-09-04T13:42:00-04:00,29481,29483.5,29475.25,29475.25,,,,,,,
2026-09-04T13:43:00-04:00,29475.75,29488,29474.5,29485.75,,,,,,,
2026-09-04T13:44:00-04:00,29486,29488.5,29477.5,29478.5,,,,,,,
2026-09-04T13:45:00-04:00,29479,29481.25,29468.25,29473.25,,,,,,,
2026-09-04T13:46:00-04:00,29473.25,29481.25,29469.5,29481,,,,,,,
2026-09-04T13:47:00-04:00,29481,29492.5,29477.5,29484.75,,,,,,,
2026-09-04T13:48:00-04:00,29484.75,29490.75,29479.75,29486.25,,,,,,,
2026-09-04T13:49:00-04:00,29487,29488.5,29482.75,29484.25,,,,,,,
2026-09-04T13:50:00-04:00,29483.75,29491,29483.25,29485.25,,,,,,,
2026-09-04T13:51:00-04:00,29485.5,29487.75,29481.25,29487,,,,,,,
2026-09-04T13:52:00-04:00,29486,29495.75,29485.5,29493.25,,,,,,,
2026-09-04T13:53:00-04:00,29492.25,29492.75,29485.75,29487.5,,,,,,,
2026-09-04T13:54:00-04:00,29487.25,29489,29483.5,29486,,,,,,,
2026-09-04T13:55:00-04:00,29486.5,29487.5,29480.5,29484.75,,,,,,,
2026-09-04T13:56:00-04:00,29485.25,29488.75,29481.75,29483.75,,,,,,,
2026-09-04T13:57:00-04:00,29483.75,29487.5,29482.75,29485.25,,,,,,,
2026-09-04T13:58:00-04:00,29485,29497.5,29484,29495,,,,,,,
2026-09-04T13:59:00-04:00,29495,29498.75,29490,29491.5,,,,,,,
2026-09-04T14:00:00-04:00,29491.5,29498,29491,29495,,,,,,,
2026-09-04T14:01:00-04:00,29494.5,29495.75,29477.75,29479,,,,,,,
2026-09-04T14:02:00-04:00,29479.5,29483,29476.75,29478.75,,,,,,,
2026-09-04T14:03:00-04:00,29478.75,29482.25,29475,29476.5,,,,,,,
2026-09-04T14:04:00-04:00,29476.5,29478,29472.25,29476.25,,,,,,,
2026-09-04T14:05:00-04:00,29477.25,29481,29471.5,29479.5,,,,,,,
2026-09-04T14:06:00-04:00,29479.25,29481.5,29471.25,29477,,,,,,,
2026-09-04T14:07:00-04:00,29476.75,29480,29475.25,29478,,,,,,,
2026-09-04T14:08:00-04:00,29477.75,29484,29476.5,29483.5,,,,,,,
