Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
75,Entry long,2026-02-24 09:34,P6L|sig=1771943580000|zone=1771873200000|prox=25235.75|dist=25186.75|room=6.94,25230,1,50460,211.5,0.42,0,211.5,0.42,-55.5,-0.11,14,0.00,6
76,Exit short,2026-02-24 16:00,15:00 CT close,25539.75,1,51166.5,87,0.17,0,173.5,0.34,-11.5,-0.02,101,0.01,228
76,Entry short,2026-02-24 12:12,P6S|sig=1771953060000|zone=1771621200000|prox=25582.75|dist=25596.50|room=13.3898,25583.25,1,51166.5,87,0.17,0,173.5,0.34,-11.5,-0.02,101,0.01,228
77,Exit short,2026-02-25 06:46,P6 Short Exit,25627.25,1,51217.5,-37,-0.07,0,18,0.04,-37,-0.07,64,0.01,10
77,Entry short,2026-02-25 06:36,P6S|sig=1772019300000|zone=1771984800000|prox=25611.00|dist=25626.25|room=3.7231,25608.75,1,51217.5,-37,-0.07,0,18,0.04,-37,-0.07,64,0.01,10
78,Exit short,2026-02-25 16:00,15:00 CT close,25890,1,51702.5,-77.5,-0.15,0,156.5,0.30,-107.5,-0.21,-13.5,0.00,359
78,Entry short,2026-02-25 10:01,P6S|sig=1772031600000|zone=1770901200000|prox=25865.00|dist=25928.25|room=4.2724,25851.25,1,51702.5,-77.5,-0.15,0,156.5,0.30,-107.5,-0.21,-13.5,0.00,359
79,Exit short,2026-02-25 22:42,P6 Short Exit,25829.5,1,51647,-12,-0.02,0,8.5,0.02,-12,-0.02,-25.5,0.00,3
79,Entry short,2026-02-25 22:39,P6S|sig=1772077080000|zone=1772067600000|prox=25824.50|dist=25828.50|room=46.8,25823.5,1,51647,-12,-0.02,0,8.5,0.02,-12,-0.02,-25.5,0.00,3
80,Exit long,2026-02-26 09:31,P6 Long Exit,25788.75,1,51602.5,-25,-0.05,0,7.5,0.01,-25,-0.05,-50.5,-0.01,0
80,Entry long,2026-02-26 09:31,P6L|sig=1772116200000|zone=1772078400000|prox=25809.25|dist=25789.75|room=8.2805,25801.25,1,51602.5,-25,-0.05,0,7.5,0.01,-25,-0.05,-50.5,-0.01,0
81,Exit long,2026-02-26 10:16,P6 Long Exit,25524.75,1,51083.5,-34,-0.07,0,0.5,0.00,-34,-0.07,-84.5,-0.01,0
81,Entry long,2026-02-26 10:16,P6L|sig=1772118900000|zone=1772002800000|prox=25550.50|dist=25525.75|room=11.068,25541.75,1,51083.5,-34,-0.07,0,0.5,0.00,-34,-0.07,-84.5,-0.01,0
82,Exit long,2026-02-26 10:40,P6 Long Exit,25485.25,1,50761.5,209,0.41,0,209,0.41,-3,-0.01,124.5,0.01,5
82,Entry long,2026-02-26 10:35,P6L|sig=1772120040000|zone=1771941600000|prox=25385.25|dist=25202.25|room=2.447,25380.75,1,50761.5,209,0.41,0,209,0.41,-3,-0.01,124.5,0.01,5
83,Exit long,2026-02-27 01:13,P6 Long Exit,25519.25,1,51049,-10.5,-0.02,0,2,0.00,-10.5,-0.02,114,0.01,0
83,Entry long,2026-02-27 01:13,P6L|sig=1772172720000|zone=1772164800000|prox=25533.75|dist=25520.25|room=2.5862,25524.5,1,51049,-10.5,-0.02,0,2,0.00,-10.5,-0.02,114,0.01,0
84,Exit short,2026-02-27 04:18,P6 Short Exit,25603,1,51131.5,-74.5,-0.15,0,38.5,0.08,-74.5,-0.15,39.5,0.00,115
84,Entry short,2026-02-27 02:23,P6S|sig=1772176920000|zone=1772136000000|prox=25571.25|dist=25602.00|room=3.126,25565.75,1,51131.5,-74.5,-0.15,0,38.5,0.08,-74.5,-0.15,39.5,0.00,115
85,Exit short,2026-03-02 14:16,P6 Short Exit,25585.75,1,51082.5,-89,-0.17,0,12,0.02,-89,-0.17,-49.5,0.00,5
85,Entry short,2026-03-02 14:11,P6S|sig=1772478600000|zone=1772470800000|prox=25541.50|dist=25584.75|room=5.5141,25541.25,1,51082.5,-89,-0.17,0,12,0.02,-89,-0.17,-49.5,0.00,5
86,Exit long,2026-03-03 03:32,P6 Long Exit,25101.75,1,50291,-87.5,-0.17,0,50.5,0.10,-87.5,-0.17,-137,-0.01,16
86,Entry long,2026-03-03 03:16,P6L|sig=1772525700000|zone=1772456400000|prox=25137.75|dist=25102.75|room=9.5139,25145.5,1,50291,-87.5,-0.17,0,50.5,0.10,-87.5,-0.17,-137,-0.01,16
