Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
108,Entry short,2026-03-13 06:21,1h first touch + room,25108.75,1,50217.5,-60,-0.12,0,64.5,0.13,-60,-0.12,1477.5,0.15,39
109,Exit long,2026-03-13 11:46,P6 Long Exit,24904.75,1,49969,-159.5,-0.32,0,186.5,0.37,-159.5,-0.32,1318,0.13,45
109,Entry long,2026-03-13 11:01,1h first touch + room,24984.5,1,49969,-159.5,-0.32,0,186.5,0.37,-159.5,-0.32,1318,0.13,45
110,Exit long,2026-03-13 16:00,15:00 CT close,24894,1,49752,36,0.07,0,210,0.42,-34,-0.07,1354,0.14,130
110,Entry long,2026-03-13 13:50,1h first touch + room,24876,1,49752,36,0.07,0,210,0.42,-34,-0.07,1354,0.14,130
111,Exit short,2026-03-15 23:49,P6 Short Exit,25034.25,1,50024,-44.5,-0.09,0,22,0.04,-44.5,-0.09,1309.5,0.13,29
111,Entry short,2026-03-15 23:20,1h first touch + room,25012,1,50024,-44.5,-0.09,0,22,0.04,-44.5,-0.09,1309.5,0.13,29
112,Exit long,2026-03-16 04:40,P6 Long Exit,25011.25,1,50077.5,-55,-0.11,0,80,0.16,-55,-0.11,1254.5,0.13,71
112,Entry long,2026-03-16 03:29,1h first touch + room,25038.75,1,50077.5,-55,-0.11,0,80,0.16,-55,-0.11,1254.5,0.13,71
113,Exit long,2026-03-16 16:00,15:00 CT close,25177.5,1,50402,-47,-0.09,0,21.5,0.04,-112.5,-0.22,1207.5,0.12,39
113,Entry long,2026-03-16 15:21,1h first touch + room,25201,1,50402,-47,-0.09,0,21.5,0.04,-112.5,-0.22,1207.5,0.12,39
114,Exit long,2026-03-17 05:28,P6 Long Exit,25136.75,1,50071.5,202,0.40,0,202,0.40,-28,-0.06,1409.5,0.14,207
114,Entry long,2026-03-17 02:01,1h first touch + room,25035.75,1,50071.5,202,0.40,0,202,0.40,-28,-0.06,1409.5,0.14,207
115,Exit long,2026-03-18 08:30,P6 Long Exit,25287,1,50592.5,-18.5,-0.04,0,58,0.11,-18.5,-0.04,1391,0.14,10
115,Entry long,2026-03-18 08:20,1h first touch + room,25296.25,1,50592.5,-18.5,-0.04,0,58,0.11,-18.5,-0.04,1391,0.14,10
116,Exit long,2026-03-18 10:28,P6 Long Exit,25104.25,1,50231,-22.5,-0.04,0,24.5,0.05,-22.5,-0.04,1368.5,0.14,1
116,Entry long,2026-03-18 10:27,1h first touch + room,25115.5,1,50231,-22.5,-0.04,0,24.5,0.05,-22.5,-0.04,1368.5,0.14,1
117,Exit short,2026-03-18 14:50,P6 Short Exit,25075.5,1,50338.5,187.5,0.37,0,187.5,0.37,-80.5,-0.16,1556,0.16,52
117,Entry short,2026-03-18 13:58,1h first touch + room,25169.25,1,50338.5,187.5,0.37,0,187.5,0.37,-80.5,-0.16,1556,0.16,52
118,Exit long,2026-03-18 15:00,P6 Long Exit,25031.5,1,50116.5,-53.5,-0.11,0,23.5,0.05,-53.5,-0.11,1502.5,0.15,7
118,Entry long,2026-03-18 14:53,1h first touch + room,25058.25,1,50116.5,-53.5,-0.11,0,23.5,0.05,-53.5,-0.11,1502.5,0.15,7
119,Exit long,2026-03-18 16:00,15:00 CT close,24952.25,1,49956,-51.5,-0.10,0,16.5,0.03,-87.5,-0.18,1451,0.15,15
119,Entry long,2026-03-18 15:45,1h first touch + room,24978,1,49956,-51.5,-0.10,0,16.5,0.03,-87.5,-0.18,1451,0.15,15
120,Exit long,2026-03-19 08:02,P6 Long Exit,24792,1,49690,-106,-0.21,0,10.5,0.02,-106,-0.21,1345,0.13,39
120,Entry long,2026-03-19 07:23,1h first touch + room,24845,1,49690,-106,-0.21,0,10.5,0.02,-106,-0.21,1345,0.13,39
121,Exit short,2026-03-19 21:46,P6 Short Exit,24952.25,1,49851,-53.5,-0.11,0,101,0.20,-53.5,-0.11,1291.5,0.13,104
121,Entry short,2026-03-19 20:02,1h first touch + room,24925.5,1,49851,-53.5,-0.11,0,101,0.20,-53.5,-0.11,1291.5,0.13,104
122,Exit short,2026-03-20 03:00,P6 Short Exit,24810.75,1,49825.5,204,0.41,0,204,0.41,-4.5,-0.01,1495.5,0.15,177
122,Entry short,2026-03-20 00:03,1h first touch + room,24912.75,1,49825.5,204,0.41,0,204,0.41,-4.5,-0.01,1495.5,0.15,177
123,Exit short,2026-03-20 03:46,P6 Short Exit,24898.25,1,49767,-29.5,-0.06,0,15,0.03,-29.5,-0.06,1466,0.15,4
123,Entry short,2026-03-20 03:42,1h first touch + room,24883.5,1,49767,-29.5,-0.06,0,15,0.03,-29.5,-0.06,1466,0.15,4
124,Exit long,2026-03-20 06:04,P6 Long Exit,24669,1,49495.5,-157.5,-0.32,0,14,0.03,-157.5,-0.32,1308.5,0.13,17
124,Entry long,2026-03-20 05:47,1h first touch + room,24747.75,1,49495.5,-157.5,-0.32,0,14,0.03,-157.5,-0.32,1308.5,0.13,17
125,Exit long,2026-03-20 13:05,P6 Long Exit,24523.25,1,49153.5,-107,-0.22,0,32,0.07,-107,-0.22,1201.5,0.12,34
125,Entry long,2026-03-20 12:31,1h first touch + room,24576.75,1,49153.5,-107,-0.22,0,32,0.07,-107,-0.22,1201.5,0.12,34
126,Exit long,2026-03-20 14:23,P6 Long Exit,24408.25,1,48936,-119.5,-0.24,0,94,0.19,-119.5,-0.24,1082,0.11,46
126,Entry long,2026-03-20 13:37,1h first touch + room,24468,1,48936,-119.5,-0.24,0,94,0.19,-119.5,-0.24,1082,0.11,46
127,Exit long,2026-03-20 15:35,P6 Long Exit,24316.5,1,48728.5,-95.5,-0.20,0,55,0.11,-95.5,-0.20,986.5,0.10,23
127,Entry long,2026-03-20 15:12,1h first touch + room,24364.25,1,48728.5,-95.5,-0.20,0,55,0.11,-95.5,-0.20,986.5,0.10,23
128,Exit long,2026-03-23 07:05,P6 Long Exit,24248.75,1,48295.5,202,0.42,0,202,0.42,-78.5,-0.16,1188.5,0.12,89
128,Entry long,2026-03-23 05:36,1h first touch + room,24147.75,1,48295.5,202,0.42,0,202,0.42,-78.5,-0.16,1188.5,0.12,89
129,Exit short,2026-03-24 20:32,P6 Short Exit,24751.25,1,49461.5,-41,-0.08,0,99.5,0.20,-41,-0.08,1147.5,0.11,20
129,Entry short,2026-03-24 20:12,1h first touch + room,24730.75,1,49461.5,-41,-0.08,0,99.5,0.20,-41,-0.08,1147.5,0.11,20
130,Exit long,2026-03-24 22:00,P6 Long Exit,24675,1,49455.5,-105.5,-0.21,0,26,0.05,-105.5,-0.21,1042,0.10,28
130,Entry long,2026-03-24 21:32,1h first touch + room,24727.75,1,49455.5,-105.5,-0.21,0,26,0.05,-105.5,-0.21,1042,0.10,28
131,Exit long,2026-03-25 08:23,P6 Long Exit,24718.25,1,49491,-54.5,-0.11,0,26,0.05,-54.5,-0.11,987.5,0.10,6
131,Entry long,2026-03-25 08:17,1h first touch + room,24745.5,1,49491,-54.5,-0.11,0,26,0.05,-54.5,-0.11,987.5,0.10,6
132,Exit long,2026-03-25 09:07,P6 Long Exit,24774.25,1,49357.5,191,0.39,0,191,0.39,-26,-0.05,1178.5,0.12,35
132,Entry long,2026-03-25 08:32,1h first touch + room,24678.75,1,49357.5,191,0.39,0,191,0.39,-26,-0.05,1178.5,0.12,35
133,Exit short,2026-03-25 23:34,P6 Short Exit,24675.75,1,49293.5,-58,-0.12,0,1,0.00,-58,-0.12,1120.5,0.11,3
