reference_close,reference_ts,reference_age_hours,asia_start_ts,asia_end_ts,side,ny_close,entry_price,raw_gap_points,gap_points,gap_bps,filled,fill_bar_ts,fill_minutes_upper_bound,exit_ts,exit_price,gross_points,net_points,gross_pnl_dollars,net_pnl_dollars,mae_points_bar_based,mfe_points_bar_based,asia_bars
16:00,2020-06-18 16:00:00-04:00,2.0,2020-06-18 18:00:00-04:00,2020-06-19 00:00:00-04:00,Long,10010.75,9995.75,-15.0,15.0,14.983892315760558,True,2020-06-18 18:15:00-04:00,20.0,2020-06-18 18:20:00-04:00,10010.75,15.0,14.75,30.0,29.5,0.25,21.0,72
16:00,2020-06-22 16:00:00-04:00,2.0,2020-06-22 18:00:00-04:00,2020-06-23 00:00:00-04:00,Short,10115.0,10120.5,5.5,5.5,5.437469105289175,True,2020-06-22 18:30:00-04:00,35.0,2020-06-22 18:35:00-04:00,10115.0,5.5,5.25,11.0,10.5,19.0,6.0,72
16:00,2020-06-23 16:00:00-04:00,2.0,2020-06-23 18:00:00-04:00,2020-06-24 00:00:00-04:00,Long,10197.75,10183.5,-14.25,14.25,13.973670662646171,True,2020-06-23 18:00:00-04:00,5.0,2020-06-23 18:05:00-04:00,10197.75,14.25,14.0,28.5,28.0,8.5,15.0,72
16:00,2020-06-24 16:00:00-04:00,2.0,2020-06-24 18:00:00-04:00,2020-06-25 00:00:00-04:00,Short,9993.5,10005.75,12.25,12.25,12.257967678991344,True,2020-06-24 18:10:00-04:00,15.0,2020-06-24 18:15:00-04:00,9993.5,12.25,12.0,24.5,24.0,16.5,14.25,72
16:00,2020-06-25 16:00:00-04:00,2.0,2020-06-25 18:00:00-04:00,2020-06-26 00:00:00-04:00,Short,10087.25,10088.0,0.75,0.75,0.7435128503804308,True,2020-06-25 18:00:00-04:00,5.0,2020-06-25 18:05:00-04:00,10087.25,0.75,0.5,1.5,1.0,10.75,3.0,72
16:00,2020-06-29 16:00:00-04:00,2.0,2020-06-29 18:00:00-04:00,2020-06-30 00:00:00-04:00,Short,9950.75,9984.0,33.25,33.25,33.41456674120041,False,,,2020-06-30 00:00:00-04:00,10008.0,-24.0,-24.25,-48.0,-48.5,38.75,9.75,72
16:00,2020-07-01 16:00:00-04:00,2.0,2020-07-01 18:00:00-04:00,2020-07-02 00:00:00-04:00,Long,10264.5,10256.25,-8.25,8.25,8.037410492474061,True,2020-07-01 18:20:00-04:00,25.0,2020-07-01 18:25:00-04:00,10264.5,8.25,8.0,16.5,16.0,8.5,8.75,72
16:00,2020-07-02 16:00:00-04:00,2.0,2020-07-02 18:00:00-04:00,2020-07-03 00:00:00-04:00,Short,10335.25,10350.0,14.75,14.75,14.271546406714885,False,,,2020-07-03 00:00:00-04:00,10352.75,-2.75,-3.0,-5.5,-6.0,22.0,10.0,72
16:00,2020-07-06 16:00:00-04:00,2.0,2020-07-06 18:00:00-04:00,2020-07-07 00:00:00-04:00,Short,10591.5,10599.0,7.5,7.5,7.0811499787565495,True,2020-07-06 21:55:00-04:00,240.0,2020-07-06 22:00:00-04:00,10591.5,7.5,7.25,15.0,14.5,65.75,10.25,72
16:00,2020-07-07 16:00:00-04:00,2.0,2020-07-07 18:00:00-04:00,2020-07-08 00:00:00-04:00,Short,10516.5,10527.75,11.25,11.25,10.69747539580659,False,,,2020-07-08 00:00:00-04:00,10546.75,-19.0,-19.25,-38.0,-38.5,45.0,3.0,72
16:00,2020-07-08 16:00:00-04:00,2.0,2020-07-08 18:00:00-04:00,2020-07-09 00:00:00-04:00,Short,10654.25,10674.0,19.75,19.75,18.537203463406623,True,2020-07-08 21:10:00-04:00,195.0,2020-07-08 21:15:00-04:00,10654.25,19.75,19.5,39.5,39.0,24.0,20.75,72
16:00,2020-07-09 16:00:00-04:00,2.0,2020-07-09 18:00:00-04:00,2020-07-10 00:00:00-04:00,Long,10741.0,10727.5,-13.5,13.5,12.568662135741551,True,2020-07-09 19:20:00-04:00,85.0,2020-07-09 19:25:00-04:00,10741.0,13.5,13.25,27.0,26.5,3.75,14.25,72
16:00,2020-07-13 16:00:00-04:00,2.0,2020-07-13 18:00:00-04:00,2020-07-14 00:00:00-04:00,Short,10599.0,10601.25,2.25,2.25,2.122841777526182,False,,,2020-07-14 00:00:00-04:00,10627.25,-26.0,-26.25,-52.0,-52.5,59.75,1.25,72
16:00,2020-07-14 16:00:00-04:00,2.0,2020-07-14 18:00:00-04:00,2020-07-15 00:00:00-04:00,Short,10673.0,10686.5,13.5,13.5,12.648739810737375,True,2020-07-14 23:15:00-04:00,320.0,2020-07-14 23:20:00-04:00,10673.0,13.5,13.25,27.0,26.5,53.5,22.5,72
