reference_close,year,side,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,2026,Short,60,41,0.6833333333333333,0.5576623287169538,0.7869413251704964,27.0,48.733333333333334,17.859809428294774,5.0,0.2916666666666667,-0.20833333333333334,-32.604300078576394,32.18763341190972,-0.012604218190009436,-12.5,0.7333333333333333,0.995205216724204,987.0,59.233333333333334
17:00,2020,Long,92,84,0.9130434782608695,0.8376974318662601,0.9552788112659468,3.0,5.682065217391305,5.824607591151501,5.0,-5.358695652173913,-5.858695652173913,-17.408673324532167,5.6912820201843415,-0.9941865595721837,-539.0,0.8152173913043478,0.5630320226996351,739.0,22.73913043478261
17:00,2020,Short,98,89,0.9081632653061225,0.8346039163809346,0.9509307850931096,4.125,6.793367346938775,6.854585932432565,5.0,-2.561224489795918,-3.061224489795918,-12.348900739154848,6.226451759563011,-0.6460054845615988,-300.0,0.8979591836734694,0.7350993377483444,669.0,23.357142857142858
17:00,2021,Long,62,61,0.9838709677419355,0.9141327965227978,0.997147132862919,1.625,2.560483870967742,1.766404953477016,5.0,5.032258064516129,4.532258064516129,3.1460114660459024,5.918504662986356,6.407995990730706,281.0,0.8709677419354839,inf,0.0,9.46774193548387
17:00,2021,Short,126,118,0.9365079365079365,0.8797075704176655,0.967479460194525,3.25,4.271825396825397,3.057258499340776,5.0,2.5912698412698414,2.0912698412698414,-2.475086434358144,6.657626116897827,0.8976114336612766,263.5,0.8809523809523809,1.4189189189189189,203.0,12.089285714285714
17:00,2022,Short,94,87,0.925531914893617,0.8541878769337353,0.9634614193329755,2.5,5.6037234042553195,4.379269961722055,5.0,-12.186170212765957,-12.686170212765957,-31.2311314986829,5.858791073150988,-1.340765102258568,-1192.5,0.8297872340425532,0.36433901918976547,1353.5,24.795212765957448
17:00,2022,Long,86,68,0.7906976744186046,0.6932340917133535,0.8633018397218544,3.875,7.816860465116279,6.319946872755371,5.0,-18.511627906976745,-19.011627906976745,-36.301695084098895,-1.7215607298545912,-2.15511633918775,-1635.0,0.7558139534883721,0.2847769028871391,1816.5,29.098837209302324
17:00,2023,Long,100,87,0.87,0.7901964848675458,0.922428326043397,2.5,5.17,3.6746270367634413,5.0,-1.81,-2.31,-8.650503811869768,4.030503811869767,-0.7140626319826893,-231.0,0.75,0.720677146311971,414.5,15.0725
17:00,2023,Short,86,80,0.9302325581395349,0.8560385928447278,0.9676345856793798,2.0,4.511627906976744,3.2954383147305273,5.0,-0.9651162790697675,-1.4651162790697674,-9.336476710988038,6.406244152848502,-0.3648130698152883,-126.0,0.8488372093023255,0.8180505415162455,425.5,10.796511627906977
17:00,2024,Short,108,93,0.8611111111111112,0.7834258818756219,0.9139899134850775,4.5,7.171296296296297,3.6928142404553426,5.0,-4.328703703703703,-4.828703703703703,-15.624199479215136,5.96679207180773,-0.876669828114269,-521.5,0.7962962962962963,0.652217405801934,1101.0,18.82175925925926
17:00,2024,Long,74,64,0.8648648648648649,0.7688082135883073,0.9249095144201963,2.75,8.010135135135135,4.3069121700129624,5.0,0.32432432432432434,-0.17567567567567569,-10.042487303166961,9.69113595181561,-0.03489658189486947,-13.0,0.8243243243243243,0.9831387808041504,248.5,19.195945945945947
17:00,2025,Short,103,91,0.883495145631068,0.8073288027299972,0.9320845376266833,5.5,11.723300970873787,5.547741533178481,5.0,-3.029126213592233,-3.529126213592233,-14.705117301729768,7.646864874545301,-0.6189124772512493,-363.5,0.8543689320388349,0.7734496727952633,1185.5,26.37864077669903
17:00,2025,Long,77,66,0.8571428571428571,0.7620272974704644,0.9183166839606419,6.0,15.685064935064934,7.38667161338322,5.0,-4.636363636363637,-5.136363636363637,-27.12923275320819,16.856505480480916,-0.45774326963421696,-395.5,0.8441558441558441,0.8028414755732801,1183.0,43.246753246753244
17:00,2026,Short,70,61,0.8714285714285714,0.7733524395924436,0.9308589991819813,9.125,12.571428571428571,4.635950847137293,5.0,-5.635714285714286,-6.135714285714286,-25.581840608539515,13.310412037110943,-0.6184151493539486,-429.5,0.8428571428571429,0.7474272272860923,1078.5,46.214285714285715
17:00,2026,Long,41,38,0.926829268292683,0.8057255133716131,0.9748021695624273,13.25,19.414634146341463,7.060674702772565,5.0,8.914634146341463,8.414634146341463,-23.932374375263123,40.76164266794605,0.5098579668962194,345.0,0.8780487804878049,1.3490136570561457,445.5,41.8780487804878
