reference_close,side,max_gap_bps,trades,fills,fill_rate,fill_ci95_low,fill_ci95_high,median_gap_points,mean_gap_points,mean_gap_bps,median_fill_minutes,avg_gross_pnl_dollars,avg_net_pnl_dollars,avg_net_pnl_ci95_low,avg_net_pnl_ci95_high,net_pnl_tstat,total_net_pnl_dollars,net_win_rate,profit_factor,max_drawdown_dollars,avg_mae_points
16:00,All,60.0,1242,857,0.6900161030595813,0.6637422862269189,0.7151181190318951,14.25,20.587359098228664,12.703707926201583,15.0,-1.393317230273752,-1.893317230273752,-6.3014693212918536,2.51483486074435,-0.8418116106922288,-2351.5,0.7270531400966184,0.9230303427056398,4870.0,30.871779388083738
16:00,All,100.0,1276,859,0.6731974921630094,0.6469752902839018,0.6983799855065468,14.5,23.552311912225704,14.555124169844426,15.0,-3.3718652037617556,-3.8718652037617556,-8.503878136814231,0.7601477292907202,-1.6383193488246104,-4940.5,0.7163009404388715,0.8561424453309262,6521.5,32.37558777429467
16:00,Long,0.5,15,15,1.0,0.7961166964035129,1.0,0.5,0.5333333333333333,0.3497607947329479,5.0,1.0666666666666667,0.5666666666666667,0.3350236800200874,0.7983096533132459,4.794646635951014,8.5,0.7333333333333333,inf,0.0,12.033333333333333
16:00,Long,1.0,36,35,0.9722222222222222,0.8583028121147521,0.9950795929146393,1.0,1.0486111111111112,0.5854385364469948,5.0,-1.3472222222222223,-1.8472222222222223,-8.50247243689622,4.808027992451775,-0.5440049492914374,-66.5,0.8611111111111112,0.44813278008298757,120.5,14.805555555555555
16:00,Long,2.0,70,68,0.9714285714285714,0.9016774380113607,0.9921293881254095,1.75,1.8678571428571429,1.0720053130456495,5.0,-3.392857142857143,-3.892857142857143,-14.757886534511245,6.97217224879696,-0.7022401488396968,-272.5,0.9142857142857143,0.4398766700924974,425.5,17.882142857142856
16:00,Long,3.0,110,101,0.9181818181818182,0.8517820815684453,0.9563593539337968,2.5,2.8454545454545452,1.6046866583845432,5.0,-2.7954545454545454,-3.2954545454545454,-10.800047156658813,4.209138065749723,-0.8606692737836433,-362.5,0.8818181818181818,0.5770128354725788,669.5,17.775
16:00,Long,5.0,177,157,0.8870056497175142,0.8319168206861322,0.925652825386711,4.0,4.238700564971752,2.4679041705243625,5.0,-2.615819209039548,-3.115819209039548,-9.026421918494565,2.7947835004154684,-1.0332099415947837,-551.5,0.864406779661017,0.6848571428571428,854.0,17.731638418079097
16:00,Long,7.5,251,213,0.848605577689243,0.7990311810087166,0.8876702716050601,5.5,6.300796812749004,3.574445713326173,5.0,0.15737051792828685,-0.3426294820717131,-5.082811183139196,4.39755221899577,-0.14166998071993164,-86.0,0.8406374501992032,0.966155057064148,853.5,19.605577689243027
16:00,Long,10.0,306,251,0.8202614379084967,0.7733529667695133,0.8592286144935996,6.625,8.04983660130719,4.489586886507556,5.0,-4.84640522875817,-5.34640522875817,-13.05708236619382,2.3642719086774804,-1.358993716246134,-1636.0,0.8202614379084967,0.6914953799735999,2281.5,24.65277777777778
16:00,Long,15.0,400,317,0.7925,0.7500694656844611,0.8293658420430234,9.5,10.8875,6.301048549686227,5.0,-2.03625,-2.53625,-9.774956824497393,4.702456824497393,-0.6867191634529487,-1014.5,0.81,0.8595361716857044,2308.5,26.376875
