trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol
1332,7928,short,1h,2026-01-22 14:00:00+00:00,2026-01-22 15:00:00+00:00,25690.75,25739.75,2026-01-22 16:45:00+00:00,25690.75,25740.75,25590.75,2026-01-22 20:35:00+00:00,25590.75,target,100.0,200.0,0.8050375393557763
1333,7932,long,1h,2026-01-26 07:00:00+00:00,2026-01-26 08:00:00+00:00,25674.75,25665.0,2026-01-26 09:30:00+00:00,25674.75,25664.0,25774.75,2026-01-26 09:31:00+00:00,25664.0,stop,-10.75,-21.5,0.8955369086708014
1334,7935,short,1h,2026-01-26 19:00:00+00:00,2026-01-26 20:00:00+00:00,25891.0,25932.75,2026-01-26 20:09:00+00:00,25891.0,25933.75,25791.0,2026-01-26 21:00:00+00:00,25843.25,timed_close,47.75,95.5,0.7811036519754124
1335,7937,short,1h,2026-01-27 08:00:00+00:00,2026-01-27 09:00:00+00:00,26002.5,26020.75,2026-01-27 10:46:00+00:00,26002.5,26021.75,25902.5,2026-01-27 11:34:00+00:00,26021.75,stop,-19.25,-38.5,0.8644177748945832
1336,7938,long,1h,2026-01-27 10:00:00+00:00,2026-01-27 11:00:00+00:00,25983.5,25967.0,2026-01-27 13:52:00+00:00,25983.5,25966.0,26083.5,2026-01-27 14:30:00+00:00,25966.0,stop,-17.5,-35.0,0.7899752145276442
1337,7952,short,1h,2026-01-30 16:00:00+00:00,2026-01-30 17:00:00+00:00,25826.75,25934.25,2026-02-02 15:07:00+00:00,25826.75,25926.75,25726.75,2026-02-02 17:32:00+00:00,25926.75,stop,-100.0,-200.0,0.995837543414157
1338,7957,short,1h,2026-02-03 02:00:00+00:00,2026-02-03 03:00:00+00:00,25952.5,25990.75,2026-02-03 03:40:00+00:00,25952.5,25991.75,25852.5,2026-02-03 05:49:00+00:00,25991.75,stop,-39.25,-78.5,0.7697594501718213
1339,7958,long,1h,2026-02-03 12:00:00+00:00,2026-02-03 13:00:00+00:00,25955.75,25922.75,2026-02-03 14:06:00+00:00,25955.75,25921.75,26055.75,2026-02-03 14:30:00+00:00,25921.75,stop,-34.0,-68.0,0.7738012217914028
1340,7955,long,1h,2026-02-02 07:00:00+00:00,2026-02-02 08:00:00+00:00,25249.75,25180.25,2026-02-03 18:59:00+00:00,25249.75,25179.25,25349.75,2026-02-03 19:20:00+00:00,25349.75,target,100.0,200.0,1.2490827156541653
1341,7971,short,1h,2026-02-09 09:00:00+00:00,2026-02-09 10:00:00+00:00,25159.25,25214.75,2026-02-09 14:45:00+00:00,25159.25,25215.75,25059.25,2026-02-09 15:14:00+00:00,25215.75,stop,-56.5,-113.0,0.7594314699985568
