trade_id,zone_id,direction,timeframe,zone_formed_at,zone_available_at,zone_proximal,zone_distal,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,points,pnl,first_touch_prior_5m_rvol,source
1370,7493,long,1h,2025-09-04 14:00:00+00:00,2025-09-04 15:00:00+00:00,23484.75,23410.0,2026-03-27 13:56:00+00:00,23484.75,23409.0,23584.75,2026-03-27 15:31:00+00:00,23584.75,target,100.0,200.0,1.0975619336724032,python_reference
1372,8129,short,1h,2026-03-27 06:00:00+00:00,2026-03-27 07:00:00+00:00,23916.5,23975.75,2026-03-31 19:40:00+00:00,23916.5,23976.75,23816.5,2026-03-31 20:00:00+00:00,23918.5,timed_close,-2.0,-4.0,0.9292954012440092,python_reference
1373,8122,short,1h,2026-03-25 18:00:00+00:00,2026-03-25 19:00:00+00:00,24422.25,24493.75,2026-04-06 14:00:00+00:00,24422.25,24494.75,24322.25,2026-04-06 14:04:00+00:00,24322.25,target,100.0,200.0,0.7558549072292219,python_reference
1375,8162,long,1h,2026-04-08 08:00:00+00:00,2026-04-08 09:00:00+00:00,25171.25,25134.25,2026-04-08 12:21:00+00:00,25171.25,25133.25,25271.25,2026-04-08 13:33:00+00:00,25133.25,stop,-38.0,-76.0,1.115487450766179,python_reference
1378,8171,long,1h,2026-04-10 12:00:00+00:00,2026-04-10 13:00:00+00:00,25272.25,25261.0,2026-04-10 14:10:00+00:00,25272.25,25260.0,25372.25,2026-04-10 14:32:00+00:00,25372.25,target,100.0,200.0,0.7766226717104862,python_reference
1379,7949,short,1h,2026-01-29 14:00:00+00:00,2026-01-29 15:00:00+00:00,26175.25,26204.0,2026-04-15 14:56:00+00:00,26175.25,26205.0,26075.25,2026-04-15 15:42:00+00:00,26205.0,stop,-29.75,-59.5,0.7549038526368161,python_reference
1380,7945,short,1h,2026-01-28 12:00:00+00:00,2026-01-28 13:00:00+00:00,26317.25,26326.75,2026-04-15 19:05:00+00:00,26317.25,26327.75,26217.25,2026-04-15 19:11:00+00:00,26327.75,stop,-10.5,-21.0,0.927918903415269,python_reference
1381,7650,short,1h,2025-10-30 04:00:00+00:00,2025-10-30 05:00:00+00:00,26356.75,26399.5,2026-04-15 19:35:00+00:00,26356.75,26400.5,26256.75,2026-04-15 20:00:00+00:00,26344.0,timed_close,12.75,25.5,0.8446294245675665,python_reference
1382,8189,long,1h,2026-04-16 05:00:00+00:00,2026-04-16 06:00:00+00:00,26443.0,26416.5,2026-04-16 08:04:00+00:00,26443.0,26415.5,26543.0,2026-04-16 08:35:00+00:00,26415.5,stop,-27.5,-55.0,0.9256483439765096,python_reference
1383,8190,short,1h,2026-04-16 10:00:00+00:00,2026-04-16 11:00:00+00:00,26440.5,26466.0,2026-04-16 13:29:00+00:00,26440.5,26467.0,26340.5,2026-04-16 13:51:00+00:00,26340.5,target,100.0,200.0,0.8897525056248722,python_reference
1399,8291,long,1h,2026-05-19 06:00:00+00:00,2026-05-19 07:00:00+00:00,28961.75,28885.0,2026-05-19 09:15:00+00:00,28961.75,28884.0,29061.75,2026-05-19 09:31:00+00:00,28884.0,stop,-77.75,-155.5,0.8328556219801818,python_reference
1402,8306,short,1h,2026-05-21 12:00:00+00:00,2026-05-21 13:00:00+00:00,29246.0,29293.75,2026-05-21 13:30:00+00:00,29246.0,29294.75,29146.0,2026-05-21 13:54:00+00:00,29294.75,stop,-48.75,-97.5,1.0795290936178914,python_reference
