Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars),entry_time_utc,direction,signal_time_utc,zone_time_utc,research_proximal,research_distal,opposing_room_r,first_touch_prior_5m_rvol,source
22,Entry short,2025-11-07 00:39,P6S|sig=1762493940000|zone=1762473600000|prox=26074.50|dist=26107.75|rvol=0.8208|room=6.5912,26075.75,1,52151.5,-66.0,-0.13,0,21.5,0.04,-66.0,-0.13,112.0,0.11,146,2025-11-07 05:39:00+00:00,short,2025-11-07 05:39:00+00:00,2025-11-07 00:00:00+00:00,26074.5,26107.75,6.5912,0.8208,tradingview
23,Entry long,2025-11-10 09:00,P6L|sig=1762783200000|zone=1762776000000|prox=26303.75|dist=26271.00|rvol=0.8494|room=4.0148,26300.75,1,52601.5,206.0,0.39,0,206.0,0.39,-43.0,-0.08,318.0,0.32,47,2025-11-10 14:00:00+00:00,long,2025-11-10 14:00:00+00:00,2025-11-10 12:00:00+00:00,26303.75,26271.0,4.0148,0.8494,tradingview
24,Entry short,2025-11-11 08:11,P6S|sig=1762866660000|zone=1762858800000|prox=26379.00|dist=26403.00|rvol=0.9623|room=3.89,26379.0,1,52758.0,200.0,0.38,0,200.0,0.38,-49.5,-0.09,518.0,0.52,142,2025-11-11 13:11:00+00:00,short,2025-11-11 13:11:00+00:00,2025-11-11 11:00:00+00:00,26379.0,26403.0,3.89,0.9623,tradingview
25,Entry short,2025-11-11 20:56,P6S|sig=1762912560000|zone=1762830000000|prox=26493.00|dist=26503.50|rvol=0.9153|room=18.3696,26493.25,1,52986.5,-22.5,-0.04,0,13.0,0.02,-22.5,-0.04,495.5,0.5,13,2025-11-12 01:56:00+00:00,short,2025-11-12 01:56:00+00:00,2025-11-11 03:00:00+00:00,26493.0,26503.5,18.3696,0.9153,tradingview
26,Entry short,2025-11-12 00:09,P6S|sig=1762924140000|zone=1762916400000|prox=26483.50|dist=26493.00|rvol=0.778|room=19.2143,26484.75,1,52969.5,-18.5,-0.03,0,20.0,0.04,-18.5,-0.03,477.0,0.48,28,2025-11-12 05:09:00+00:00,short,2025-11-12 05:09:00+00:00,2025-11-12 03:00:00+00:00,26483.5,26493.0,19.2143,0.778,tradingview
27,Entry short,2025-11-17 01:18,P6S|sig=1763360280000|zone=1763352000000|prox=26023.00|dist=26044.00|rvol=0.8946|room=4.25,26023.25,1,52046.5,-43.5,-0.08,0,74.5,0.14,-43.5,-0.08,433.5,0.43,56,2025-11-17 06:18:00+00:00,short,2025-11-17 06:18:00+00:00,2025-11-17 04:00:00+00:00,26023.0,26044.0,4.25,0.8946,tradingview
28,Entry long,2025-11-17 05:18,P6L|sig=1763374680000|zone=1763359200000|prox=26004.25|dist=25986.00|rvol=1.151|room=15.5065,26001.75,1,52003.5,-33.5,-0.06,0,25.0,0.05,-33.5,-0.06,400.0,0.4,11,2025-11-17 10:18:00+00:00,long,2025-11-17 10:18:00+00:00,2025-11-17 06:00:00+00:00,26004.25,25986.0,15.5065,1.151,tradingview
29,Entry short,2025-11-20 03:44,P6S|sig=1763628240000|zone=1763618400000|prox=25927.00|dist=25964.75|rvol=0.9194|room=12.4129,25927.75,1,51855.5,201.5,0.39,0,201.5,0.39,-29.5,-0.06,601.5,0.6,48,2025-11-20 08:44:00+00:00,short,2025-11-20 08:44:00+00:00,2025-11-20 06:00:00+00:00,25927.0,25964.75,12.4129,0.9194,tradingview
30,Entry short,2025-12-02 03:46,P6S|sig=1764665160000|zone=1764640800000|prox=26171.25|dist=26190.25|rvol=0.7514|room=6.575,26171.75,1,52343.5,-39.0,-0.07,0,27.5,0.05,-39.0,-0.07,562.5,0.56,15,2025-12-02 08:46:00+00:00,short,2025-12-02 08:46:00+00:00,2025-12-02 02:00:00+00:00,26171.25,26190.25,6.575,0.7514,tradingview
31,Entry short,2025-12-02 10:51,P6S|sig=1764690660000|zone=1763020800000|prox=26424.25|dist=26445.00|rvol=0.9375|room=8.1494,26424.5,1,52849.0,200.5,0.38,0,200.5,0.38,-6.5,-0.01,763.0,0.76,21,2025-12-02 15:51:00+00:00,short,2025-12-02 15:51:00+00:00,2025-11-13 08:00:00+00:00,26424.25,26445.0,8.1494,0.9375,tradingview
32,Entry long,2025-12-04 09:34,P6L|sig=1764858840000|zone=1764777600000|prox=26320.50|dist=26279.50|rvol=0.8909|room=4.9702,26317.75,1,52635.5,-78.5,-0.15,0,165.5,0.31,-78.5,-0.15,684.5,0.68,51,2025-12-04 14:34:00+00:00,long,2025-12-04 14:34:00+00:00,2025-12-03 16:00:00+00:00,26320.5,26279.5,4.9702,0.8909,tradingview
33,Entry long,2025-12-05 08:38,P6L|sig=1764941880000|zone=1764889200000|prox=26388.75|dist=26366.25|rvol=0.9266|room=3.6277,26384.0,1,52768.0,-37.5,-0.07,0,21.5,0.04,-37.5,-0.07,647.0,0.65,5,2025-12-05 13:38:00+00:00,long,2025-12-05 13:38:00+00:00,2025-12-04 23:00:00+00:00,26388.75,26366.25,3.6277,0.9266,tradingview
34,Entry short,2025-12-05 09:30,P6S|sig=1764945000000|zone=1764932400000|prox=26474.00|dist=26490.75|rvol=0.9108|room=6.338,26479.0,1,52958.0,-25.5,-0.05,0,8.5,0.02,-25.5,-0.05,621.5,0.62,0,2025-12-05 14:30:00+00:00,short,2025-12-05 14:30:00+00:00,2025-12-05 11:00:00+00:00,26474.0,26490.75,6.338,0.9108,tradingview
35,Entry short,2025-12-05 09:53,P6S|sig=1764946380000|zone=1762952400000|prox=26550.00|dist=26570.00|rvol=0.7844|room=8.9762,26550.75,1,53101.5,-40.5,-0.08,0,53.0,0.1,-40.5,-0.08,581.0,0.58,7,2025-12-05 14:53:00+00:00,short,2025-12-05 14:53:00+00:00,2025-11-12 13:00:00+00:00,26550.0,26570.0,8.9762,0.7844,tradingview
36,Entry long,2025-12-09 09:26,P6L|sig=1765290360000|zone=1765220400000|prox=26350.25|dist=26325.00|rvol=0.7571|room=3.7905,26349.0,1,52698.0,-50.0,-0.09,0,95.5,0.18,-50.0,-0.09,531.0,0.53,7,2025-12-09 14:26:00+00:00,long,2025-12-09 14:26:00+00:00,2025-12-08 19:00:00+00:00,26350.25,26325.0,3.7905,0.7571,tradingview
37,Entry short,2025-12-16 08:30,P6S|sig=1765891800000|zone=1765832400000|prox=25842.50|dist=25881.75|rvol=0.989|room=3.236,25853.25,1,51706.5,-59.0,-0.11,0,84.5,0.16,-59.0,-0.11,472.0,0.47,1,2025-12-16 13:30:00+00:00,short,2025-12-16 13:30:00+00:00,2025-12-15 21:00:00+00:00,25842.5,25881.75,3.236,0.989,tradingview
38,Entry short,2025-12-16 13:45,P6S|sig=1765910700000|zone=1765900800000|prox=25830.25|dist=25863.75|rvol=1.0859|room=3.4203,25833.5,1,51667.0,-62.5,-0.12,0,201.0,0.39,-62.5,-0.12,409.5,0.41,82,2025-12-16 18:45:00+00:00,short,2025-12-16 18:45:00+00:00,2025-12-16 16:00:00+00:00,25830.25,25863.75,3.4203,1.0859,tradingview
39,Entry short,2025-12-17 23:04,P6S|sig=1766030640000|zone=1766023200000|prox=25470.75|dist=25520.25|rvol=1.1212|room=4.1139,25471.0,1,50942.0,-100.5,-0.2,0,45.5,0.09,-100.5,-0.2,309.0,0.31,187,2025-12-18 04:04:00+00:00,short,2025-12-18 04:04:00+00:00,2025-12-18 02:00:00+00:00,25470.75,25520.25,4.1139,1.1212,tradingview
40,Entry short,2025-12-19 10:00,P6S|sig=1766156400000|zone=1765803600000|prox=26109.00|dist=26167.75|rvol=0.7696|room=5.5983,26109.25,1,52218.5,200.5,0.38,0,200.5,0.38,0.0,0.0,509.5,0.51,25,2025-12-19 15:00:00+00:00,short,2025-12-19 15:00:00+00:00,2025-12-15 13:00:00+00:00,26109.0,26167.75,5.5983,0.7696,tradingview
42,Entry short,2026-01-05 03:10,P6S|sig=1767600600000|zone=1767592800000|prox=26002.75|dist=26017.50|rvol=0.7865|room=10.8254,26004.5,1,52009.0,-28.0,-0.05,0,5.5,0.01,-28.0,-0.05,374.0,0.37,2,2026-01-05 08:10:00+00:00,short,2026-01-05 08:10:00+00:00,2026-01-05 06:00:00+00:00,26002.75,26017.5,10.8254,0.7865,tradingview
43,Entry short,2026-01-07 09:41,P6S|sig=1767796860000|zone=1766980800000|prox=26360.75|dist=26376.00|rvol=0.9962|room=5.2462,26364.25,1,52728.5,-25.5,-0.05,0,36.0,0.07,-25.5,-0.05,348.5,0.35,5,2026-01-07 14:41:00+00:00,short,2026-01-07 14:41:00+00:00,2025-12-29 04:00:00+00:00,26360.75,26376.0,5.2462,0.9962,tradingview
46,Entry long,2026-01-12 23:03,P6L|sig=1768276980000|zone=1768269600000|prox=26387.50|dist=26369.50|rvol=1.1786|room=20.8553,26386.75,1,52773.5,201.5,0.38,0,201.5,0.38,-22.5,-0.04,484.5,0.48,567,2026-01-13 04:03:00+00:00,long,2026-01-13 04:03:00+00:00,2026-01-13 02:00:00+00:00,26387.5,26369.5,20.8553,1.1786,tradingview
58,Entry long,2026-02-05 09:32,P6L|sig=1770301920000|zone=1763978400000|prox=25180.25|dist=25119.00|rvol=0.9137|room=7.0161,25169.0,1,50338.0,222.5,0.44,0,222.5,0.44,-18.0,-0.04,517.5,0.52,2,2026-02-05 14:32:00+00:00,long,2026-02-05 14:32:00+00:00,2025-11-24 10:00:00+00:00,25180.25,25119.0,7.0161,0.9137,tradingview
71,Entry long,2026-02-26 10:14,P6L|sig=1772118840000|zone=1772013600000|prox=25590.50|dist=25573.25|rvol=0.8549|room=13.4247,25587.75,1,51175.5,-31.0,-0.06,0,19.5,0.04,-31.0,-0.06,621.5,0.62,1,2026-02-26 15:14:00+00:00,long,2026-02-26 15:14:00+00:00,2026-02-25 10:00:00+00:00,25590.5,25573.25,13.4247,0.8549,tradingview
78,Entry long,2026-03-18 14:52,P6L|sig=1773859920000|zone=1773734400000|prox=25064.00|dist=25032.50|rvol=1.0034|room=3.4308,25056.75,1,50113.5,-50.5,-0.1,0,26.5,0.05,-50.5,-0.1,838.0,0.84,8,2026-03-18 18:52:00+00:00,long,2026-03-18 18:52:00+00:00,2026-03-17 08:00:00+00:00,25064.0,25032.5,3.4308,1.0034,tradingview
79,Entry long,2026-03-19 07:22,P6L|sig=1773919320000|zone=1773907200000|prox=24850.50|dist=24793.00|rvol=1.0389|room=4.906,24849.0,1,49698.0,-114.0,-0.23,0,8.0,0.02,-114.0,-0.23,724.0,0.72,40,2026-03-19 11:22:00+00:00,long,2026-03-19 11:22:00+00:00,2026-03-19 08:00:00+00:00,24850.5,24793.0,4.906,1.0389,tradingview
84,Entry long,2026-03-26 13:50,P6L|sig=1774547400000|zone=1774260000000|prox=24176.00|dist=24108.50|rvol=1.1782|room=7.8686,24175.0,1,48350.0,-135.0,-0.28,0,37.5,0.08,-135.0,-0.28,304.0,0.3,101,2026-03-26 17:50:00+00:00,long,2026-03-26 17:50:00+00:00,2026-03-23 10:00:00+00:00,24176.0,24108.5,7.8686,1.1782,tradingview
91,Entry long,2026-04-13 08:01,P6L|sig=1776081660000|zone=1776056400000|prox=25373.75|dist=25351.75|rvol=1.2243|room=4.8913,25373.75,1,50747.5,200.0,0.39,0,200.0,0.39,-15.5,-0.03,240.0,0.24,63,2026-04-13 12:01:00+00:00,long,2026-04-13 12:01:00+00:00,2026-04-13 05:00:00+00:00,25373.75,25351.75,4.8913,1.2243,tradingview
92,Entry short,2026-04-16 11:37,P6S|sig=1776353820000|zone=1769598000000|prox=26825.50|dist=26835.00|rvol=0.9835|room=50.9048,26830.0,1,53660.0,-12.0,-0.02,0,132.0,0.25,-12.0,-0.02,228.0,0.23,23,2026-04-16 15:37:00+00:00,short,2026-04-16 15:37:00+00:00,2026-01-28 11:00:00+00:00,26825.5,26835.0,50.9048,0.9835,tradingview
93,Entry short,2026-04-17 10:40,P6S|sig=1776436800000|zone=1761793200000|prox=27114.50|dist=27157.25|rvol=0.7603|room=6.5143,27119.75,1,54239.5,-77.0,-0.14,0,50.0,0.09,-77.0,-0.14,151.0,0.15,51,2026-04-17 14:40:00+00:00,short,2026-04-17 14:40:00+00:00,2025-10-30 03:00:00+00:00,27114.5,27157.25,6.5143,0.7603,tradingview
106,Entry short,2026-05-13 12:24,P6S|sig=1778689440000|zone=1778662800000|prox=29705.25|dist=29719.00|rvol=1.0124|room=11.9153,29716.5,1,59433.0,-7.0,-0.01,0,3.5,0.01,-7.0,-0.01,1008.5,1.01,0,2026-05-13 16:24:00+00:00,short,2026-05-13 16:24:00+00:00,2026-05-13 09:00:00+00:00,29705.25,29719.0,11.9153,1.0124,tradingview
