factor_key,factor,timing,bucket,split,trades,win_rate,avg_pnl,gross_pnl,gross_pf,pf_4tick,pnl_4tick,max_drawdown,sharpe
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,High ≥1.25,Train 2019–22,1356,0.21902654867256638,-0.45464601769911506,-616.5,0.9872513338020596,0.9340577700293209,-3328.5,-5208.5,-0.21960400961120838
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Unavailable,Train 2019–22,20,0.15,-7.075,-141.5,0.7627829002514669,0.7121332275971451,-181.5,-291.0,-0.23091671542725098
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Low <0.75,Validation 2023–24,88,0.2159090909090909,5.846590909090909,514.5,1.2483707458363504,1.1531327753901832,338.5,-546.5,0.46472928003430997
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Normal 0.75–1.25,Validation 2023–24,222,0.20270270270270271,6.61036036036036,1467.5,1.2301780252529213,1.152057643737929,1023.5,-728.5,0.8017290553806797
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,High ≥1.25,Validation 2023–24,739,0.22056833558863329,5.818673883626523,4300.0,1.180308621268031,1.112877742445151,2822.0,-2508.0,1.2318399909206832
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Unavailable,Validation 2023–24,0,,,0.0,,,0.0,,
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Low <0.75,Holdout 2025–26,90,0.28888888888888886,17.166666666666668,1545.0,1.5004048582995952,1.4245062976208989,1365.0,-526.0,1.3004096109968075
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Normal 0.75–1.25,Holdout 2025–26,188,0.26595744680851063,3.226063829787234,606.5,1.071732702542874,1.0264001832550682,230.5,-1597.5,0.2937369373045031
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,High ≥1.25,Holdout 2025–26,638,0.30094043887147337,5.568181818181818,3552.5,1.1102558929873838,1.0687504718761798,2276.5,-2705.0,1.0609133022523856
signal_1m_rvol,Signal-minute RVOL · next-open only,Known at the touch close; valid only before a next-bar entry.,Unavailable,Holdout 2025–26,0,,,0.0,,,0.0,,
