date,SND baseline,1h reference,1h · no BOS,1h · RVOL 0.75–1.25,1h · impulse/prior volume <0.75,1h · first SND test,1h · first physical touch,1h · width ≤0.5 ATR,1h · opposing room ≥2R/open
2021-11-28,-8371.5,-7414.0,-4083.5,-2974.0,-1446.5,-2739.0,-2123.0,-6583.0,-4498.5
2021-11-29,-8576.0,-7704.5,-4174.5,-3022.0,-1494.5,-2987.0,-2371.0,-6722.0,-4632.0
2021-11-30,-8738.5,-7667.0,-4225.5,-2967.5,-1440.0,-2804.0,-2188.0,-6773.0,-4794.5
2021-12-01,-8965.0,-7635.0,-4611.0,-3119.0,-1523.0,-2772.0,-2156.0,-6922.0,-5028.5
2021-12-02,-9460.5,-8130.5,-4858.5,-3119.0,-1746.0,-3267.5,-2651.5,-7070.5,-5524.0
2021-12-03,-9588.0,-8393.5,-5121.5,-3287.0,-1815.0,-3530.5,-2867.0,-7153.5,-5787.0
2021-12-04,-9588.0,-8393.5,-5121.5,-3287.0,-1815.0,-3530.5,-2867.0,-7153.5,-5787.0
2021-12-05,-9588.0,-8393.5,-5121.5,-3287.0,-1815.0,-3530.5,-2867.0,-7153.5,-5787.0
2021-12-06,-9281.0,-8190.0,-4918.0,-3287.0,-1850.0,-3165.5,-2502.0,-6988.5,-5622.0
2021-12-07,-9518.0,-8390.0,-4918.0,-3487.0,-1850.0,-3365.5,-2702.0,-6988.5,-5822.0
2021-12-08,-9478.0,-8350.0,-4834.5,-3562.0,-1881.5,-3325.5,-2662.0,-7020.0,-5897.0
2021-12-09,-9616.5,-8488.5,-4973.0,-3562.0,-1942.5,-3433.0,-2769.5,-7020.0,-5897.0
2021-12-10,-9763.5,-8177.5,-5031.0,-3207.0,-1750.5,-3322.0,-2658.5,-7159.0,-5786.0
2021-12-11,-9763.5,-8177.5,-5031.0,-3207.0,-1750.5,-3322.0,-2658.5,-7159.0,-5786.0
2021-12-12,-9763.5,-8177.5,-5031.0,-3207.0,-1750.5,-3322.0,-2658.5,-7159.0,-5786.0
2021-12-13,-9196.5,-8328.0,-5018.0,-3470.5,-1914.0,-3472.5,-2645.5,-6972.5,-5884.0
2021-12-14,-9079.5,-8211.0,-5069.5,-3483.0,-1914.0,-3355.5,-2528.5,-7043.0,-5754.5
2021-12-15,-9573.0,-8556.0,-5101.0,-3735.5,-2054.5,-3429.0,-2602.0,-7074.5,-6159.0
2021-12-16,-9880.0,-8580.0,-5125.0,-3785.5,-2128.0,-3413.0,-2586.0,-7188.0,-5919.5
2021-12-17,-9709.5,-8409.5,-5003.0,-3815.0,-2079.5,-3291.0,-2464.0,-7188.0,-5671.0
2021-12-18,-9709.5,-8409.5,-5003.0,-3815.0,-2079.5,-3291.0,-2464.0,-7188.0,-5671.0
2021-12-19,-9745.5,-8445.5,-5039.0,-3815.0,-2079.5,-3327.0,-2500.0,-7224.0,-5707.0
2021-12-20,-9810.0,-8446.0,-5239.5,-3677.5,-1932.0,-3442.0,-2615.0,-7424.5,-5507.5
2021-12-21,-9556.5,-8192.5,-5186.0,-3677.5,-1932.0,-3042.0,-2415.0,-7424.5,-5654.0
2021-12-22,-9534.0,-8170.0,-5282.5,-3477.5,-2109.5,-3019.5,-2345.5,-7521.0,-5631.5
