variant,year,trades,win_rate,avg_points,total_points,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
First physical touch core,2024,642.0,0.2383177570093458,0.45054517133956384,289.25,0.05028108553734254,578.5,1.023166873573345,-2820.0,0.35655296415802185,0.5749188594108219,0.3444735196653112,2518.19594636634,0.4166666666666667
First physical touch core,2025,693.0,0.27705627705627706,0.8344155844155844,578.25,0.0523054129502027,1156.5,1.0334007220216606,-2434.0,0.5026381941686822,0.74194154848039,0.7099391480730223,3145.472232514101,0.5
First physical touch core,2026,500.0,0.374,4.924,2462.0,0.13863284824534824,4924.0,1.1666469244436923,-2599.5,2.0994148492089835,3.405524045348684,3.51432362547632,3913.7041635479713,0.6666666666666666
First touch + width ≤0.5 ATR,2019,263.0,0.155893536121673,1.388783269961977,365.25,0.1585774981785981,730.5,1.2120464441219159,-636.0,0.8282811380417856,2.046676947883741,1.487184976160358,1072.8157173259037,0.625
First touch + width ≤0.5 ATR,2020,374.0,0.12299465240641712,-5.643048128342246,-2110.5,-0.41842455820262286,-4221.0,0.6128055772141449,-4815.5,-3.326830515188292,-5.012850215814749,-0.9063496241701033,1279.9060592090755,0.25
First touch + width ≤0.5 ATR,2021,403.0,0.1141439205955335,-2.5589330024813894,-1031.25,-0.14365966118878146,-2062.5,0.7952751997617747,-3551.0,-1.2709269498861486,-2.272469160223784,-0.5331549026930578,1394.420738902799,0.25
First touch + width ≤0.5 ATR,2022,410.0,0.20243902439024392,1.645121951219512,674.5,0.1487625296255701,1349.0,1.0996233660734067,-1824.5,0.8117938105918007,1.5901309571119095,0.8693241804792213,1895.9721562996692,0.4166666666666667
First touch + width ≤0.5 ATR,2023,417.0,0.15347721822541965,3.2577937649880098,1358.5,0.22593221183634715,2717.0,1.2943024263431542,-1002.0,1.7808270883079294,4.301549327724875,2.8796131959091085,1562.8390718666506,0.8333333333333334
First touch + width ≤0.5 ATR,2024,399.0,0.15288220551378445,0.850250626566416,339.25,0.0193219348743553,678.5,1.064100141709967,-1626.5,0.5193254169892626,0.9673959511384295,0.5302864072805568,1516.8532720430171,0.4166666666666667
First touch + width ≤0.5 ATR,2025,417.0,0.23501199040767387,4.965827338129497,2070.75,0.1954550922389227,4141.5,1.2915625330001057,-1405.5,2.0344801338779015,4.007079933707111,3.232943076301978,1968.070335672444,0.6666666666666666
First touch + width ≤0.5 ATR,2026,292.0,0.3047945205479452,6.283390410958904,1834.75,0.14515577919897568,3669.5,1.292868829562233,-915.5,2.3285354718707936,4.502854566713766,6.079948860533241,2390.426621822595,0.7777777777777778
First touch + impulse volume <0.75,2019,96.0,0.20833333333333334,-0.96875,-93.0,0.06830346796825874,-186.0,0.8981101068200493,-682.5,-0.821808104218888,-1.5258550498692374,-0.5838305126019725,610.6076625495782,0.375
First touch + impulse volume <0.75,2020,119.0,0.20168067226890757,-1.8361344537815125,-218.5,-0.32077399117299377,-437.0,0.8995979322228604,-1244.0,-0.5109244296339058,-0.888781793922664,-0.3857164364694796,1033.5105759281853,0.5
