entry_time,entry_bar_close,exit_time,quantity,entry,exit,gross_pnl,cost,net_pnl,exit_reason,initial_stop,initial_risk_usd,initial_target,gross_r,net_r,holding_minutes,exit_month,crossed_local_date,source_minutes_in_entry_day_flatten_window,direction
2025-06-04T14:30:00-04:00,2025-06-04T14:30:00-04:00,2025-06-04T15:50:00-04:00,1,21796.0,21774.5,-430.0,12.5,-442.5,force-flat window,21716.75,1585.0,21954.5,-0.27129337539432175,-0.27917981072555204,80.0,2025-06,False,15,Long
2025-06-05T11:00:00-04:00,2025-06-05T11:00:00-04:00,2025-06-05T16:48:00+00:00,1,21857.75,21735.25,-2450.0,12.5,-2462.5,stop,21735.25,2450.0,22102.75,-1.0,-1.0051020408163265,108.0,2025-06,False,15,Long
2025-06-06T09:50:00-04:00,2025-06-06T09:50:00-04:00,2025-06-06T10:30:00-04:00,1,21857.5,21768.25,-1785.0,12.5,-1797.5,stop,21768.25,1785.0,22036.0,-1.0,-1.0070028011204482,40.0,2025-06,False,15,Long
2025-06-09T10:10:00-04:00,2025-06-09T10:10:00-04:00,2025-06-09T15:50:00-04:00,1,21822.25,21832.5,205.0,12.5,192.5,force-flat window,21750.75,1430.0,21965.25,0.14335664335664336,0.1346153846153846,340.0,2025-06,False,15,Long
2025-06-10T12:05:00-04:00,2025-06-10T12:05:00-04:00,2025-06-10T15:50:00-04:00,1,21894.75,21935.25,810.0,12.5,797.5,force-flat window,21818.0,1535.0,22048.25,0.5276872964169381,0.5195439739413681,225.0,2025-06,False,15,Long
2025-06-11T10:25:00-04:00,2025-06-11T10:25:00-04:00,2025-06-11T16:08:00+00:00,1,22031.0,21959.0,-1440.0,12.5,-1452.5,stop,21959.0,1440.0,22175.0,-1.0,-1.0086805555555556,103.0,2025-06,False,15,Long
2025-06-12T09:50:00-04:00,2025-06-12T09:50:00-04:00,2025-06-12T15:50:00-04:00,1,21886.5,21904.0,350.0,12.5,337.5,force-flat window,21818.5,1360.0,22022.5,0.25735294117647056,0.24816176470588236,360.0,2025-06,False,15,Long
2025-06-16T09:50:00-04:00,2025-06-16T09:50:00-04:00,2025-06-16T15:50:00-04:00,1,21882.5,21945.5,1260.0,12.5,1247.5,force-flat window,21792.25,1805.0,22063.0,0.6980609418282548,0.6911357340720221,360.0,2025-06,False,15,Long
2025-06-17T10:15:00-04:00,2025-06-17T10:15:00-04:00,2025-06-17T13:00:00-04:00,1,21895.75,21806.25,-1790.0,12.5,-1802.5,stop,21806.25,1790.0,22074.75,-1.0,-1.0069832402234637,165.0,2025-06,False,15,Long
2025-06-18T09:50:00-04:00,2025-06-18T09:50:00-04:00,2025-06-18T18:58:00+00:00,1,22002.5,21926.25,-1525.0,12.5,-1537.5,stop,21926.25,1525.0,22155.0,-1.0,-1.0081967213114753,308.0,2025-06,False,15,Long
2025-06-24T10:45:00-04:00,2025-06-24T10:45:00-04:00,2025-06-24T15:50:00-04:00,1,22336.25,22427.75,1830.0,12.5,1817.5,force-flat window,22260.0,1525.0,22488.75,1.2,1.1918032786885246,305.0,2025-06,False,15,Long
2025-06-26T10:25:00-04:00,2025-06-26T10:25:00-04:00,2025-06-26T15:50:00-04:00,1,22571.25,22672.75,2030.0,12.5,2017.5,force-flat window,22495.0,1525.0,22723.75,1.3311475409836067,1.3229508196721311,325.0,2025-06,False,15,Long
2025-06-27T09:55:00-04:00,2025-06-27T09:55:00-04:00,2025-06-27T14:20:00-04:00,1,22743.75,22685.25,-1170.0,12.5,-1182.5,stop,22685.25,1170.0,22860.75,-1.0,-1.0106837606837606,265.0,2025-06,False,15,Long
2025-07-01T09:55:00-04:00,2025-07-01T09:55:00-04:00,2025-07-01T14:23:00+00:00,1,22824.25,22780.0,-885.0,12.5,-897.5,stop,22780.0,885.0,22912.75,-1.0,-1.0141242937853108,28.0,2025-07,False,15,Long
2025-07-02T09:50:00-04:00,2025-07-02T09:50:00-04:00,2025-07-02T14:51:00+00:00,1,22710.0,22827.5,2350.0,7.5,2342.5,limit,22651.25,1175.0,22827.5,2.0,1.9936170212765958,61.0,2025-07,False,15,Long
2025-07-03T09:55:00-04:00,2025-07-03T09:55:00-04:00,2025-07-04T08:16:00+00:00,1,22994.0,22930.25,-1275.0,12.5,-1287.5,stop,22930.25,1275.0,23121.5,-1.0,-1.0098039215686274,1101.0,2025-07,True,0,Long
2025-07-04T09:55:00-04:00,2025-07-04T09:55:00-04:00,2025-07-06T22:02:00+00:00,1,22930.25,23014.75,1690.0,7.5,1682.5,limit,22888.0,845.0,23014.75,2.0,1.9911242603550297,3367.0,2025-07,True,0,Long
2025-07-08T12:25:00-04:00,2025-07-08T12:25:00-04:00,2025-07-08T16:36:00+00:00,1,22947.0,22889.5,-1150.0,12.5,-1162.5,stop,22889.5,1150.0,23062.0,-1.0,-1.0108695652173914,11.0,2025-07,False,15,Long
2025-07-09T09:50:00-04:00,2025-07-09T09:50:00-04:00,2025-07-09T14:37:00+00:00,1,23085.5,22978.0,-2150.0,12.5,-2162.5,stop,22978.0,2150.0,23300.5,-1.0,-1.005813953488372,47.0,2025-07,False,15,Long
2025-07-11T10:00:00-04:00,2025-07-11T10:00:00-04:00,2025-07-11T15:50:00-04:00,1,22963.75,22980.5,335.0,12.5,322.5,force-flat window,22871.0,1855.0,23149.25,0.18059299191374664,0.1738544474393531,350.0,2025-07,False,15,Long
2025-07-17T09:50:00-04:00,2025-07-17T09:50:00-04:00,2025-07-17T18:01:00+00:00,1,23136.25,23277.25,2820.0,7.5,2812.5,limit,23065.75,1410.0,23277.25,2.0,1.9946808510638299,251.0,2025-07,False,15,Long
2025-07-21T09:50:00-04:00,2025-07-21T09:50:00-04:00,2025-07-21T15:50:00-04:00,1,23378.25,23351.75,-530.0,12.5,-542.5,force-flat window,23255.25,2460.0,23624.25,-0.21544715447154472,-0.22052845528455284,360.0,2025-07,False,15,Long
2025-07-23T14:05:00-04:00,2025-07-23T14:05:00-04:00,2025-07-23T15:50:00-04:00,1,23270.5,23280.5,200.0,12.5,187.5,force-flat window,23183.0,1750.0,23445.5,0.11428571428571428,0.10714285714285714,105.0,2025-07,False,15,Long
2025-07-24T13:15:00-04:00,2025-07-24T13:15:00-04:00,2025-07-24T15:50:00-04:00,1,23411.0,23401.25,-195.0,12.5,-207.5,force-flat window,23334.25,1535.0,23564.5,-0.1270358306188925,-0.13517915309446255,155.0,2025-07,False,15,Long
2025-07-25T09:50:00-04:00,2025-07-25T09:50:00-04:00,2025-07-25T15:50:00-04:00,1,23383.75,23438.5,1095.0,12.5,1082.5,force-flat window,23330.75,1060.0,23489.75,1.0330188679245282,1.0212264150943395,360.0,2025-07,False,15,Long
