experiment,reference_universe,split,retention,avg_points_uplift,profit_factor_uplift,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
1h · RVOL 0.75–1.25,1h,Overall,0.4478107032286599,1.3336694950884838,0.05843501663548878,2025,0.28,1.009753086419753,-1.6074714908785752,3.4314040602541938,0.0477111257654677,4089.5,1.0444283898443187,-4163.5,0.3239804131990107,0.5523759494944313,0.13971723892123084,1814.9245326099717,0.4943820224719101
1h · RVOL 0.75–1.25,1h,Train 2019–22,0.4325226514067716,0.9609241216648553,0.045514887221616895,907,0.25689084895259096,-0.6323042998897465,-4.587418454630733,2.895498284201558,-0.04949815695229793,-1147.0,0.9698161866291233,-3443.5,-0.16199021323207155,-0.264127503177276,-0.08142031649067501,1609.4049646668732,0.4318181818181818
1h · RVOL 0.75–1.25,1h,Validation 2023–24,0.47058823529411764,2.433903452685422,0.13272122461693758,552,0.26268115942028986,3.423460144927536,-1.5741112371973929,8.060197958465094,0.18404466951909856,3779.5,1.184226560405547,-2895.0,1.113030935904742,2.071949123906269,0.7392155450658949,1749.0296766536987,0.5416666666666666
1h · RVOL 0.75–1.25,1h,Holdout 2025–26,0.4520766773162939,0.7156168504950383,0.024575442976349837,566,0.3339222614840989,1.2871024734982333,-4.18997005988024,5.92582156910969,0.07052508914534258,1457.0,1.0434523276967582,-4163.5,0.3624692747527562,0.6145105659159983,0.19477743229146416,2261.4905066305732,0.5714285714285714
1h · RVOL ≥1.25,1h,Overall,0.3100398053958425,-2.3551135485352637,-0.07830049838009334,1402,0.29457917261055633,-2.679029957203994,-6.066630327875832,0.45869913732868484,-0.0535297156620622,-7512.0,0.9076928748287366,-8521.5,-0.4576114069185833,-0.6863159529714928,-0.10298093145085158,1729.883495241493,0.3258426966292135
1h · RVOL ≥1.25,1h,Train 2019–22,0.3223652837386743,-1.1760023476761674,-0.030726916599336906,676,0.27071005917159763,-2.769230769230769,-6.108498802640395,0.7124362017295692,-0.09306141810661613,-3744.0,0.8935743828081695,-4787.0,-0.5603425997769887,-0.8635528951117449,-0.17499692843300524,1583.6908070829356,0.3409090909090909
1h · RVOL ≥1.25,1h,Validation 2023–24,0.2855924978687127,-3.4313477370182337,-0.14862037793511307,335,0.2537313432835821,-2.4417910447761195,-9.462377434107003,4.7330908296867635,0.011386048709950802,-1636.0,0.9028849578534964,-4245.5,-0.5171057646022934,-0.7937382671200309,-0.18113146418507894,1416.7047769424591,0.2916666666666667
1h · RVOL ≥1.25,1h,Holdout 2025–26,0.31230031948881787,-3.2978283340006374,-0.09150505709308765,391,0.37084398976982097,-2.7263427109974425,-11.14367103144199,4.594161973721086,-0.04080171108944305,-2132.0,0.9273718276273207,-5360.5,-0.2850706093219164,-0.4127193898323443,-0.13837372168237694,2289.881912377234,0.3333333333333333
1h · prior 5m RVOL <0.75,1h,Overall,0.3160106147722247,0.17836007556866068,0.006112888650752546,1429,0.2232330300909727,-0.14555633310007,-2.3874366846401904,2.3077178149121513,0.04156368902981351,-416.0,0.9921062618595825,-3680.0,0.010109957188654891,0.016582142217134933,0.0037438398553400654,1321.8291743740183,0.42696629213483145
1h · prior 5m RVOL <0.75,1h,Train 2019–22,0.3319027181688126,-0.07307904970976598,-0.024251744325956004,696,0.19540229885057472,-1.6663074712643677,-4.870039005322687,1.7717548617008694,-0.09774704524002248,-2319.5,0.9000495550815504,-3046.0,-0.4756703730059471,-0.7592012072360506,-0.19438878291647382,1199.629627225437,0.4090909090909091
1h · prior 5m RVOL <0.75,1h,Validation 2023–24,0.3154305200341006,2.0340919564065345,0.14112520099413772,370,0.22972972972972974,3.0236486486486487,-1.626006558466481,8.355955793044199,0.2892379354074504,2237.5,1.1926305367827472,-1496.0,0.9567786907415997,1.7730222648360918,0.7861692875443668,1205.4097316210657,0.5416666666666666
1h · prior 5m RVOL <0.75,1h,Holdout 2025–26,0.28993610223642174,-1.0315407194219277,-0.03755906393508568,363,0.2699724517906336,-0.46005509641873277,-4.714463353889943,4.0686830483466725,0.05622153997218314,-334.0,0.9813178207853227,-1711.5,-0.043295643320601415,-0.06858273473030367,-0.040552675028242044,1664.8876037927168,0.3333333333333333
1h · prior 5m RVOL 0.75–1.25,1h,Overall,0.35537372843874393,0.732597180292875,0.031142960776818995,1607,0.28313627878033604,0.40868077162414435,-2.288182524875622,3.191317035739626,0.008148283007902104,1313.5,1.017136333985649,-4039.5,0.16761403406490907,0.28063671021621234,0.07654612344709545,1710.0415299153992,0.4606741573033708
1h · prior 5m RVOL 0.75–1.25,1h,Train 2019–22,0.32713400095374345,1.6267561183476047,0.0772651913127389,686,0.2653061224489796,0.033527696793002916,-4.403412210982659,4.307599114973443,-0.02515688127218172,46.0,1.0015664907202453,-3366.5,0.08019445031019631,0.13865444131395563,0.0407057339744672,1456.0159394335692,0.4090909090909091
1h · prior 5m RVOL 0.75–1.25,1h,Validation 2023–24,0.38277919863597615,-0.7802025719748538,-0.04080497436682751,449,0.23385300668151449,0.20935412026726058,-4.685883667221394,5.017064101760103,-0.0036651334198410045,188.0,1.010700361421782,-3506.0,0.10063938404686446,0.1764201696609752,0.04764643148407603,1561.3959934543002,0.5
