variable,level,universe,split,trades,win_rate,avg_points,avg_points_ci_low,avg_points_ci_high,avg_r,total_pnl,profit_factor,max_drawdown,sharpe,sortino,pnl_calmar,annualized_volatility,profitable_months
Prior 5m RVOL,unavailable,1h,Train 2019–22,24,0.20833333333333334,-1.6145833333333333,,,1.1700413825464862,-77.5,0.8976897689768977,-382.5,-0.10725098944554569,-0.15633649299656255,-0.053464736680012316,190.67667240951545,0.0
Prior 5m RVOL,unavailable,1h,Validation 2023–24,0,,,,,,0.0,,0.0,,,,0.0,0.0
Prior 5m RVOL,unavailable,1h,Holdout 2025–26,0,,,,,,0.0,,0.0,,,,0.0,0.0
Impulse/prior volume,<0.75,All trades,Overall,1308,0.2691131498470948,-3.2981651376146788,-6.652653995728218,0.10826046842322995,0.02081283339954127,-8628.0,0.8920697268593516,-9452.0,-0.4778020044441322,-0.7257691208509718,-0.11761953027441813,1968.851102307989,0.449438202247191
Impulse/prior volume,<0.75,All trades,Train 2019–22,599,0.2337228714524207,-5.247495826377295,-10.771288471824674,0.07304044198522029,-0.0761121329129305,-6286.5,0.8117476193328143,-8097.0,-0.9004230905655679,-1.3892181098863479,-0.19902750556749135,1767.8600273666361,0.4318181818181818
Impulse/prior volume,<0.75,All trades,Validation 2023–24,346,0.2861271676300578,1.9378612716763006,-3.7601201212033764,7.010269582963242,0.10788583778806941,1341.0,1.076466898557336,-1878.5,0.37915610309794734,0.638558048185411,0.3739247925706021,1786.9993878560865,0.5833333333333334
Impulse/prior volume,<0.75,All trades,Holdout 2025–26,363,0.31129476584022037,-5.072314049586777,-12.062472684501127,1.8031456519733642,0.09775717307651055,-3682.5,0.8730588255571451,-5244.0,-0.5763748353748334,-0.8182127795014723,-0.3969559895694747,2517.2406094601342,0.3333333333333333
Impulse/prior volume,<0.75,1h,Overall,843,0.2669039145907473,0.6132858837485172,-3.5815720671733327,5.141562593452029,0.0486900473167995,1034.0,1.0269903419472723,-4030.5,0.11102090764043863,0.18646431538655747,0.03206041607295526,1200.739688267435,0.5056179775280899
Impulse/prior volume,<0.75,1h,Train 2019–22,393,0.21882951653944022,-3.3339694656488548,-8.5554990142271,2.2398628910667124,-0.10905052780744619,-2620.5,0.8445176219295123,-4030.5,-0.796817210056714,-1.2394631031464178,-0.18810090433127083,981.5595726826181,0.4318181818181818
Impulse/prior volume,<0.75,1h,Validation 2023–24,225,0.26666666666666666,4.518888888888889,-1.3004012661994182,10.066139166326947,0.09577531320873298,2033.5,1.2432125343858391,-829.0,0.858064228164693,1.6883349292319296,1.184185350027037,1144.074794112024,0.5833333333333334
